#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26629800E+01
#    Te =  0.25000000E-01
#   rho =  0.22665900E+01
#  zbar =  0.10279337E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.36111578E+01  0.14712641E-01
 0.11233240E-02  0.38177801E+01  0.15594622E-01
 0.12618569E-02  0.40362867E+01  0.16531700E-01
 0.14174742E-02  0.42652321E+01  0.17527605E-01
 0.15922828E-02  0.45072513E+01  0.18586258E-01
 0.17886495E-02  0.47600603E+01  0.19711970E-01
 0.20092330E-02  0.50271193E+01  0.20909328E-01
 0.22570197E-02  0.53052868E+01  0.22183373E-01
 0.25353645E-02  0.55988502E+01  0.23539486E-01
 0.28480359E-02  0.59038501E+01  0.24983569E-01
 0.31992671E-02  0.62253637E+01  0.26521935E-01
 0.35938137E-02  0.65584890E+01  0.28161525E-01
 0.40370173E-02  0.69091882E+01  0.29909773E-01
 0.45348785E-02  0.72709106E+01  0.31774954E-01
 0.50941380E-02  0.76510330E+01  0.33765961E-01
 0.57223677E-02  0.80412133E+01  0.35892718E-01
 0.64280731E-02  0.84503360E+01  0.38165908E-01
 0.72208090E-02  0.88665787E+01  0.40597723E-01
 0.81113083E-02  0.93014323E+01  0.43201417E-01
 0.91116276E-02  0.97409216E+01  0.45991912E-01
 0.10235310E-01  0.10198211E+02  0.48985451E-01
 0.11497570E-01  0.10653706E+02  0.52200955E-01
 0.12915497E-01  0.11124300E+02  0.55659348E-01
 0.14508288E-01  0.11590454E+02  0.59384041E-01
 0.16297508E-01  0.12069415E+02  0.63401596E-01
 0.18307383E-01  0.12589368E+02  0.67731953E-01
 0.20565123E-01  0.13138823E+02  0.72392462E-01
 0.23101297E-01  0.13625006E+02  0.77424718E-01
 0.25950242E-01  0.14098286E+02  0.82883745E-01
 0.29150531E-01  0.14611897E+02  0.88805839E-01
 0.32745492E-01  0.15156836E+02  0.95217007E-01
 0.36783798E-01  0.15501797E+02  0.10220875E+00
 0.41320124E-01  0.15766616E+02  0.10991182E+00
 0.46415888E-01  0.15934781E+02  0.11844868E+00
 0.52140083E-01  0.16078408E+02  0.12794405E+00
 0.58570208E-01  0.16107552E+02  0.13855390E+00
 0.65793322E-01  0.16089804E+02  0.15046875E+00
 0.73907220E-01  0.15989056E+02  0.16390458E+00
 0.83021757E-01  0.15864851E+02  0.17910497E+00
 0.93260335E-01  0.15693445E+02  0.19634128E+00
 0.10476158E+00  0.15505728E+02  0.21592337E+00
 0.11768120E+00  0.15235770E+02  0.23824910E+00
 0.13219411E+00  0.14924512E+02  0.26381716E+00
 0.14849683E+00  0.14600736E+02  0.29315979E+00
 0.16681005E+00  0.14277481E+02  0.32685273E+00
 0.18738174E+00  0.13890291E+02  0.36565443E+00
 0.21049041E+00  0.13455581E+02  0.41055672E+00
 0.23644894E+00  0.12980873E+02  0.46273821E+00
 0.26560878E+00  0.12479529E+02  0.52360187E+00
 0.29836472E+00  0.11933163E+02  0.59490814E+00
 0.33516027E+00  0.11343633E+02  0.67894180E+00
 0.37649358E+00  0.10752482E+02  0.77839971E+00
 0.42292429E+00  0.10162067E+02  0.89642976E+00
 0.47508102E+00  0.95540962E+01  0.10370753E+01
 0.53366992E+00  0.89239462E+01  0.12057033E+01
 0.59948425E+00  0.83028842E+01  0.14089199E+01
 0.67341507E+00  0.76892947E+01  0.16548959E+01
 0.75646333E+00  0.71094186E+01  0.19535254E+01
 0.84975344E+00  0.65585965E+01  0.23167916E+01
 0.95454846E+00  0.60474642E+01  0.27592579E+01
 0.10722672E+01  0.55717658E+01  0.32985150E+01
 0.12045035E+01  0.51294665E+01  0.39562222E+01
 0.13530478E+01  0.47138580E+01  0.47595465E+01
 0.15199111E+01  0.43323480E+01  0.57414764E+01
 0.17073526E+01  0.39797667E+01  0.69419471E+01
 0.19179103E+01  0.36557299E+01  0.84098848E+01
 0.21544347E+01  0.33538378E+01  0.10206302E+02
 0.24201283E+01  0.30785258E+01  0.12405339E+02
 0.27185882E+01  0.28255526E+01  0.15096586E+02
 0.30538555E+01  0.25935767E+01  0.18389956E+02
 0.34304693E+01  0.23767948E+01  0.22423974E+02
 0.38535286E+01  0.21788399E+01  0.27367966E+02
 0.43287613E+01  0.19959308E+01  0.33428745E+02
 0.48626016E+01  0.18293889E+01  0.40858621E+02
 0.54622772E+01  0.16759941E+01  0.49966389E+02
 0.61359073E+01  0.15347108E+01  0.61134955E+02
 0.68926121E+01  0.14010977E+01  0.74858481E+02
 0.77426368E+01  0.12790482E+01  0.91745094E+02
 0.86974900E+01  0.11657822E+01  0.11254232E+03
 0.97700996E+01  0.10626305E+01  0.13817313E+03
 0.10974988E+02  0.96782562E+00  0.16977305E+03
 0.12328467E+02  0.88127413E+00  0.20874909E+03
 0.13848864E+02  0.80104057E+00  0.25687863E+03
 0.15556761E+02  0.72813782E+00  0.31635941E+03
 0.17475284E+02  0.66156378E+00  0.38988263E+03
 0.19630407E+02  0.60090790E+00  0.48078858E+03
 0.22051307E+02  0.54468395E+00  0.59334170E+03
 0.24770764E+02  0.49378203E+00  0.73282937E+03
 0.27825594E+02  0.44785541E+00  0.90562454E+03
 0.31257158E+02  0.40617453E+00  0.11196282E+04
 0.35111917E+02  0.36805324E+00  0.13848168E+04
 0.39442061E+02  0.33347681E+00  0.17135638E+04
 0.44306215E+02  0.30172399E+00  0.21214577E+04
