#   nzt = 3
#    zt = 2.7000E+01 7.0000E+00 8.0000E+00
#    wt = 1.0000E+00 2.0000E+00 6.0000E+00
#    zp = 1.0000E+00
#    rs =  2.76964556E+00
#    Te =  2.50000000E-02
#   rho =  2.49000000E+00
#  zbar =  1.05170499E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.02144772E+00  1.56087433E-02
 1.12332400E-03  4.24904741E+00  1.66211262E-02
 1.26185690E-03  4.48954958E+00  1.76974439E-02
 1.41747420E-03  4.74110941E+00  1.88420414E-02
 1.59228280E-03  5.00674327E+00  2.00595780E-02
 1.78864950E-03  5.28369057E+00  2.13551459E-02
 2.00923300E-03  5.57585424E+00  2.27342210E-02
 2.25701970E-03  5.87957102E+00  2.42027778E-02
 2.53536450E-03  6.19960928E+00  2.57672576E-02
 2.84803590E-03  6.53139204E+00  2.74346855E-02
 3.19926710E-03  6.88055420E+00  2.92126493E-02
 3.59381370E-03  7.24136007E+00  3.11094567E-02
 4.03701730E-03  7.62050084E+00  3.31341008E-02
 4.53487850E-03  8.01017138E+00  3.52965482E-02
 5.09413800E-03  8.41882007E+00  3.76076395E-02
 5.72236770E-03  8.83651862E+00  4.00793950E-02
 6.42807310E-03  9.27356211E+00  4.27249271E-02
 7.22080900E-03  9.71604598E+00  4.55590436E-02
 8.11130830E-03  1.01774601E+01  4.85980100E-02
 9.11162760E-03  1.06416843E+01  5.18599392E-02
 1.02353100E-02  1.11244764E+01  5.53647123E-02
 1.14975700E-02  1.16024376E+01  5.91352847E-02
 1.29154970E-02  1.20971117E+01  6.31970351E-02
 1.45082880E-02  1.25890901E+01  6.75773077E-02
 1.62975080E-02  1.30994668E+01  7.23056938E-02
 1.83073830E-02  1.36813358E+01  7.74005992E-02
 2.05651230E-02  1.43146117E+01  8.28757172E-02
 2.31012970E-02  1.48533517E+01  8.87788509E-02
 2.59502420E-02  1.53766078E+01  9.51767848E-02
 2.91505310E-02  1.59145726E+01  1.02119895E-01
 3.27454920E-02  1.64809557E+01  1.09653896E-01
 3.67837980E-02  1.68360797E+01  1.17883228E-01
 4.13201240E-02  1.71096597E+01  1.26956077E-01
 4.64158880E-02  1.72776992E+01  1.37017115E-01
 5.21400830E-02  1.74137439E+01  1.48219993E-01
 5.85702080E-02  1.74276362E+01  1.60751038E-01
 6.57933220E-02  1.73868256E+01  1.74838618E-01
 7.39072200E-02  1.72488790E+01  1.90746101E-01
 8.30217570E-02  1.70731314E+01  2.08778968E-01
 9.32603350E-02  1.68426189E+01  2.29279175E-01
 1.04761580E-01  1.65864188E+01  2.52643985E-01
 1.17681200E-01  1.62401712E+01  2.79375643E-01
 1.32194110E-01  1.58462238E+01  3.10098542E-01
 1.48496830E-01  1.54344311E+01  3.45500289E-01
 1.66810050E-01  1.50210651E+01  3.86346373E-01
 1.87381740E-01  1.45473113E+01  4.33611637E-01
 2.10490410E-01  1.40321971E+01  4.88547626E-01
 2.36448940E-01  1.34831917E+01  5.52650576E-01
