#   nzt =   1
#    zt = 0.2400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26833400E+01
#    Te =  0.25000000E-01
#   rho =  0.72000000E+01
#  zbar =  0.29936076E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.36172506E+01  0.47735544E-01
 0.11233240E-02  0.38254152E+01  0.50596682E-01
 0.12618569E-02  0.40455669E+01  0.53635664E-01
 0.14174742E-02  0.42768398E+01  0.56864254E-01
 0.15922828E-02  0.45213121E+01  0.60294872E-01
 0.17886495E-02  0.47775579E+01  0.63941053E-01
 0.20092330E-02  0.50482474E+01  0.67817217E-01
 0.22570197E-02  0.53314197E+01  0.71939061E-01
 0.25353645E-02  0.56303119E+01  0.76323332E-01
 0.28480359E-02  0.59423109E+01  0.80988306E-01
 0.31992671E-02  0.62713093E+01  0.85953526E-01
 0.35938137E-02  0.66141114E+01  0.91240276E-01
 0.40370173E-02  0.69752088E+01  0.96871352E-01
 0.45348785E-02  0.73507462E+01  0.10287161E+00
 0.50941380E-02  0.77458663E+01  0.10926769E+00
 0.57223677E-02  0.81551165E+01  0.11608908E+00
 0.64280731E-02  0.85849716E+01  0.12336749E+00
 0.72208090E-02  0.90272591E+01  0.13113861E+00
 0.81113083E-02  0.94906193E+01  0.13944106E+00
 0.91116276E-02  0.99655470E+01  0.14831761E+00
 0.10235310E-01  0.10462033E+02  0.15781464E+00
 0.11497570E-01  0.10971021E+02  0.16798244E+00
 0.12915497E-01  0.11502928E+02  0.17887502E+00
 0.14508288E-01  0.12046011E+02  0.19055243E+00
 0.16297508E-01  0.12613929E+02  0.20307908E+00
 0.18307383E-01  0.13198135E+02  0.21652275E+00
 0.20565123E-01  0.13813816E+02  0.23095404E+00
 0.23101297E-01  0.14460228E+02  0.24644189E+00
 0.25950242E-01  0.15151009E+02  0.26305590E+00
 0.29150531E-01  0.15914406E+02  0.28084608E+00
 0.32745492E-01  0.16749129E+02  0.29984963E+00
 0.36783798E-01  0.17607609E+02  0.32014350E+00
 0.41320124E-01  0.18515012E+02  0.34183459E+00
 0.46415888E-01  0.19626716E+02  0.36491508E+00
 0.52140083E-01  0.20891911E+02  0.38929446E+00
 0.58570208E-01  0.21852989E+02  0.41523881E+00
 0.65793322E-01  0.22652735E+02  0.44323384E+00
 0.73907220E-01  0.23203824E+02  0.47375956E+00
 0.83021757E-01  0.23616052E+02  0.50734718E+00
 0.93260335E-01  0.23816860E+02  0.54459408E+00
 0.10476158E+00  0.23887430E+02  0.58620004E+00
