#   nzt =   1
#    zt = 0.5500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.57414800E+01
#    Te =  0.25000000E-01
#   rho =  0.18790000E+01
#  zbar =  0.97849465E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.22722897E+02  0.19421305E-01
 0.11233240E-02  0.23738434E+02  0.20592683E-01
 0.12618569E-02  0.24804122E+02  0.21851896E-01
 0.14174742E-02  0.25878311E+02  0.23206693E-01
 0.15922828E-02  0.27005417E+02  0.24665160E-01
 0.17886495E-02  0.28122962E+02  0.26236807E-01
 0.20092330E-02  0.29295160E+02  0.27931758E-01
 0.22570197E-02  0.30422766E+02  0.29762457E-01
 0.25353645E-02  0.31604227E+02  0.31742342E-01
 0.28480359E-02  0.32744307E+02  0.33886218E-01
 0.31992671E-02  0.33941008E+02  0.36210042E-01
 0.35938137E-02  0.35093593E+02  0.38731706E-01
 0.40370173E-02  0.36309691E+02  0.41470963E-01
 0.45348785E-02  0.37668347E+02  0.44441033E-01
 0.50941380E-02  0.39141961E+02  0.47652492E-01
 0.57223677E-02  0.40267855E+02  0.51141991E-01
 0.64280731E-02  0.41421839E+02  0.54955020E-01
 0.72208090E-02  0.42889234E+02  0.59105338E-01
 0.81113083E-02  0.44517175E+02  0.63596897E-01
 0.91116276E-02  0.45278280E+02  0.68508205E-01
 0.10235310E-01  0.45924987E+02  0.73942312E-01
 0.11497570E-01  0.46233797E+02  0.79984578E-01
 0.12915497E-01  0.46516090E+02  0.86728036E-01
 0.14508288E-01  0.46437821E+02  0.94287361E-01
 0.16297508E-01  0.46278064E+02  0.10280245E+00
 0.18307383E-01  0.46012578E+02  0.11241305E+00
 0.20565123E-01  0.45763375E+02  0.12326825E+00
 0.23101297E-01  0.45352499E+02  0.13555198E+00
 0.25950242E-01  0.44976304E+02  0.14947269E+00
 0.29150531E-01  0.44628698E+02  0.16523776E+00
 0.32745492E-01  0.44391728E+02  0.18306143E+00
 0.36783798E-01  0.44137363E+02  0.20319485E+00
 0.41320124E-01  0.43972586E+02  0.22591951E+00
 0.46415888E-01  0.43869858E+02  0.25152576E+00
 0.52140083E-01  0.43907248E+02  0.28030517E+00
 0.58570208E-01  0.43869002E+02  0.31263167E+00
 0.65793322E-01  0.43826440E+02  0.34897899E+00
 0.73907220E-01  0.43746085E+02  0.38986598E+00
 0.83021757E-01  0.43641319E+02  0.43588801E+00
 0.93260335E-01  0.43410721E+02  0.48778512E+00
 0.10476158E+00  0.43104370E+02  0.54643900E+00
 0.11768120E+00  0.42598217E+02  0.61295309E+00
 0.13219411E+00  0.41961054E+02  0.68869085E+00
 0.14849683E+00  0.41234863E+02  0.77517034E+00
 0.16681005E+00  0.40439221E+02  0.87410740E+00
 0.18738174E+00  0.39408291E+02  0.98778908E+00
 0.21049041E+00  0.38196355E+02  0.11192060E+01
 0.23644894E+00  0.36860853E+02  0.12718649E+01
 0.26560878E+00  0.35443213E+02  0.14498992E+01
 0.29836472E+00  0.33959332E+02  0.16582664E+01
 0.33516027E+00  0.32417589E+02  0.19030495E+01
 0.37649358E+00  0.30901014E+02  0.21913353E+01
 0.42292429E+00  0.29416963E+02  0.25312835E+01
 0.47508102E+00  0.27947745E+02  0.29328196E+01
 0.53366992E+00  0.26489244E+02  0.34081882E+01
 0.59948425E+00  0.25077100E+02  0.39719402E+01
 0.67341507E+00  0.23706215E+02  0.46413821E+01
 0.75646333E+00  0.22388536E+02  0.54372097E+01
 0.84975344E+00  0.21090210E+02  0.63851629E+01
 0.95454846E+00  0.19882721E+02  0.75152314E+01
 0.10722672E+01  0.18756209E+02  0.88611281E+01
 0.12045035E+01  0.17659545E+02  0.10464961E+02
 0.13530478E+01  0.16537536E+02  0.12384155E+02
 0.15199111E+01  0.15489167E+02  0.14686390E+02
 0.17073526E+01  0.14493960E+02  0.17448763E+02
 0.19179103E+01  0.13547147E+02  0.20766232E+02
 0.21544347E+01  0.12608051E+02  0.24762639E+02
 0.24201283E+01  0.11734452E+02  0.29586361E+02
 0.27185882E+01  0.10901820E+02  0.35414304E+02
 0.30538555E+01  0.10138120E+02  0.42457540E+02
 0.34304693E+01  0.94245893E+01  0.50966959E+02
 0.38535286E+01  0.87654634E+01  0.61246184E+02
 0.43287613E+01  0.81414027E+01  0.73670931E+02
 0.48626016E+01  0.75692976E+01  0.88690126E+02
 0.54622772E+01  0.70353527E+01  0.10683903E+03
 0.61359073E+01  0.65392135E+01  0.12877046E+03
 0.68926121E+01  0.60636791E+01  0.15530958E+03
 0.77426368E+01  0.56225039E+01  0.18745719E+03
 0.86974900E+01  0.51975942E+01  0.22646772E+03
 0.97700996E+01  0.48063000E+01  0.27386271E+03
 0.10974988E+02  0.44353836E+01  0.33150041E+03
 0.12328467E+02  0.40933960E+01  0.40165202E+03
 0.13848864E+02  0.37678571E+01  0.48716198E+03
 0.15556761E+02  0.34696050E+01  0.59149097E+03
 0.17475284E+02  0.31888391E+01  0.71889195E+03
 0.19630407E+02  0.29311231E+01  0.87457974E+03
 0.22051307E+02  0.26865382E+01  0.10651445E+04
 0.24770764E+02  0.24636338E+01  0.12986424E+04
 0.27825594E+02  0.22571749E+01  0.15848085E+04
 0.31257158E+02  0.20685589E+01  0.19355904E+04
 0.35111917E+02  0.18920419E+01  0.23660153E+04
 0.39442061E+02  0.17309972E+01  0.28945263E+04
 0.44306215E+02  0.15800919E+01  0.35442448E+04
 0.49770236E+02  0.14425254E+01  0.43437345E+04
 0.55908102E+02  0.13152632E+01  0.53281482E+04
 0.62802914E+02  0.11993639E+01  0.65408572E+04
 0.70548023E+02  0.10924803E+01  0.80356584E+04
 0.79248290E+02  0.99524765E+00  0.98788488E+04
 0.89021509E+02  0.90519623E+00  0.12153653E+05
 0.10000000E+03  0.82343007E+00  0.14963446E+05
