#   nzt =   1
#    zt = 0.2900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26711800E+01
#    Te =  0.25000000E-01
#   rho =  0.89200000E+01
#  zbar =  0.54150406E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.37049203E+01  0.56957880E-01
 0.11233240E-02  0.39184803E+01  0.60371623E-01
 0.12618569E-02  0.41443578E+01  0.63997240E-01
 0.14174742E-02  0.43817157E+01  0.67848701E-01
 0.15922828E-02  0.46326456E+01  0.71940761E-01
 0.17886495E-02  0.48958379E+01  0.76289445E-01
 0.20092330E-02  0.51739072E+01  0.80911824E-01
 0.22570197E-02  0.54651119E+01  0.85826411E-01
 0.25353645E-02  0.57725547E+01  0.91052954E-01
 0.28480359E-02  0.60938812E+01  0.96612953E-01
 0.31992671E-02  0.64328251E+01  0.10252939E+00
 0.35938137E-02  0.67864174E+01  0.10882728E+00
 0.40370173E-02  0.71590253E+01  0.11553340E+00
 0.45348785E-02  0.75470826E+01  0.12267688E+00
 0.50941380E-02  0.79555750E+01  0.13028893E+00
 0.57223677E-02  0.83792742E+01  0.13840408E+00
 0.64280731E-02  0.88245542E+01  0.14705942E+00
 0.72208090E-02  0.92835822E+01  0.15629659E+00
 0.81113083E-02  0.97648301E+01  0.16616061E+00
 0.91116276E-02  0.10259290E+02  0.17670117E+00
 0.10235310E-01  0.10776632E+02  0.18797210E+00
 0.11497570E-01  0.11308884E+02  0.20003133E+00
 0.12915497E-01  0.11865400E+02  0.21294116E+00
 0.14508288E-01  0.12436023E+02  0.22677047E+00
 0.16297508E-01  0.13031626E+02  0.24159376E+00
 0.18307383E-01  0.13641232E+02  0.25749278E+00
 0.20565123E-01  0.14277010E+02  0.27455606E+00
 0.23101297E-01  0.14933741E+02  0.29287575E+00
 0.25950242E-01  0.15621994E+02  0.31254944E+00
 0.29150531E-01  0.16344555E+02  0.33367445E+00
 0.32745492E-01  0.17109630E+02  0.35635027E+00
 0.36783798E-01  0.17927566E+02  0.38067230E+00
 0.41320124E-01  0.18803944E+02  0.40674479E+00
 0.46415888E-01  0.19925623E+02  0.43452769E+00
 0.52140083E-01  0.21233407E+02  0.46386163E+00
 0.58570208E-01  0.22251806E+02  0.49503060E+00
 0.65793322E-01  0.23118002E+02  0.52859607E+00
