#   nzt =   1
#    zt = 0.2900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28864300E+01
#    Te =  0.25000000E-01
#   rho =  0.60000000E+01
#  zbar =  0.21816197E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.47315653E+01  0.44599280E-01
 0.11233240E-02  0.50028934E+01  0.47272703E-01
 0.12618569E-02  0.52897872E+01  0.50112840E-01
 0.14174742E-02  0.55908582E+01  0.53130829E-01
 0.15922828E-02  0.59090251E+01  0.56338424E-01
 0.17886495E-02  0.62417729E+01  0.59748568E-01
 0.20092330E-02  0.65931169E+01  0.63375049E-01
 0.22570197E-02  0.69592684E+01  0.67233085E-01
 0.25353645E-02  0.73454408E+01  0.71338941E-01
 0.28480359E-02  0.77467871E+01  0.75710473E-01
 0.31992671E-02  0.81695236E+01  0.80366825E-01
 0.35938137E-02  0.86078955E+01  0.85328947E-01
 0.40370173E-02  0.90689775E+01  0.90619332E-01
 0.45348785E-02  0.95455702E+01  0.96262780E-01
 0.50941380E-02  0.10045985E+02  0.10228598E+00
 0.57223677E-02  0.10561088E+02  0.10871854E+00
 0.64280731E-02  0.11100782E+02  0.11559238E+00
 0.72208090E-02  0.11651863E+02  0.12294374E+00
 0.81113083E-02  0.12227313E+02  0.13081197E+00
 0.91116276E-02  0.12811257E+02  0.13924127E+00
 0.10235310E-01  0.13418919E+02  0.14827976E+00
 0.11497570E-01  0.14031445E+02  0.15798160E+00
 0.12915497E-01  0.14666355E+02  0.16840578E+00
 0.14508288E-01  0.15295660E+02  0.17962140E+00
 0.16297508E-01  0.15943038E+02  0.19170554E+00
 0.18307383E-01  0.16594378E+02  0.20473831E+00
 0.20565123E-01  0.17266814E+02  0.21880643E+00
 0.23101297E-01  0.17957601E+02  0.23399816E+00
 0.25950242E-01  0.18677262E+02  0.25041294E+00
 0.29150531E-01  0.19585398E+02  0.26806992E+00
 0.32745492E-01  0.20613325E+02  0.28692979E+00
 0.36783798E-01  0.21363297E+02  0.30721094E+00
 0.41320124E-01  0.22006424E+02  0.32926797E+00
 0.46415888E-01  0.22510674E+02  0.35341166E+00
 0.52140083E-01  0.22979611E+02  0.37994750E+00
 0.58570208E-01  0.23228083E+02  0.40929407E+00
 0.65793322E-01  0.23380272E+02  0.44197728E+00
 0.73907220E-01  0.23338308E+02  0.47861081E+00
 0.83021757E-01  0.23217200E+02  0.51991529E+00
 0.93260335E-01  0.23022489E+02  0.56663691E+00
 0.10476158E+00  0.22797916E+02  0.61959559E+00
 0.11768120E+00  0.22465349E+02  0.67982083E+00
 0.13219411E+00  0.22076866E+02  0.74858136E+00
 0.14849683E+00  0.21666637E+02  0.82724028E+00
 0.16681005E+00  0.21250841E+02  0.91729319E+00
 0.18738174E+00  0.20784011E+02  0.10205763E+01
 0.21049041E+00  0.20282779E+02  0.11393342E+01
 0.23644894E+00  0.19735964E+02  0.12762410E+01
 0.26560878E+00  0.19162933E+02  0.14344686E+01
 0.29836472E+00  0.18564464E+02  0.16177360E+01
 0.33516027E+00  0.17944087E+02  0.18305086E+01
 0.37649358E+00  0.17338193E+02  0.20778479E+01
 0.42292429E+00  0.16749477E+02  0.23653930E+01
 0.47508102E+00  0.16137905E+02  0.27001628E+01
 0.53366992E+00  0.15492692E+02  0.30912382E+01
 0.59948425E+00  0.14862441E+02  0.35490437E+01
 0.67341507E+00  0.14242267E+02  0.40853693E+01
 0.75646333E+00  0.13613880E+02  0.47147749E+01
 0.84975344E+00  0.12952043E+02  0.54563844E+01
 0.95454846E+00  0.12329884E+02  0.63318740E+01
 0.10722672E+01  0.11738493E+02  0.73646937E+01
 0.12045035E+01  0.11134704E+02  0.85851767E+01
 0.13530478E+01  0.10475639E+02  0.10037008E+02
 0.15199111E+01  0.98488373E+01  0.11771365E+02
 0.17073526E+01  0.92382323E+01  0.13846011E+02
 0.19179103E+01  0.86500713E+01  0.16332367E+02
 0.21544347E+01  0.80555235E+01  0.19324041E+02
 0.24201283E+01  0.74966423E+01  0.22934089E+02
 0.27185882E+01  0.69566001E+01  0.27298584E+02
 0.30538555E+01  0.64579130E+01  0.32580973E+02
 0.34304693E+01  0.59879550E+01  0.38976949E+02
 0.38535286E+01  0.55515153E+01  0.46725390E+02
 0.43287613E+01  0.51349856E+01  0.56125914E+02
 0.48626016E+01  0.47538488E+01  0.67537693E+02
 0.54622772E+01  0.44004703E+01  0.81384992E+02
 0.61359073E+01  0.40727329E+01  0.98188006E+02
 0.68926121E+01  0.37589832E+01  0.11861271E+03
 0.77426368E+01  0.34691689E+01  0.14347046E+03
 0.86974900E+01  0.31927937E+01  0.17377246E+03
 0.97700996E+01  0.29389351E+01  0.21075467E+03
 0.10974988E+02  0.27013162E+01  0.25592082E+03
 0.12328467E+02  0.24822463E+01  0.31112215E+03
 0.13848864E+02  0.22748328E+01  0.37870272E+03
 0.15556761E+02  0.20849157E+01  0.46153689E+03
 0.17475284E+02  0.19085248E+01  0.56312758E+03
 0.19630407E+02  0.17464972E+01  0.68779869E+03
 0.22051307E+02  0.15933247E+01  0.84109541E+03
 0.24770764E+02  0.14538115E+01  0.10298465E+04
 0.27825594E+02  0.13256455E+01  0.12623043E+04
 0.31257158E+02  0.12088345E+01  0.15486506E+04
 0.35111917E+02  0.11007024E+01  0.19016756E+04
 0.39442061E+02  0.10023727E+01  0.23371567E+04
 0.44306215E+02  0.91183380E+00  0.28746505E+04
 0.49770236E+02  0.82957668E+00  0.35383338E+04
 0.55908102E+02  0.75425515E+00  0.43580760E+04
 0.62802914E+02  0.68582858E+00  0.53707972E+04
 0.70548023E+02  0.62311321E+00  0.66224552E+04
 0.79248290E+02  0.56615344E+00  0.81698920E+04
 0.89021509E+02  0.51381576E+00  0.10084234E+05
 0.10000000E+03  0.46632334E+00  0.12454019E+05
