#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24704000E+01
#    Te =  0.25000000E-01
#   rho =  0.60000000E+01
#  zbar =  0.26229051E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.30704993E+01  0.17303267E-01
 0.11233240E-02  0.32467510E+01  0.18340451E-01
 0.12618569E-02  0.34331231E+01  0.19442255E-01
 0.14174742E-02  0.36287751E+01  0.20612983E-01
 0.15922828E-02  0.38355507E+01  0.21857177E-01
 0.17886495E-02  0.40520712E+01  0.23179804E-01
 0.20092330E-02  0.42807305E+01  0.24586156E-01
 0.22570197E-02  0.45196100E+01  0.26082013E-01
 0.25353645E-02  0.47716469E+01  0.27673548E-01
 0.28480359E-02  0.50343102E+01  0.29367516E-01
 0.31992671E-02  0.53111294E+01  0.31171146E-01
 0.35938137E-02  0.55990185E+01  0.33092337E-01
 0.40370173E-02  0.59020446E+01  0.35139555E-01
 0.45348785E-02  0.62164392E+01  0.37322074E-01
 0.50941380E-02  0.65468878E+01  0.39649852E-01
 0.57223677E-02  0.68882020E+01  0.42133952E-01
 0.64280731E-02  0.72462088E+01  0.44786282E-01
 0.72208090E-02  0.76132325E+01  0.47620326E-01
 0.81113083E-02  0.79970006E+01  0.50650712E-01
 0.91116276E-02  0.83885410E+01  0.53893740E-01
 0.10235310E-01  0.87967153E+01  0.57367154E-01
 0.11497570E-01  0.92124276E+01  0.61090424E-01
 0.12915497E-01  0.96447941E+01  0.65084672E-01
 0.14508288E-01  0.10081273E+02  0.69373873E-01
 0.16297508E-01  0.10533175E+02  0.73984396E-01
 0.18307383E-01  0.10990652E+02  0.78944715E-01
 0.20565123E-01  0.11464047E+02  0.84285864E-01
 0.23101297E-01  0.11949161E+02  0.90040141E-01
 0.25950242E-01  0.12453307E+02  0.96242932E-01
 0.29150531E-01  0.13012250E+02  0.10292013E+00
 0.32745492E-01  0.13612967E+02  0.11009172E+00
 0.36783798E-01  0.14171197E+02  0.11781083E+00
 0.41320124E-01  0.14723840E+02  0.12615198E+00
 0.46415888E-01  0.15369012E+02  0.13515028E+00
 0.52140083E-01  0.16082413E+02  0.14481222E+00
 0.58570208E-01  0.16545062E+02  0.15527050E+00
 0.65793322E-01  0.16874821E+02  0.16674238E+00
 0.73907220E-01  0.17022985E+02  0.17945039E+00
 0.83021757E-01  0.17079924E+02  0.19364077E+00
 0.93260335E-01  0.16987143E+02  0.20960053E+00
 0.10476158E+00  0.16812683E+02  0.22767095E+00
 0.11768120E+00  0.16507568E+02  0.24826533E+00
