#   nzt = 2
#    zt = 2.9000E+01 8.0000E+00
#    wt = 2.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.75085667E+00
#    Te =  2.50000000E-02
#   rho =  6.00000000E+00
#  zbar =  1.65335717E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.04236043E+00  3.73654859E-02
 1.12332400E-03  4.27837773E+00  3.97267751E-02
 1.26185690E-03  4.52812053E+00  4.22329623E-02
 1.41747420E-03  4.79041173E+00  4.48935206E-02
 1.59228280E-03  5.06793083E+00  4.77185429E-02
 1.78864950E-03  5.35850833E+00  5.07190375E-02
 2.00923300E-03  5.66580987E+00  5.39067777E-02
 2.25701970E-03  5.98653657E+00  5.72946244E-02
 2.53536450E-03  6.32541290E+00  6.08963935E-02
 2.84803590E-03  6.67820777E+00  6.47271155E-02
 3.19926710E-03  7.05052940E+00  6.88029772E-02
 3.59381370E-03  7.43731957E+00  7.31415645E-02
 4.03701730E-03  7.84499053E+00  7.77618440E-02
 4.53487850E-03  8.26713373E+00  8.26845751E-02
 5.09413800E-03  8.71137557E+00  8.79322171E-02
 5.72236770E-03  9.16967630E+00  9.35294333E-02
 6.42807310E-03  9.65111617E+00  9.95029736E-02
 7.22080900E-03  1.01441662E+01  1.05882796E-01
 8.11130830E-03  1.06606734E+01  1.12701624E-01
 9.11162760E-03  1.11868169E+01  1.19995743E-01
 1.02353100E-02  1.17365125E+01  1.27804843E-01
 1.14975700E-02  1.22927133E+01  1.36173274E-01
 1.29154970E-02  1.28719190E+01  1.45149609E-01
 1.45082880E-02  1.34500213E+01  1.54789514E-01
 1.62975080E-02  1.40485703E+01  1.65154853E-01
 1.83073830E-02  1.46617263E+01  1.76307022E-01
 2.05651230E-02  1.53011953E+01  1.88310804E-01
 2.31012970E-02  1.59517997E+01  2.01238283E-01
 2.59502420E-02  1.66278280E+01  2.15168107E-01
 2.91505310E-02  1.74642850E+01  2.30121938E-01
 3.27454920E-02  1.83996530E+01  2.46092253E-01
 3.67837980E-02  1.90743423E+01  2.63260772E-01
 4.13201240E-02  1.96434687E+01  2.81926212E-01
 4.64158880E-02  2.00585147E+01  3.02373627E-01
 5.21400830E-02  2.04260083E+01  3.24898762E-01
 5.85702080E-02  2.06387407E+01  3.49845172E-01
 6.57933220E-02  2.07866467E+01  3.77624373E-01
 7.39072200E-02  2.08015477E+01  4.08708658E-01
 8.30217570E-02  2.07714950E+01  4.43639254E-01
 9.32603350E-02  2.06932243E+01  4.82980834E-01
 1.04761580E-01  2.06018407E+01  5.27357095E-01
 1.17681200E-01  2.04213053E+01  5.77541205E-01
 1.32194110E-01  2.01970697E+01  6.34477525E-01
 1.48496830E-01  1.99589570E+01  6.99172279E-01
 1.66810050E-01  1.97178493E+01  7.72723941E-01
 1.87381740E-01  1.94104053E+01  8.56509928E-01
 2.10490410E-01  1.90466137E+01  9.52276679E-01
 2.36448940E-01  1.86197760E+01  1.06211915E+00
 2.65608780E-01  1.81404803E+01  1.18855784E+00
 2.98364720E-01  1.75939533E+01  1.33468075E+00
 3.35160270E-01  1.69807983E+01  1.50434590E+00
 3.76493580E-01  1.63406593E+01  1.70211404E+00
 4.22924290E-01  1.56808447E+01  1.93330732E+00
 4.75081020E-01  1.49740781E+01  2.20462525E+00
 5.33669920E-01  1.42194355E+01  2.52470282E+00
 5.99484250E-01  1.34698509E+01  2.90380591E+00
 6.73415070E-01  1.27295436E+01  3.35390766E+00
 7.56463330E-01  1.19998718E+01  3.88961178E+00
 8.49753440E-01  1.12659599E+01  4.52931022E+00
 9.54548460E-01  1.05845569E+01  5.29442062E+00
 1.07226720E+00  9.94934740E+00  6.20900472E+00
 1.20450350E+00  9.32973730E+00  7.30335694E+00
 1.35304780E+00  8.69324970E+00  8.61862194E+00
 1.51991110E+00  8.10135123E+00  1.02041331E+01
 1.70735260E+00  7.53992877E+00  1.21165892E+01
 1.91791030E+00  7.01053397E+00  1.44260617E+01
 2.15443470E+00  6.48959183E+00  1.72226124E+01
 2.42012830E+00  6.00662033E+00  2.06164105E+01
 2.71858820E+00  5.54748577E+00  2.47399022E+01
 3.05385550E+00  5.12618360E+00  2.97538774E+01
 3.43046930E+00  4.73189403E+00  3.58524134E+01
 3.85352860E+00  4.36855030E+00  4.32733691E+01
 4.32876130E+00  4.02552470E+00  5.23115800E+01
 4.86260160E+00  3.71334770E+00  6.33234750E+01
