#   nzt =   1
#    zt = 0.2900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28756600E+01
#    Te =  0.25000000E-01
#   rho =  0.33700000E+01
#  zbar =  0.18501281E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.45679446E+01  0.46196796E-01
 0.11233240E-02  0.48296560E+01  0.48966050E-01
 0.12618569E-02  0.51063722E+01  0.51908130E-01
 0.14174742E-02  0.53966792E+01  0.55034616E-01
 0.15922828E-02  0.57034583E+01  0.58357720E-01
 0.17886495E-02  0.60241602E+01  0.61890910E-01
 0.20092330E-02  0.63627660E+01  0.65648535E-01
 0.22570197E-02  0.67154441E+01  0.69646444E-01
 0.25353645E-02  0.70873787E+01  0.73901585E-01
 0.28480359E-02  0.74737028E+01  0.78432571E-01
 0.31992671E-02  0.78805863E+01  0.83259352E-01
 0.35938137E-02  0.83022325E+01  0.88403786E-01
 0.40370173E-02  0.87456924E+01  0.93889332E-01
 0.45348785E-02  0.92036079E+01  0.99741926E-01
 0.50941380E-02  0.96843722E+01  0.10598947E+00
 0.57223677E-02  0.10178786E+02  0.11266293E+00
 0.64280731E-02  0.10696807E+02  0.11979566E+00
 0.72208090E-02  0.11225276E+02  0.12742553E+00
 0.81113083E-02  0.11777205E+02  0.13559363E+00
 0.91116276E-02  0.12336785E+02  0.14434611E+00
 0.10235310E-01  0.12919344E+02  0.15373315E+00
 0.11497570E-01  0.13505140E+02  0.16381161E+00
 0.12915497E-01  0.14112601E+02  0.17464344E+00
 0.14508288E-01  0.14714045E+02  0.18630083E+00
 0.16297508E-01  0.15333894E+02  0.19886425E+00
 0.18307383E-01  0.15967270E+02  0.21241232E+00
 0.20565123E-01  0.16627754E+02  0.22702683E+00
 0.23101297E-01  0.17298257E+02  0.24279979E+00
 0.25950242E-01  0.17999357E+02  0.25983708E+00
 0.29150531E-01  0.18895628E+02  0.27814974E+00
 0.32745492E-01  0.19922651E+02  0.29767983E+00
 0.36783798E-01  0.20655312E+02  0.31865880E+00
 0.41320124E-01  0.21281712E+02  0.34146707E+00
 0.46415888E-01  0.21730900E+02  0.36645308E+00
 0.52140083E-01  0.22135729E+02  0.39397479E+00
 0.58570208E-01  0.22392315E+02  0.42443393E+00
 0.65793322E-01  0.22594565E+02  0.45829954E+00
 0.73907220E-01  0.22648944E+02  0.49613005E+00
 0.83021757E-01  0.22648386E+02  0.53858323E+00
 0.93260335E-01  0.22599158E+02  0.58632851E+00
 0.10476158E+00  0.22526649E+02  0.64009855E+00
 0.11768120E+00  0.22341591E+02  0.70084735E+00
 0.13219411E+00  0.22089155E+02  0.76977156E+00
 0.14849683E+00  0.21798874E+02  0.84816068E+00
 0.16681005E+00  0.21483700E+02  0.93744060E+00
 0.18738174E+00  0.21091112E+02  0.10393985E+01
 0.21049041E+00  0.20639056E+02  0.11562544E+01
 0.23644894E+00  0.20122209E+02  0.12906539E+01
 0.26560878E+00  0.19562478E+02  0.14457347E+01
 0.29836472E+00  0.18960353E+02  0.16252056E+01
 0.33516027E+00  0.18323541E+02  0.18335426E+01
 0.37649358E+00  0.17690063E+02  0.20758518E+01
 0.42292429E+00  0.17066558E+02  0.23578623E+01
 0.47508102E+00  0.16417583E+02  0.26866724E+01
 0.53366992E+00  0.15734437E+02  0.30714169E+01
 0.59948425E+00  0.15066947E+02  0.35226073E+01
 0.67341507E+00  0.14412030E+02  0.40521484E+01
 0.75646333E+00  0.13752056E+02  0.46747034E+01
 0.84975344E+00  0.13061876E+02  0.54094943E+01
 0.95454846E+00  0.12415816E+02  0.62783043E+01
 0.10722672E+01  0.11804938E+02  0.73046769E+01
 0.12045035E+01  0.11185142E+02  0.85190066E+01
 0.13530478E+01  0.10512586E+02  0.99650594E+01
 0.15199111E+01  0.98761575E+01  0.11694029E+02
 0.17073526E+01  0.92594712E+01  0.13763474E+02
 0.19179103E+01  0.86670759E+01  0.16244560E+02
 0.21544347E+01  0.80684980E+01  0.19230930E+02
 0.24201283E+01  0.75070506E+01  0.22835608E+02
 0.27185882E+01  0.69650159E+01  0.27194469E+02
 0.30538555E+01  0.64648708E+01  0.32470856E+02
 0.34304693E+01  0.59938635E+01  0.38860255E+02
 0.38535286E+01  0.55564949E+01  0.46601414E+02
 0.43287613E+01  0.51391051E+01  0.55993974E+02
 0.48626016E+01  0.47572476E+01  0.67396994E+02
 0.54622772E+01  0.44023484E+01  0.81236360E+02
 0.61359073E+01  0.40732560E+01  0.98034669E+02
 0.68926121E+01  0.37578883E+01  0.11846108E+03
 0.77426368E+01  0.34666515E+01  0.14333164E+03
 0.86974900E+01  0.31891175E+01  0.17366240E+03
 0.97700996E+01  0.29344235E+01  0.21069480E+03
 0.10974988E+02  0.26963569E+01  0.25593766E+03
 0.12328467E+02  0.24770480E+01  0.31124795E+03
 0.13848864E+02  0.22694613E+01  0.37898004E+03
 0.15556761E+02  0.20796259E+01  0.46201851E+03
 0.17475284E+02  0.19035278E+01  0.56387263E+03
 0.19630407E+02  0.17419201E+01  0.68887185E+03
 0.22051307E+02  0.15892274E+01  0.84256802E+03
 0.24770764E+02  0.14501989E+01  0.10317969E+04
 0.27825594E+02  0.13223987E+01  0.12648293E+04
 0.31257158E+02  0.12059309E+01  0.15518707E+04
 0.35111917E+02  0.10980455E+01  0.19057475E+04
 0.39442061E+02  0.99995122E+00  0.23422839E+04
 0.44306215E+02  0.90966955E+00  0.28810675E+04
 0.49770236E+02  0.82762154E+00  0.35463188E+04
 0.55908102E+02  0.75239491E+00  0.43680406E+04
 0.62802914E+02  0.68405720E+00  0.53833294E+04
 0.70548023E+02  0.62145919E+00  0.66382765E+04
 0.79248290E+02  0.56460748E+00  0.81898858E+04
 0.89021509E+02  0.51233235E+00  0.10109621E+05
 0.10000000E+03  0.46490920E+00  0.12486455E+05
