#   nzt =   1
#    zt = 0.1000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.20159700E+01
#    Te =  0.25000000E-01
#   rho =  0.33700000E+01
#  zbar =  0.71043598E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.16514364E+01  0.20268229E-02
 0.11233240E-02  0.17454352E+01  0.21483422E-02
 0.12618569E-02  0.18447845E+01  0.22774905E-02
 0.14174742E-02  0.19488721E+01  0.24147861E-02
 0.15922828E-02  0.20588125E+01  0.25607752E-02
 0.17886495E-02  0.21735073E+01  0.27160640E-02
 0.20092330E-02  0.22945268E+01  0.28812986E-02
 0.22570197E-02  0.24202040E+01  0.30571982E-02
 0.25353645E-02  0.25526220E+01  0.32445329E-02
 0.28480359E-02  0.26896706E+01  0.34441532E-02
 0.31992671E-02  0.28338332E+01  0.36569728E-02
 0.35938137E-02  0.29826369E+01  0.38839964E-02
 0.40370173E-02  0.31388867E+01  0.41263057E-02
 0.45348785E-02  0.32994795E+01  0.43851020E-02
 0.50941380E-02  0.34677278E+01  0.46616829E-02
 0.57223677E-02  0.36397778E+01  0.49574970E-02
 0.64280731E-02  0.38195326E+01  0.52741112E-02
 0.72208090E-02  0.40014340E+01  0.56133243E-02
 0.81113083E-02  0.41906293E+01  0.59771003E-02
 0.91116276E-02  0.43804021E+01  0.63676704E-02
 0.10235310E-01  0.45768119E+01  0.67874794E-02
 0.11497570E-01  0.47715788E+01  0.72393281E-02
 0.12915497E-01  0.49718628E+01  0.77262942E-02
 0.14508288E-01  0.51651527E+01  0.82520760E-02
 0.16297508E-01  0.53613752E+01  0.88208618E-02
 0.18307383E-01  0.55548588E+01  0.94369940E-02
 0.20565123E-01  0.57519483E+01  0.10105227E-01
 0.23101297E-01  0.59515936E+01  0.10830435E-01
 0.25950242E-01  0.61565492E+01  0.11618306E-01
 0.29150531E-01  0.64425758E+01  0.12468983E-01
 0.32745492E-01  0.67732681E+01  0.13378573E-01
 0.36783798E-01  0.69547840E+01  0.14361711E-01
 0.41320124E-01  0.70679680E+01  0.15443250E-01
 0.46415888E-01  0.70835264E+01  0.16647549E-01
 0.52140083E-01  0.70576252E+01  0.18001302E-01
 0.58570208E-01  0.69376083E+01  0.19538220E-01
