#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26098500E+01
#    Te =  0.25000000E-01
#   rho =  0.33700000E+01
#  zbar =  0.22623044E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.35489436E+01  0.14970559E-01
 0.11233240E-02  0.37523784E+01  0.15867952E-01
 0.12618569E-02  0.39674792E+01  0.16821324E-01
 0.14174742E-02  0.41931954E+01  0.17834420E-01
 0.15922828E-02  0.44317223E+01  0.18911189E-01
 0.17886495E-02  0.46812296E+01  0.20055972E-01
 0.20092330E-02  0.49446793E+01  0.21273393E-01
 0.22570197E-02  0.52193998E+01  0.22568540E-01
 0.25353645E-02  0.55091576E+01  0.23946849E-01
 0.28480359E-02  0.58104992E+01  0.25414285E-01
 0.31992671E-02  0.61279330E+01  0.26977238E-01
 0.35938137E-02  0.64573188E+01  0.28642705E-01
 0.40370173E-02  0.68038152E+01  0.30418192E-01
 0.45348785E-02  0.71622816E+01  0.32311963E-01
 0.50941380E-02  0.75387443E+01  0.34332905E-01
 0.57223677E-02  0.79265066E+01  0.36490891E-01
 0.64280731E-02  0.83328607E+01  0.38796562E-01
 0.72208090E-02  0.87480783E+01  0.41261994E-01
 0.81113083E-02  0.91817538E+01  0.43900304E-01
 0.91116276E-02  0.96223352E+01  0.46726187E-01
 0.10235310E-01  0.10080972E+02  0.49755649E-01
 0.11497570E-01  0.10544673E+02  0.53006538E-01
 0.12915497E-01  0.11025777E+02  0.56498272E-01
 0.14508288E-01  0.11505471E+02  0.60253354E-01
 0.16297508E-01  0.11999968E+02  0.64296756E-01
 0.18307383E-01  0.12498159E+02  0.68654805E-01
 0.20565123E-01  0.13012693E+02  0.73356086E-01
 0.23101297E-01  0.13540175E+02  0.78429974E-01
 0.25950242E-01  0.14088434E+02  0.83909362E-01
 0.29150531E-01  0.14748883E+02  0.89807077E-01
 0.32745492E-01  0.15482014E+02  0.96121731E-01
 0.36783798E-01  0.16058555E+02  0.10291870E+00
 0.41320124E-01  0.16574451E+02  0.11030074E+00
 0.46415888E-01  0.17050312E+02  0.11834996E+00
 0.52140083E-01  0.17523496E+02  0.12713933E+00
 0.58570208E-01  0.17777515E+02  0.13680844E+00
 0.65793322E-01  0.17921323E+02  0.14755015E+00
 0.73907220E-01  0.17893048E+02  0.15958033E+00
 0.83021757E-01  0.17785728E+02  0.17314751E+00
 0.93260335E-01  0.17572653E+02  0.18852845E+00
 0.10476158E+00  0.17306453E+02  0.20604263E+00
 0.11768120E+00  0.16922801E+02  0.22609264E+00
 0.13219411E+00  0.16475517E+02  0.24918188E+00
 0.14849683E+00  0.16000310E+02  0.27585988E+00
 0.16681005E+00  0.15518490E+02  0.30673355E+00
 0.18738174E+00  0.14972552E+02  0.34258444E+00
 0.21049041E+00  0.14383007E+02  0.38441929E+00
 0.23644894E+00  0.13754720E+02  0.43345452E+00
 0.26560878E+00  0.13106163E+02  0.49115885E+00
 0.29836472E+00  0.12429529E+02  0.55934803E+00
 0.33516027E+00  0.11727993E+02  0.64033989E+00
 0.37649358E+00  0.11042488E+02  0.73687654E+00
 0.42292429E+00  0.10373806E+02  0.85217758E+00
 0.47508102E+00  0.97158916E+01  0.99025247E+00
 0.53366992E+00  0.90629281E+01  0.11562113E+01
 0.59948425E+00  0.84314483E+01  0.13563419E+01
 0.67341507E+00  0.78171509E+01  0.15984472E+01
 0.75646333E+00  0.72418143E+01  0.18919170E+01
 0.84975344E+00  0.66994892E+01  0.22480416E+01
 0.95454846E+00  0.61965044E+01  0.26805216E+01
 0.10722672E+01  0.57280006E+01  0.32059212E+01
 0.12045035E+01  0.52919977E+01  0.38445377E+01
 0.13530478E+01  0.48819930E+01  0.46216329E+01
 0.15199111E+01  0.45023884E+01  0.55680210E+01
 0.17073526E+01  0.41482737E+01  0.67213458E+01
 0.19179103E+01  0.38206083E+01  0.81276972E+01
 0.21544347E+01  0.35133943E+01  0.98444149E+01
 0.24201283E+01  0.32304948E+01  0.11941599E+02
 0.27185882E+01  0.29676952E+01  0.14504930E+02
 0.30538555E+01  0.27253181E+01  0.17639768E+02
 0.34304693E+01  0.24987436E+01  0.21477681E+02
 0.38535286E+01  0.22903063E+01  0.26180470E+02
 0.43287613E+01  0.20963948E+01  0.31948363E+02
 0.48626016E+01  0.19191516E+01  0.39026528E+02
 0.54622772E+01  0.17562175E+01  0.47713364E+02
 0.61359073E+01  0.16060128E+01  0.58379303E+02
 0.68926121E+01  0.14647540E+01  0.71500182E+02
 0.77426368E+01  0.13355539E+01  0.87662977E+02
 0.86974900E+01  0.12159979E+01  0.10759104E+03
 0.97700996E+01  0.11069999E+01  0.13217923E+03
 0.10974988E+02  0.10068870E+01  0.16253354E+03
 0.12328467E+02  0.91561184E+00  0.20002451E+03
 0.13848864E+02  0.83150873E+00  0.24637104E+03
 0.15556761E+02  0.75513580E+00  0.30370043E+03
 0.17475284E+02  0.68562923E+00  0.37462006E+03
 0.19630407E+02  0.62230124E+00  0.46236780E+03
 0.22051307E+02  0.56352379E+00  0.57110616E+03
 0.24770764E+02  0.51038327E+00  0.70599939E+03
 0.27825594E+02  0.46268713E+00  0.87321850E+03
 0.31257158E+02  0.41942421E+00  0.10804157E+04
 0.35111917E+02  0.37994014E+00  0.13372690E+04
 0.39442061E+02  0.34411714E+00  0.16557813E+04
 0.44306215E+02  0.31104842E+00  0.20512558E+04
 0.49770236E+02  0.28118631E+00  0.25427682E+04
 0.55908102E+02  0.25450312E+00  0.31531191E+04
 0.62802914E+02  0.23033320E+00  0.39105381E+04
 0.70548023E+02  0.20801825E+00  0.48517349E+04
 0.79248290E+02  0.18787236E+00  0.60225312E+04
 0.89021509E+02  0.16982840E+00  0.74780383E+04
 0.10000000E+03  0.15351892E+00  0.92868170E+04
