#   nzt = 3
#    zt = 2.9000E+01 8.0000E+00 1.0000E+00
#    wt = 1.0000E+00 2.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.40135800E+00
#    Te =  2.50000000E-02
#   rho =  3.37000000E+00
#  zbar =  1.99235681E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  2.97439650E+00  2.04516821E-02
 1.12332400E-03  3.14476416E+00  2.17651679E-02
 1.26185690E-03  3.32489872E+00  2.31607049E-02
 1.41747420E-03  3.51389938E+00  2.46437244E-02
 1.59228280E-03  3.71362590E+00  2.62200375E-02
 1.78864950E-03  3.92250330E+00  2.78959913E-02
 2.00923300E-03  4.14305456E+00  2.96783971E-02
 2.25701970E-03  4.37296348E+00  3.15746971E-02
 2.53536450E-03  4.61546258E+00  3.35929027E-02
 2.84803590E-03  4.86757254E+00  3.57417427E-02
 3.19926710E-03  5.13316404E+00  3.80306300E-02
 3.59381370E-03  5.40868712E+00  4.04697990E-02
 4.03701730E-03  5.69857088E+00  4.30702984E-02
 4.53487850E-03  5.99841208E+00  4.58442039E-02
 5.09413800E-03  6.31340728E+00  4.88045879E-02
 5.72236770E-03  6.63787176E+00  5.19658407E-02
 6.42807310E-03  6.97809752E+00  5.53435932E-02
 7.22080900E-03  7.32582712E+00  5.89553789E-02
 8.11130830E-03  7.68938356E+00  6.28203786E-02
 9.11162760E-03  8.05896352E+00  6.69598648E-02
 1.02353100E-02  8.44433112E+00  7.13971260E-02
 1.14975700E-02  8.83434052E+00  7.61579382E-02
 1.29154970E-02  9.24000612E+00  8.12704531E-02
 1.45082880E-02  9.64498336E+00  8.67668987E-02
 1.62975080E-02  1.00639140E+01  9.26830665E-02
 1.83073830E-02  1.04878108E+01  9.90562632E-02
 2.05651230E-02  1.09279552E+01  1.05926555E-01
 2.31012970E-02  1.13822514E+01  1.13334687E-01
 2.59502420E-02  1.18576510E+01  1.21323214E-01
 2.91505310E-02  1.24426172E+01  1.29905502E-01
 3.27454920E-02  1.31003117E+01  1.39078314E-01
 3.67837980E-02  1.36072591E+01  1.48932779E-01
 4.13201240E-02  1.40534132E+01  1.59620561E-01
 4.64158880E-02  1.44399032E+01  1.71275331E-01
 5.21400830E-02  1.48087248E+01  1.84029747E-01
 5.85702080E-02  1.49863062E+01  1.98095197E-01
 6.57933220E-02  1.50652054E+01  2.13760804E-01
 7.39072200E-02  1.49840935E+01  2.31361236E-01
 8.30217570E-02  1.48278709E+01  2.51290386E-01
 9.32603350E-02  1.45919076E+01  2.73977205E-01
 1.04761580E-01  1.43179947E+01  2.99913232E-01
 1.17681200E-01  1.39573218E+01  3.29706820E-01
 1.32194110E-01  1.35512077E+01  3.64110233E-01
 1.48496830E-01  1.31281279E+01  4.03959106E-01
 1.66810050E-01  1.27045775E+01  4.50190516E-01
 1.87381740E-01  1.22484815E+01  5.03958896E-01
 2.10490410E-01  1.17714968E+01  5.66709118E-01
 2.36448940E-01  1.12692334E+01  6.40200618E-01
 2.65608780E-01  1.07557271E+01  7.26568937E-01
 2.98364720E-01  1.02348557E+01  8.28377443E-01
 3.35160270E-01  9.70771208E+00  9.48760647E-01
 3.76493580E-01  9.19752520E+00  1.09141251E+00
 4.22924290E-01  8.70479272E+00  1.26063958E+00
 4.75081020E-01  8.22002140E+00  1.46173000E+00
 5.33669920E-01  7.73753164E+00  1.70133319E+00
 5.99484250E-01  7.27256172E+00  1.98748545E+00
 6.73415070E-01  6.82196784E+00  2.32982762E+00
 7.56463330E-01  6.39187808E+00  2.74003370E+00
 8.49753440E-01  5.97394796E+00  3.23246591E+00
 9.54548460E-01  5.58485876E+00  3.82423996E+00
 1.07226720E+00  5.22035404E+00  4.53537209E+00
 1.20450350E+00  4.87161890E+00  5.39072099E+00
 1.35304780E+00  4.52706847E+00  6.42258066E+00
 1.51991110E+00  4.20501557E+00  7.67019445E+00
 1.70735260E+00  3.89966219E+00  9.18024637E+00
 1.91791030E+00  3.61355887E+00  1.10101252E+01
 2.15443470E+00  3.33857162E+00  1.32318016E+01
 2.42012830E+00  3.08372147E+00  1.59333701E+01
 2.71858820E+00  2.84376476E+00  1.92216216E+01
 3.05385550E+00  2.62261888E+00  2.32269613E+01
 3.43046930E+00  2.41560105E+00  2.81088531E+01
 3.85352860E+00  2.22443550E+00  3.40634694E+01
 4.32876130E+00  2.04473354E+00  4.13339726E+01
 4.86260160E+00  1.88048694E+00  5.02165233E+01
 5.46227720E+00  1.72892262E+00  6.10677037E+01
