#   nzt =   1
#    zt = 0.6600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.37045100E+01
#    Te =  0.50000000E+00
#   rho =  0.85510000E+01
#  zbar =  0.22360893E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.80083366E+01  0.67586883E-01
 0.11233240E-02  0.84744088E+01  0.71636626E-01
 0.12618569E-02  0.89671904E+01  0.75935463E-01
 0.14174742E-02  0.94825004E+01  0.80500589E-01
 0.15922828E-02  0.10027035E+02  0.85350075E-01
 0.17886495E-02  0.10594870E+02  0.90503765E-01
 0.20092330E-02  0.11194395E+02  0.95982820E-01
 0.22570197E-02  0.11818107E+02  0.10181041E+00
 0.25353645E-02  0.12475963E+02  0.10801129E+00
 0.28480359E-02  0.13158674E+02  0.11461261E+00
 0.31992671E-02  0.13877966E+02  0.12164342E+00
 0.35938137E-02  0.14621942E+02  0.12913579E+00
 0.40370173E-02  0.15404789E+02  0.13712404E+00
 0.45348785E-02  0.16209733E+02  0.14564676E+00
 0.50941380E-02  0.17055183E+02  0.15474537E+00
 0.57223677E-02  0.17919724E+02  0.16446635E+00
 0.64280731E-02  0.18825859E+02  0.17485969E+00
 0.72208090E-02  0.19743739E+02  0.18598264E+00
 0.81113083E-02  0.20702502E+02  0.19789733E+00
 0.91116276E-02  0.21667627E+02  0.21067369E+00
 0.10235310E-01  0.22672409E+02  0.22438737E+00
 0.11497570E-01  0.23662389E+02  0.23912907E+00
 0.12915497E-01  0.24684801E+02  0.25499967E+00
 0.14508288E-01  0.25703085E+02  0.27210570E+00
 0.16297508E-01  0.26755661E+02  0.29056871E+00
 0.18307383E-01  0.28001864E+02  0.31043944E+00
 0.20565123E-01  0.29361766E+02  0.33173022E+00
 0.23101297E-01  0.30417115E+02  0.35467607E+00
 0.25950242E-01  0.31390656E+02  0.37961257E+00
 0.29150531E-01  0.32256680E+02  0.40681898E+00
 0.32745492E-01  0.33125619E+02  0.43655903E+00
 0.36783798E-01  0.33650847E+02  0.46927008E+00
 0.41320124E-01  0.34075326E+02  0.50550976E+00
 0.46415888E-01  0.34380806E+02  0.54579263E+00
 0.52140083E-01  0.34700683E+02  0.59063213E+00
 0.58570208E-01  0.34911370E+02  0.64062007E+00
 0.65793322E-01  0.35120994E+02  0.69643826E+00
 0.73907220E-01  0.35282081E+02  0.75881503E+00
 0.83021757E-01  0.35478052E+02  0.82853118E+00
 0.93260335E-01  0.35658559E+02  0.90643094E+00
 0.10476158E+00  0.35861002E+02  0.99345740E+00
 0.11768120E+00  0.35963960E+02  0.10907985E+01
 0.13219411E+00  0.36020941E+02  0.11999123E+01
 0.14849683E+00  0.36059322E+02  0.13223254E+01
 0.16681005E+00  0.36085746E+02  0.14596838E+01
 0.18738174E+00  0.35947976E+02  0.16142073E+01
 0.21049041E+00  0.35660938E+02  0.17888272E+01
 0.23644894E+00  0.35226432E+02  0.19869903E+01
 0.26560878E+00  0.34654270E+02  0.22127886E+01
 0.29836472E+00  0.33880956E+02  0.24714141E+01
 0.33516027E+00  0.32906633E+02  0.27696055E+01
 0.37649358E+00  0.31827312E+02  0.31152566E+01
 0.42292429E+00  0.30658706E+02  0.35174924E+01
 0.47508102E+00  0.29348543E+02  0.39880167E+01
 0.53366992E+00  0.27903382E+02  0.45421895E+01
 0.59948425E+00  0.26437944E+02  0.51981880E+01
 0.67341507E+00  0.24968518E+02  0.59772642E+01
 0.75646333E+00  0.23521959E+02  0.69050884E+01
 0.84975344E+00  0.22083241E+02  0.80136019E+01
 0.95454846E+00  0.20746191E+02  0.93396735E+01
 0.10722672E+01  0.19503750E+02  0.10924591E+02
 0.12045035E+01  0.18322270E+02  0.12818755E+02
 0.13530478E+01  0.17157379E+02  0.15087906E+02
 0.15199111E+01  0.16096974E+02  0.17807657E+02
 0.17073526E+01  0.15121305E+02  0.21061627E+02
 0.19179103E+01  0.14201792E+02  0.24952054E+02
 0.21544347E+01  0.13277790E+02  0.29616913E+02
 0.24201283E+01  0.12428145E+02  0.35218812E+02
 0.27185882E+01  0.11622999E+02  0.41944512E+02
 0.30538555E+01  0.10867801E+02  0.50021815E+02
 0.34304693E+01  0.10109201E+02  0.59752933E+02
 0.38535286E+01  0.94039376E+01  0.71503980E+02
 0.43287613E+01  0.87198262E+01  0.85719379E+02
 0.48626016E+01  0.80916768E+01  0.10293384E+03
 0.54622772E+01  0.74973795E+01  0.12378926E+03
 0.61359073E+01  0.69482612E+01  0.14906783E+03
 0.68926121E+01  0.64208617E+01  0.17975676E+03
 0.77426368E+01  0.59381417E+01  0.21704597E+03
 0.86974900E+01  0.54822952E+01  0.26238345E+03
 0.97700996E+01  0.50685696E+01  0.31750869E+03
 0.10974988E+02  0.46874474E+01  0.38447629E+03
 0.12328467E+02  0.43386284E+01  0.46577069E+03
 0.13848864E+02  0.40063212E+01  0.56456012E+03
 0.15556761E+02  0.37024511E+01  0.68467373E+03
 0.17475284E+02  0.34114197E+01  0.83091062E+03
 0.19630407E+02  0.31448600E+01  0.10091349E+04
 0.22051307E+02  0.28907801E+01  0.12266499E+04
 0.24770764E+02  0.26585535E+01  0.14923703E+04
 0.27825594E+02  0.24372994E+01  0.18174918E+04
 0.31257158E+02  0.22355786E+01  0.22157534E+04
 0.35111917E+02  0.20469580E+01  0.27039695E+04
 0.39442061E+02  0.18752625E+01  0.33027146E+04
 0.44306215E+02  0.17142910E+01  0.40377472E+04
 0.49770236E+02  0.15680951E+01  0.49406795E+04
 0.55908102E+02  0.14332938E+01  0.60500000E+04
 0.62802914E+02  0.13109529E+01  0.74127454E+04
 0.70548023E+02  0.11972224E+01  0.90878171E+04
 0.79248290E+02  0.10939735E+01  0.11147476E+05
 0.89021509E+02  0.99788451E+00  0.13681952E+05
 0.10000000E+03  0.91080482E+00  0.16802741E+05
