#   nzt =   1
#    zt = 0.6800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36684200E+01
#    Te =  0.25000000E-01
#   rho =  0.90660000E+01
#  zbar =  0.33578429E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.89812033E+01  0.61855532E-01
 0.11233240E-02  0.94913483E+01  0.65564333E-01
 0.12618569E-02  0.10030551E+02  0.69506384E-01
 0.14174742E-02  0.10595044E+02  0.73697625E-01
 0.15922828E-02  0.11191324E+02  0.78154852E-01
 0.17886495E-02  0.11813516E+02  0.82896562E-01
 0.20092330E-02  0.12470188E+02  0.87942476E-01
 0.22570197E-02  0.13153307E+02  0.93314291E-01
 0.25353645E-02  0.13873546E+02  0.99035196E-01
 0.28480359E-02  0.14620863E+02  0.10513064E+00
 0.31992671E-02  0.15407931E+02  0.11162786E+00
 0.35938137E-02  0.16222370E+02  0.11855681E+00
 0.40370173E-02  0.17079154E+02  0.12594954E+00
 0.45348785E-02  0.17961668E+02  0.13384177E+00
 0.50941380E-02  0.18888717E+02  0.14227182E+00
 0.57223677E-02  0.19839446E+02  0.15128237E+00
 0.64280731E-02  0.20836712E+02  0.16091918E+00
 0.72208090E-02  0.21851302E+02  0.17123426E+00
 0.81113083E-02  0.22913245E+02  0.18228374E+00
 0.91116276E-02  0.23988349E+02  0.19413039E+00
 0.10235310E-01  0.25111874E+02  0.20684168E+00
 0.11497570E-01  0.26234315E+02  0.22049604E+00
 0.12915497E-01  0.27402646E+02  0.23517910E+00
 0.14508288E-01  0.28569838E+02  0.25098486E+00
 0.16297508E-01  0.29783883E+02  0.26801881E+00
 0.18307383E-01  0.31139639E+02  0.28634738E+00
 0.20565123E-01  0.32603171E+02  0.30601699E+00
 0.23101297E-01  0.33895594E+02  0.32719407E+00
 0.25950242E-01  0.35163110E+02  0.35010913E+00
 0.29150531E-01  0.36539372E+02  0.37490394E+00
 0.32745492E-01  0.38008708E+02  0.40167118E+00
 0.36783798E-01  0.38904557E+02  0.43080933E+00
 0.41320124E-01  0.39566778E+02  0.46289940E+00
 0.46415888E-01  0.39890544E+02  0.49850907E+00
 0.52140083E-01  0.40112564E+02  0.53824025E+00
 0.58570208E-01  0.40097170E+02  0.58276190E+00
 0.65793322E-01  0.39999787E+02  0.63284467E+00
 0.73907220E-01  0.39697800E+02  0.68939365E+00
 0.83021757E-01  0.39344508E+02  0.75345224E+00
 0.93260335E-01  0.38937284E+02  0.82611544E+00
 0.10476158E+00  0.38524669E+02  0.90859120E+00
 0.11768120E+00  0.37959284E+02  0.10024250E+01
 0.13219411E+00  0.37321120E+02  0.11095347E+01
 0.14849683E+00  0.36668681E+02  0.12319646E+01
 0.16681005E+00  0.36030863E+02  0.13719123E+01
 0.18738174E+00  0.35283131E+02  0.15321678E+01
 0.21049041E+00  0.34454081E+02  0.17162677E+01
 0.23644894E+00  0.33543664E+02  0.19283810E+01
 0.26560878E+00  0.32586405E+02  0.21733869E+01
 0.29836472E+00  0.31557532E+02  0.24571347E+01
 0.33516027E+00  0.30458558E+02  0.27868749E+01
 0.37649358E+00  0.29372022E+02  0.31708515E+01
 0.42292429E+00  0.28302494E+02  0.36182562E+01
 0.47508102E+00  0.27182565E+02  0.41406316E+01
 0.53366992E+00  0.25991588E+02  0.47530661E+01
 0.59948425E+00  0.24815596E+02  0.54731582E+01
 0.67341507E+00  0.23647283E+02  0.63212310E+01
 0.75646333E+00  0.22499566E+02  0.73216703E+01
 0.84975344E+00  0.21340671E+02  0.85048952E+01
 0.95454846E+00  0.20255442E+02  0.99058655E+01
 0.10722672E+01  0.19231098E+02  0.11563508E+02
 0.12045035E+01  0.18234379E+02  0.13525718E+02
 0.13530478E+01  0.17221314E+02  0.15855536E+02
 0.15199111E+01  0.16280722E+02  0.18625551E+02
 0.17073526E+01  0.15395946E+02  0.21916186E+02
 0.19179103E+01  0.14547427E+02  0.25825722E+02
 0.21544347E+01  0.13680383E+02  0.30485742E+02
 0.24201283E+01  0.12874124E+02  0.36050662E+02
 0.27185882E+01  0.12103687E+02  0.42696473E+02
 0.30538555E+01  0.11373584E+02  0.50637104E+02
 0.34304693E+01  0.10629179E+02  0.60157641E+02
 0.38535286E+01  0.99317735E+01  0.71602242E+02
 0.43287613E+01  0.92493741E+01  0.85386170E+02
 0.48626016E+01  0.86194897E+01  0.10200641E+03
 0.54622772E+01  0.80165261E+01  0.12206173E+03
 0.61359073E+01  0.74555022E+01  0.14628208E+03
 0.68926121E+01  0.69095202E+01  0.17559284E+03
 0.77426368E+01  0.64066661E+01  0.21111018E+03
 0.86974900E+01  0.59273631E+01  0.25419186E+03
 0.97700996E+01  0.54890105E+01  0.30647537E+03
 0.10974988E+02  0.50798141E+01  0.36991828E+03
 0.12328467E+02  0.47026456E+01  0.44690294E+03
 0.13848864E+02  0.43421701E+01  0.54045043E+03
 0.15556761E+02  0.40111674E+01  0.65422120E+03
 0.17475284E+02  0.36948486E+01  0.79278196E+03
 0.19630407E+02  0.34041711E+01  0.96172582E+03
 0.22051307E+02  0.31277149E+01  0.11680210E+04
 0.24770764E+02  0.28748900E+01  0.14201705E+04
 0.27825594E+02  0.26359505E+01  0.17287428E+04
 0.31257158E+02  0.24177810E+01  0.21067079E+04
 0.35111917E+02  0.22141661E+01  0.25699984E+04
 0.39442061E+02  0.20284600E+01  0.31381178E+04
 0.44306215E+02  0.18539321E+01  0.38356269E+04
 0.49770236E+02  0.16949860E+01  0.46927747E+04
 0.55908102E+02  0.15481179E+01  0.57465000E+04
 0.62802914E+02  0.14144111E+01  0.70421899E+04
 0.70548023E+02  0.12904632E+01  0.86364597E+04
 0.79248290E+02  0.11776009E+01  0.10598998E+05
 0.89021509E+02  0.10723396E+01  0.13017647E+05
 0.10000000E+03  0.97671316E+00  0.16001508E+05
