#   nzt =   1
#    zt = 0.6800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32549000E+01
#    Te =  0.50000000E+00
#   rho =  0.12978900E+02
#  zbar =  0.28892375E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.57623143E+01  0.96235800E-01
 0.11233240E-02  0.61090349E+01  0.10199666E+00
 0.12618569E-02  0.64760183E+01  0.10810075E+00
 0.14174742E-02  0.68617833E+01  0.11457064E+00
 0.15922828E-02  0.72701150E+01  0.12142997E+00
 0.17886495E-02  0.76981846E+01  0.12870467E+00
 0.20092330E-02  0.81511695E+01  0.13642216E+00
 0.22570197E-02  0.86247280E+01  0.14461259E+00
 0.25353645E-02  0.91255208E+01  0.15330799E+00
 0.28480359E-02  0.96479349E+01  0.16254335E+00
 0.31992671E-02  0.10199924E+02  0.17235600E+00
 0.35938137E-02  0.10774816E+02  0.18278657E+00
 0.40370173E-02  0.11381732E+02  0.19387841E+00
 0.45348785E-02  0.12012323E+02  0.20567903E+00
 0.50941380E-02  0.12677397E+02  0.21823917E+00
 0.57223677E-02  0.13366432E+02  0.23161468E+00
 0.64280731E-02  0.14092330E+02  0.24586522E+00
 0.72208090E-02  0.14839920E+02  0.26105790E+00
 0.81113083E-02  0.15625916E+02  0.27726489E+00
 0.91116276E-02  0.16432046E+02  0.29456640E+00
 0.10235310E-01  0.17277835E+02  0.31304890E+00
 0.11497570E-01  0.18141343E+02  0.33280878E+00
 0.12915497E-01  0.19045023E+02  0.35394998E+00
 0.14508288E-01  0.19956184E+02  0.37659324E+00
 0.16297508E-01  0.20904616E+02  0.40087191E+00
 0.18307383E-01  0.21875041E+02  0.42692171E+00
 0.20565123E-01  0.22888683E+02  0.45488772E+00
 0.23101297E-01  0.23940571E+02  0.48491731E+00
 0.25950242E-01  0.25044676E+02  0.51717685E+00
 0.29150531E-01  0.26391148E+02  0.55169246E+00
 0.32745492E-01  0.27895926E+02  0.58839472E+00
 0.36783798E-01  0.29078023E+02  0.62766545E+00
 0.41320124E-01  0.30146261E+02  0.67011328E+00
 0.46415888E-01  0.31044676E+02  0.71627179E+00
 0.52140083E-01  0.31914858E+02  0.76666384E+00
 0.58570208E-01  0.32595288E+02  0.82191202E+00
 0.65793322E-01  0.33215645E+02  0.88274937E+00
 0.73907220E-01  0.33686103E+02  0.94998244E+00
 0.83021757E-01  0.34126647E+02  0.10245001E+01
 0.93260335E-01  0.34510879E+02  0.11072062E+01
 0.10476158E+00  0.34887073E+02  0.11990827E+01
 0.11768120E+00  0.35128952E+02  0.13013777E+01
 0.13219411E+00  0.35298696E+02  0.14156314E+01
 0.14849683E+00  0.35430465E+02  0.15434355E+01
 0.16681005E+00  0.35533410E+02  0.16865008E+01
 0.18738174E+00  0.35468770E+02  0.18471106E+01
 0.21049041E+00  0.35249627E+02  0.20282606E+01
 0.23644894E+00  0.34872679E+02  0.22334923E+01
 0.26560878E+00  0.34347993E+02  0.24670308E+01
 0.29836472E+00  0.33621937E+02  0.27342015E+01
 0.33516027E+00  0.32694774E+02  0.30418684E+01
 0.37649358E+00  0.31652221E+02  0.33981170E+01
 0.42292429E+00  0.30511954E+02  0.38123467E+01
 0.47508102E+00  0.29227815E+02  0.42965675E+01
 0.53366992E+00  0.27807121E+02  0.48664870E+01
 0.59948425E+00  0.26362062E+02  0.55407055E+01
 0.67341507E+00  0.24910307E+02  0.63409692E+01
 0.75646333E+00  0.23476972E+02  0.72935671E+01
 0.84975344E+00  0.22047317E+02  0.84312870E+01
 0.95454846E+00  0.20718340E+02  0.97919152E+01
 0.10722672E+01  0.19483271E+02  0.11417672E+02
 0.12045035E+01  0.18309827E+02  0.13360004E+02
 0.13530478E+01  0.17154000E+02  0.15685854E+02
 0.15199111E+01  0.16102066E+02  0.18472162E+02
