#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25139000E+01
#    Te =  0.25000000E-01
#   rho =  0.86400000E+01
#  zbar =  0.25082929E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.32157562E+01  0.16521672E-01
 0.11233240E-02  0.34002533E+01  0.17512020E-01
 0.12618569E-02  0.35953391E+01  0.18564098E-01
 0.14174742E-02  0.38001098E+01  0.19682023E-01
 0.15922828E-02  0.40165153E+01  0.20870139E-01
 0.17886495E-02  0.42430451E+01  0.22133205E-01
 0.20092330E-02  0.44822607E+01  0.23476291E-01
 0.22570197E-02  0.47320268E+01  0.24904944E-01
 0.25353645E-02  0.49955221E+01  0.26425094E-01
 0.28480359E-02  0.52699490E+01  0.28043231E-01
 0.31992671E-02  0.55591225E+01  0.29766307E-01
 0.35938137E-02  0.58596519E+01  0.31601918E-01
 0.40370173E-02  0.61759225E+01  0.33558212E-01
 0.45348785E-02  0.65037718E+01  0.35644126E-01
 0.50941380E-02  0.68482734E+01  0.37869261E-01
 0.57223677E-02  0.72037981E+01  0.40244285E-01
 0.64280731E-02  0.75766019E+01  0.42780685E-01
 0.72208090E-02  0.79584012E+01  0.45491478E-01
 0.81113083E-02  0.83574749E+01  0.48390792E-01
 0.91116276E-02  0.87640910E+01  0.51494396E-01
 0.10235310E-01  0.91877836E+01  0.54819462E-01
 0.11497570E-01  0.96183376E+01  0.58384925E-01
 0.12915497E-01  0.10065796E+02  0.62211344E-01
 0.14508288E-01  0.10515822E+02  0.66322213E-01
 0.16297508E-01  0.10981124E+02  0.70743441E-01
 0.18307383E-01  0.11451443E+02  0.75502803E-01
 0.20565123E-01  0.11937807E+02  0.80630534E-01
 0.23101297E-01  0.12436210E+02  0.86157981E-01
 0.25950242E-01  0.12954139E+02  0.92119718E-01
 0.29150531E-01  0.13542648E+02  0.98537440E-01
 0.32745492E-01  0.14181369E+02  0.10542429E+00
 0.36783798E-01  0.14746517E+02  0.11283730E+00
 0.41320124E-01  0.15291052E+02  0.12086002E+00
 0.46415888E-01  0.15893038E+02  0.12954215E+00
 0.52140083E-01  0.16542859E+02  0.13891064E+00
 0.58570208E-01  0.16946206E+02  0.14910059E+00
 0.65793322E-01  0.17220695E+02  0.16032220E+00
 0.73907220E-01  0.17313557E+02  0.17279662E+00
 0.83021757E-01  0.17317829E+02  0.18677157E+00
 0.93260335E-01  0.17185428E+02  0.20253088E+00
 0.10476158E+00  0.16980085E+02  0.22040890E+00
 0.11768120E+00  0.16649031E+02  0.24081501E+00
 0.13219411E+00  0.16246581E+02  0.26425519E+00
 0.14849683E+00  0.15806790E+02  0.29128295E+00
 0.16681005E+00  0.15353638E+02  0.32251004E+00
 0.18738174E+00  0.14831857E+02  0.35872219E+00
 0.21049041E+00  0.14262569E+02  0.40093100E+00
 0.23644894E+00  0.13652138E+02  0.45035645E+00
 0.26560878E+00  0.13019106E+02  0.50846850E+00
 0.29836472E+00  0.12352431E+02  0.57709594E+00
 0.33516027E+00  0.11656408E+02  0.65858884E+00
 0.37649358E+00  0.10977682E+02  0.75570765E+00
 0.42292429E+00  0.10316707E+02  0.87166686E+00
 0.47508102E+00  0.96642597E+01  0.10104903E+01
 0.53366992E+00  0.90150264E+01  0.11773332E+01
 0.59948425E+00  0.83879133E+01  0.13785168E+01
 0.67341507E+00  0.77788911E+01  0.16218456E+01
 0.75646333E+00  0.72081703E+01  0.19167206E+01
 0.84975344E+00  0.66700147E+01  0.22744602E+01
 0.95454846E+00  0.61702801E+01  0.27088106E+01
 0.10722672E+01  0.57042612E+01  0.32364212E+01
 0.12045035E+01  0.52711162E+01  0.38776359E+01
 0.13530478E+01  0.48642607E+01  0.46576830E+01
 0.15199111E+01  0.44871766E+01  0.56073859E+01
 0.17073526E+01  0.41346393E+01  0.67645590E+01
 0.19179103E+01  0.38083630E+01  0.81754898E+01
 0.21544347E+01  0.35025034E+01  0.98976338E+01
 0.24201283E+01  0.32207885E+01  0.12001232E+02
 0.27185882E+01  0.29590063E+01  0.14572186E+02
 0.30538555E+01  0.27175776E+01  0.17716091E+02
 0.34304693E+01  0.24919086E+01  0.21564720E+02
 0.38535286E+01  0.22841876E+01  0.26280213E+02
 0.43287613E+01  0.20906690E+01  0.32063723E+02
 0.48626016E+01  0.19138457E+01  0.39161430E+02
 0.54622772E+01  0.17514305E+01  0.47872210E+02
 0.61359073E+01  0.16017533E+01  0.58566982E+02
 0.68926121E+01  0.14611627E+01  0.71721412E+02
 0.77426368E+01  0.13325011E+01  0.87922424E+02
 0.86974900E+01  0.12132894E+01  0.10789543E+03
 0.97700996E+01  0.11045551E+01  0.13253803E+03
 0.10974988E+02  0.10045342E+01  0.16296152E+03
 0.12328467E+02  0.91341076E+00  0.20054225E+03
 0.13848864E+02  0.82967498E+00  0.24699597E+03
 0.15556761E+02  0.75359580E+00  0.30444655E+03
 0.17475284E+02  0.68423736E+00  0.37551042E+03
 0.19630407E+02  0.62104338E+00  0.46343625E+03
 0.22051307E+02  0.56238824E+00  0.57239455E+03
