#   nzt = 2
#    zt = 6.8000E+01 8.0000E+00
#    wt = 2.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  2.81529200E+00
#    Te =  2.50000000E-02
#   rho =  8.64000000E+00
#  zbar =  2.56624828E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.63060738E+00  5.16180325E-02
 1.12332400E-03  4.89649656E+00  5.49263203E-02
 1.26185690E-03  5.17765944E+00  5.84408019E-02
 1.41747420E-03  5.47281218E+00  6.21750642E-02
 1.59228280E-03  5.78475260E+00  6.61436394E-02
 1.78864950E-03  6.11123578E+00  7.03623704E-02
 2.00923300E-03  6.45601556E+00  7.48482510E-02
 2.25701970E-03  6.81581712E+00  7.96198054E-02
 2.53536450E-03  7.19539208E+00  8.46969621E-02
 2.84803590E-03  7.59048712E+00  9.01014127E-02
 3.19926710E-03  8.00679270E+00  9.58565383E-02
 3.59381370E-03  8.43920402E+00  1.01987745E-01
 4.03701730E-03  8.89423092E+00  1.08522456E-01
 4.53487850E-03  9.36554784E+00  1.15490606E-01
 5.09413800E-03  9.86073902E+00  1.22924602E-01
 5.72236770E-03  1.03715075E+01  1.30860121E-01
 6.42807310E-03  1.09070502E+01  1.39335941E-01
 7.22080900E-03  1.14552752E+01  1.48395516E-01
 8.11130830E-03  1.20282760E+01  1.58086427E-01
 9.11162760E-03  1.26116866E+01  1.68461446E-01
 1.02353100E-02  1.32195563E+01  1.79578449E-01
 1.14975700E-02  1.38358696E+01  1.91501417E-01
 1.29154970E-02  1.44760807E+01  2.04300372E-01
 1.45082880E-02  1.51170610E+01  2.18055190E-01
 1.62975080E-02  1.57790012E+01  2.32854686E-01
 1.83073830E-02  1.64478810E+01  2.48792714E-01
 2.05651230E-02  1.71397528E+01  2.65970876E-01
 2.31012970E-02  1.78501924E+01  2.84494084E-01
 2.59502420E-02  1.85895844E+01  3.04473164E-01
 2.91505310E-02  1.94662892E+01  3.25963311E-01
 3.27454920E-02  2.04353404E+01  3.48989166E-01
 3.67837980E-02  2.12293930E+01  3.73759713E-01
 4.13201240E-02  2.19643678E+01  4.00598703E-01
 4.64158880E-02  2.26842806E+01  4.29764524E-01
 5.21400830E-02  2.34270982E+01  4.61489251E-01
 5.85702080E-02  2.38963408E+01  4.96214713E-01
 6.57933220E-02  2.42379312E+01  5.34565562E-01
 7.39072200E-02  2.43707458E+01  5.77227367E-01
 8.30217570E-02  2.44135184E+01  6.24978498E-01
 9.32603350E-02  2.43313660E+01  6.78664050E-01
 1.04761580E-01  2.41875962E+01  7.39254244E-01
 1.17681200E-01  2.39048104E+01  8.07928858E-01
 1.32194110E-01  2.35440856E+01  8.86122887E-01
 1.48496830E-01  2.31395388E+01  9.75402675E-01
 1.66810050E-01  2.27152408E+01  1.07750818E+00
 1.87381740E-01  2.21993802E+01  1.19461673E+00
 2.10490410E-01  2.16170486E+01  1.32947364E+00
 2.36448940E-01  2.09696726E+01  1.48534735E+00
 2.65608780E-01  2.02807464E+01  1.66612792E+00
 2.98364720E-01  1.95325186E+01  1.87655409E+00
 3.35160270E-01  1.87312488E+01  2.12252397E+00
 3.76493580E-01  1.79380026E+01  2.41084727E+00
 4.22924290E-01  1.71558900E+01  2.74928035E+00
 4.75081020E-01  1.63493133E+01  3.14751773E+00
 5.33669920E-01  1.55094325E+01  3.61803914E+00
 5.99484250E-01  1.46859265E+01  4.17572526E+00
 6.73415070E-01  1.38740853E+01  4.83809946E+00
 7.56463330E-01  1.30897729E+01  5.62623418E+00
 8.49753440E-01  1.23178803E+01  6.56585876E+00
 9.54548460E-01  1.15967182E+01  7.68723900E+00
 1.07226720E+00  1.09187550E+01  9.02521325E+00
 1.20450350E+00  1.02712106E+01  1.06222763E+01
 1.35304780E+00  9.63339002E+00  1.25323207E+01
 1.51991110E+00  9.04165236E+00  1.48191151E+01
 1.70735260E+00  8.48593880E+00  1.75561010E+01
 1.91791030E+00  7.95961320E+00  2.08330249E+01
 2.15443470E+00  7.43767556E+00  2.47651404E+01
 2.42012830E+00  6.95396056E+00  2.94906917E+01
 2.71858820E+00  6.49602444E+00  3.51708416E+01
 3.05385550E+00  6.06525476E+00  4.20031649E+01
 3.43046930E+00  5.63765748E+00  5.02422392E+01
 3.85352860E+00  5.23872706E+00  6.02007589E+01
 4.32876130E+00  4.85335788E+00  7.22579836E+01
 4.86260160E+00  4.49838514E+00  8.68740573E+01
 5.46227720E+00  4.16338782E+00  1.04601433E+02
 6.13590730E+00  3.85287874E+00  1.26118759E+02
 6.89261210E+00  3.55477050E+00  1.52278394E+02
 7.74263680E+00  3.28120520E+00  1.84120894E+02
 8.69749000E+00  3.02369552E+00  2.22905637E+02
 9.77009960E+00  2.78908822E+00  2.70160172E+02
 1.09749880E+01  2.57201526E+00  3.27715570E+02
 1.23284670E+01  2.37295529E+00  3.97808655E+02
 1.38488640E+01  2.18487893E+00  4.83240359E+02
 1.55567610E+01  2.01250022E+00  5.87447802E+02
 1.74752840E+01  1.84997157E+00  7.14666507E+02
 1.96304070E+01  1.70061077E+00  8.70128403E+02
 2.20513070E+01  1.55898536E+00  1.06037238E+03
 2.47707640E+01  1.42939253E+00  1.29347183E+03
 2.78255940E+01  1.30806646E+00  1.57934038E+03
 3.12571580E+01  1.19726814E+00  1.93021290E+03
 3.51119170E+01  1.09440283E+00  2.36112673E+03
 3.94420610E+01  1.00062403E+00  2.89061462E+03
 4.43062150E+01  9.12937806E-01  3.54186001E+03
 4.97702360E+01  8.33255126E-01  4.34351905E+03
 5.59081020E+01  7.60353478E-01  5.33027411E+03
 6.28029140E+01  6.94049318E-01  6.54480206E+03
 7.05480230E+01  6.32669304E-01  8.04049521E+03
 7.92482900E+01  5.76834968E-01  9.88345105E+03
 8.90215090E+01  5.25203554E-01  1.21556969E+04
 1.00000000E+02  4.78253130E-01  1.49589052E+04
