#   nzt =   1
#    zt = 0.6300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.42642800E+01
#    Te =  0.25000000E-01
#   rho =  0.52440000E+01
#  zbar =  0.19345782E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.11700149E+02  0.43138925E-01
 0.11233240E-02  0.12349151E+02  0.45727174E-01
 0.12618569E-02  0.13033899E+02  0.48481636E-01
 0.14174742E-02  0.13745467E+02  0.51414454E-01
 0.15922828E-02  0.14495490E+02  0.54538415E-01
 0.17886495E-02  0.15272074E+02  0.57867666E-01
 0.20092330E-02  0.16089610E+02  0.61417350E-01
 0.22570197E-02  0.16932866E+02  0.65204253E-01
 0.25353645E-02  0.17819312E+02  0.69246378E-01
 0.28480359E-02  0.18728920E+02  0.73563858E-01
 0.31992671E-02  0.19683435E+02  0.78178350E-01
 0.35938137E-02  0.20658393E+02  0.83114004E-01
 0.40370173E-02  0.21679537E+02  0.88396806E-01
 0.45348785E-02  0.22712885E+02  0.94056470E-01
 0.50941380E-02  0.23792018E+02  0.10012509E+00
 0.57223677E-02  0.24868504E+02  0.10664014E+00
 0.64280731E-02  0.25987607E+02  0.11364234E+00
 0.72208090E-02  0.27079895E+02  0.12118034E+00
 0.81113083E-02  0.28207302E+02  0.12930811E+00
 0.91116276E-02  0.29323188E+02  0.13808235E+00
 0.10235310E-01  0.30475571E+02  0.14756623E+00
 0.11497570E-01  0.31724094E+02  0.15780873E+00
 0.12915497E-01  0.33042370E+02  0.16885257E+00
 0.14508288E-01  0.34075904E+02  0.18082296E+00
 0.16297508E-01  0.35055718E+02  0.19388417E+00
 0.18307383E-01  0.36126337E+02  0.20813519E+00
 0.20565123E-01  0.37267377E+02  0.22364924E+00
 0.23101297E-01  0.37881784E+02  0.24066867E+00
 0.25950242E-01  0.38343451E+02  0.25951976E+00
 0.29150531E-01  0.38442492E+02  0.28054660E+00
 0.32745492E-01  0.38476332E+02  0.30412902E+00
 0.36783798E-01  0.38326229E+02  0.33066438E+00
 0.41320124E-01  0.38171528E+02  0.36059583E+00
 0.46415888E-01  0.38011725E+02  0.39436130E+00
 0.52140083E-01  0.37934776E+02  0.43240397E+00
 0.58570208E-01  0.37793900E+02  0.47526168E+00
 0.65793322E-01  0.37687440E+02  0.52356552E+00
 0.73907220E-01  0.37601036E+02  0.57796855E+00
 0.83021757E-01  0.37592442E+02  0.63915215E+00
 0.93260335E-01  0.37564395E+02  0.70791306E+00
 0.10476158E+00  0.37563629E+02  0.78517594E+00
 0.11768120E+00  0.37488991E+02  0.87205340E+00
 0.13219411E+00  0.37388520E+02  0.96988058E+00
 0.14849683E+00  0.37280524E+02  0.10800824E+01
 0.16681005E+00  0.37173702E+02  0.12042042E+01
 0.18738174E+00  0.36896534E+02  0.13443437E+01
 0.21049041E+00  0.36469736E+02  0.15032900E+01
 0.23644894E+00  0.35910480E+02  0.16842830E+01
 0.26560878E+00  0.35227820E+02  0.18911334E+01
 0.29836472E+00  0.34347559E+02  0.21287127E+01
 0.33516027E+00  0.33270225E+02  0.24033861E+01
 0.37649358E+00  0.32102387E+02  0.27225851E+01
 0.42292429E+00  0.30857403E+02  0.30948800E+01
 0.47508102E+00  0.29484394E+02  0.35312495E+01
 0.53366992E+00  0.27989612E+02  0.40460579E+01
 0.59948425E+00  0.26483285E+02  0.46563390E+01
 0.67341507E+00  0.24979876E+02  0.53820775E+01
 0.75646333E+00  0.23508852E+02  0.62473661E+01
 0.84975344E+00  0.22055529E+02  0.72820317E+01
 0.95454846E+00  0.20706104E+02  0.85206027E+01
 0.10722672E+01  0.19453430E+02  0.10001908E+02
 0.12045035E+01  0.18260499E+02  0.11773508E+02
 0.13530478E+01  0.17082088E+02  0.13897775E+02
 0.15199111E+01  0.16008536E+02  0.16446607E+02
 0.17073526E+01  0.15020849E+02  0.19499483E+02
 0.19179103E+01  0.14084810E+02  0.23154427E+02
 0.21544347E+01  0.13136392E+02  0.27545852E+02
 0.24201283E+01  0.12258310E+02  0.32833849E+02
 0.27185882E+01  0.11417787E+02  0.39205723E+02
 0.30538555E+01  0.10634857E+02  0.46889149E+02
 0.34304693E+01  0.98676580E+01  0.56174842E+02
 0.38535286E+01  0.91576731E+01  0.67415203E+02
 0.43287613E+01  0.84772802E+01  0.81039983E+02
 0.48626016E+01  0.78553340E+01  0.97565044E+02
 0.54622772E+01  0.72734524E+01  0.11760597E+03
 0.61359073E+01  0.67380228E+01  0.14191056E+03
 0.68926121E+01  0.62284807E+01  0.17141759E+03
 0.77426368E+01  0.57626720E+01  0.20725667E+03
 0.86974900E+01  0.53225752E+01  0.25081240E+03
 0.97700996E+01  0.49232455E+01  0.30374658E+03
 0.10974988E+02  0.45542885E+01  0.36802880E+03
 0.12328467E+02  0.42165054E+01  0.44604187E+03
 0.13848864E+02  0.38937584E+01  0.54082898E+03
 0.15556761E+02  0.35982855E+01  0.65607359E+03
 0.17475284E+02  0.33136996E+01  0.79642429E+03
 0.19630407E+02  0.30527454E+01  0.96757684E+03
 0.22051307E+02  0.28032517E+01  0.11766412E+04
 0.24770764E+02  0.25754818E+01  0.14323076E+04
 0.27825594E+02  0.23602955E+01  0.17453317E+04
 0.31257158E+02  0.21641863E+01  0.21289058E+04
 0.35111917E+02  0.19811723E+01  0.25992469E+04
 0.39442061E+02  0.18146475E+01  0.31761839E+04
 0.44306215E+02  0.16586046E+01  0.38845704E+04
 0.49770236E+02  0.15169304E+01  0.47549102E+04
 0.55908102E+02  0.13864416E+01  0.58242967E+04
