#   nzt =   1
#    zt = 0.6300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.33967500E+01
#    Te =  0.25000000E-01
#   rho =  0.74200000E+01
#  zbar =  0.33898339E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.68647230E+01  0.73525452E-01
 0.11233240E-02  0.72592062E+01  0.77932546E-01
 0.12618569E-02  0.76763803E+01  0.82613929E-01
 0.14174742E-02  0.81143418E+01  0.87587854E-01
 0.15922828E-02  0.85772561E+01  0.92873572E-01
 0.17886495E-02  0.90616305E+01  0.98492264E-01
 0.20092330E-02  0.95731969E+01  0.10446649E+00
 0.22570197E-02  0.10106707E+02  0.11082109E+00
 0.25353645E-02  0.10669576E+02  0.11758261E+00
 0.28480359E-02  0.11255064E+02  0.12478015E+00
 0.31992671E-02  0.11872038E+02  0.13244488E+00
 0.35938137E-02  0.12512478E+02  0.14061086E+00
 0.40370173E-02  0.13186522E+02  0.14931461E+00
 0.45348785E-02  0.13884128E+02  0.15859634E+00
 0.50941380E-02  0.14617258E+02  0.16849921E+00
 0.57223677E-02  0.15373223E+02  0.17907098E+00
 0.64280731E-02  0.16166315E+02  0.19036302E+00
 0.72208090E-02  0.16978338E+02  0.20243333E+00
 0.81113083E-02  0.17827987E+02  0.21534468E+00
 0.91116276E-02  0.18693512E+02  0.22916718E+00
 0.10235310E-01  0.19596959E+02  0.24397673E+00
 0.11497570E-01  0.20512675E+02  0.25985817E+00
 0.12915497E-01  0.21466270E+02  0.27690319E+00
 0.14508288E-01  0.22419783E+02  0.29521823E+00
 0.16297508E-01  0.23407868E+02  0.31492076E+00
 0.18307383E-01  0.24412257E+02  0.33613129E+00
 0.20565123E-01  0.25459694E+02  0.35897816E+00
 0.23101297E-01  0.26549023E+02  0.38358881E+00
 0.25950242E-01  0.27699759E+02  0.41010352E+00
 0.29150531E-01  0.29148291E+02  0.43853080E+00
 0.32745492E-01  0.30808714E+02  0.46877851E+00
 0.36783798E-01  0.32103096E+02  0.50114835E+00
 0.41320124E-01  0.33280376E+02  0.53614369E+00
 0.46415888E-01  0.34255437E+02  0.57420793E+00
 0.52140083E-01  0.35184972E+02  0.61579008E+00
 0.58570208E-01  0.35860102E+02  0.66144669E+00
 0.65793322E-01  0.36432929E+02  0.71184790E+00
 0.73907220E-01  0.36753916E+02  0.76777752E+00
 0.83021757E-01  0.36949407E+02  0.83017429E+00
 0.93260335E-01  0.37021797E+02  0.90001941E+00
 0.10476158E+00  0.37022965E+02  0.97839014E+00
 0.11768120E+00  0.36807808E+02  0.10666829E+01
 0.13219411E+00  0.36451132E+02  0.11666579E+01
 0.14849683E+00  0.36013955E+02  0.12802070E+01
 0.16681005E+00  0.35528741E+02  0.14093890E+01
 0.18738174E+00  0.34884390E+02  0.15568300E+01
 0.21049041E+00  0.34116571E+02  0.17258577E+01
 0.23644894E+00  0.33229273E+02  0.19204196E+01
 0.26560878E+00  0.32263183E+02  0.21451719E+01
 0.29836472E+00  0.31202117E+02  0.24057180E+01
 0.33516027E+00  0.30054752E+02  0.27090102E+01
 0.37649358E+00  0.28902063E+02  0.30630420E+01
 0.42292429E+00  0.27754084E+02  0.34768653E+01
 0.47508102E+00  0.26571441E+02  0.39616529E+01
 0.53366992E+00  0.25341319E+02  0.45316467E+01
 0.59948425E+00  0.24132097E+02  0.52035690E+01
 0.67341507E+00  0.22938020E+02  0.59969461E+01
 0.75646333E+00  0.21775008E+02  0.69351284E+01
 0.84975344E+00  0.20616576E+02  0.80469665E+01
 0.95454846E+00  0.19537476E+02  0.93656092E+01
 0.10722672E+01  0.18524913E+02  0.10928074E+02
 0.12045035E+01  0.17541368E+02  0.12780061E+02
 0.13530478E+01  0.16544436E+02  0.14981974E+02
 0.15199111E+01  0.15620447E+02  0.17603396E+02
 0.17073526E+01  0.14753150E+02  0.20721373E+02
 0.19179103E+01  0.13914571E+02  0.24431307E+02
 0.21544347E+01  0.13045535E+02  0.28864293E+02
 0.24201283E+01  0.12230035E+02  0.34176170E+02
 0.27185882E+01  0.11437523E+02  0.40549265E+02
 0.30538555E+01  0.10692537E+02  0.48204861E+02
 0.34304693E+01  0.99586346E+01  0.57422429E+02
 0.38535286E+01  0.92745546E+01  0.68539883E+02
 0.43287613E+01  0.86150788E+01  0.81969017E+02
 0.48626016E+01  0.80099649E+01  0.98201607E+02
 0.54622772E+01  0.74424368E+01  0.11782037E+03
 0.61359073E+01  0.69174312E+01  0.14153236E+03
 0.68926121E+01  0.64148783E+01  0.17022586E+03
 0.77426368E+01  0.59518968E+01  0.20497206E+03
 0.86974900E+01  0.55114120E+01  0.24708589E+03
 0.97700996E+01  0.51082043E+01  0.29815052E+03
 0.10974988E+02  0.47317574E+01  0.36005843E+03
 0.12328467E+02  0.43836052E+01  0.43511778E+03
 0.13848864E+02  0.40492464E+01  0.52627418E+03
 0.15556761E+02  0.37409941E+01  0.63711066E+03
 0.17475284E+02  0.34465018E+01  0.77207877E+03
 0.19630407E+02  0.31749099E+01  0.93663940E+03
 0.22051307E+02  0.29154363E+01  0.11376563E+04
 0.24770764E+02  0.26777896E+01  0.13835282E+04
 0.27825594E+02  0.24550458E+01  0.16845337E+04
 0.31257158E+02  0.22515931E+01  0.20532647E+04
 0.35111917E+02  0.20623893E+01  0.25052106E+04
 0.39442061E+02  0.18897422E+01  0.30593114E+04
 0.44306215E+02  0.17275454E+01  0.37394715E+04
 0.49770236E+02  0.15798289E+01  0.45751141E+04
 0.55908102E+02  0.14437960E+01  0.56019479E+04
 0.62802914E+02  0.13197612E+01  0.68638578E+04
 0.70548023E+02  0.12044773E+01  0.84159436E+04
 0.79248290E+02  0.10993583E+01  0.10326084E+05
 0.89021509E+02  0.10012651E+01  0.12679704E+05
 0.10000000E+03  0.91200524E+00  0.15583034E+05
