#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25049900E+01
#    Te =  0.50000000E+00
#   rho =  0.27230700E+01
#  zbar =  0.12524318E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.30870385E+01  0.17210563E-01
 0.11233240E-02  0.32654305E+01  0.18242001E-01
 0.12618569E-02  0.34541689E+01  0.19337295E-01
 0.14174742E-02  0.36523808E+01  0.20500673E-01
 0.15922828E-02  0.38620590E+01  0.21736574E-01
 0.17886495E-02  0.40816146E+01  0.23049874E-01
 0.20092330E-02  0.43137694E+01  0.24445746E-01
 0.22570197E-02  0.45561458E+01  0.25929874E-01
 0.25353645E-02  0.48122328E+01  0.27508312E-01
 0.28480359E-02  0.50789689E+01  0.29187687E-01
 0.31992671E-02  0.53605143E+01  0.30975077E-01
 0.35938137E-02  0.56531999E+01  0.32878209E-01
 0.40370173E-02  0.59617943E+01  0.34905352E-01
 0.45348785E-02  0.62816777E+01  0.37065598E-01
 0.50941380E-02  0.66184825E+01  0.39368695E-01
 0.57223677E-02  0.69663176E+01  0.41825431E-01
 0.64280731E-02  0.73318988E+01  0.44447389E-01
 0.72208090E-02  0.77067096E+01  0.47247683E-01
 0.81113083E-02  0.80994329E+01  0.50240518E-01
 0.91116276E-02  0.84998075E+01  0.53441802E-01
 0.10235310E-01  0.89178442E+01  0.56868843E-01
 0.11497570E-01  0.93411986E+01  0.60541113E-01
 0.12915497E-01  0.97812274E+01  0.64479866E-01
 0.14508288E-01  0.10220188E+02  0.68709899E-01
 0.16297508E-01  0.10672792E+02  0.73258938E-01
 0.18307383E-01  0.11131594E+02  0.78155430E-01
 0.20565123E-01  0.11605614E+02  0.83430101E-01
 0.23101297E-01  0.12086360E+02  0.89116494E-01
 0.25950242E-01  0.12581895E+02  0.95253478E-01
 0.29150531E-01  0.13183072E+02  0.10185454E+00
 0.32745492E-01  0.13847740E+02  0.10891589E+00
 0.36783798E-01  0.14335884E+02  0.11652124E+00
 0.41320124E-01  0.14750115E+02  0.12480174E+00
 0.46415888E-01  0.15073003E+02  0.13387539E+00
 0.52140083E-01  0.15369052E+02  0.14385918E+00
 0.58570208E-01  0.15527917E+02  0.15490947E+00
 0.65793322E-01  0.15623168E+02  0.16722215E+00
 0.73907220E-01  0.15610954E+02  0.18101896E+00
 0.83021757E-01  0.15558679E+02  0.19655094E+00
 0.93260335E-01  0.15443841E+02  0.21409429E+00
 0.10476158E+00  0.15301825E+02  0.23396329E+00
 0.11768120E+00  0.15066059E+02  0.25656181E+00
 0.13219411E+00  0.14780595E+02  0.28239697E+00
 0.14849683E+00  0.14476635E+02  0.31200706E+00
 0.16681005E+00  0.14168673E+02  0.34597284E+00
 0.18738174E+00  0.13794190E+02  0.38505783E+00
 0.21049041E+00  0.13369988E+02  0.43025937E+00
 0.23644894E+00  0.12903615E+02  0.48276322E+00
 0.26560878E+00  0.12408764E+02  0.54398204E+00
 0.29836472E+00  0.11868413E+02  0.61568574E+00
 0.33516027E+00  0.11284579E+02  0.70016769E+00
 0.37649358E+00  0.10697727E+02  0.80013931E+00
 0.42292429E+00  0.10110438E+02  0.91877284E+00
 0.47508102E+00  0.95063578E+01  0.10601315E+01
 0.53366992E+00  0.88809534E+01  0.12295910E+01
 0.59948425E+00  0.82642631E+01  0.14337736E+01
 0.67341507E+00  0.76547525E+01  0.16808784E+01
 0.75646333E+00  0.70784452E+01  0.19808337E+01
 0.84975344E+00  0.65307293E+01  0.23456686E+01
 0.95454846E+00  0.60223606E+01  0.27900000E+01
 0.10722672E+01  0.55491272E+01  0.33314809E+01
 0.12045035E+01  0.51092140E+01  0.39918343E+01
 0.13530478E+01  0.46959974E+01  0.47982756E+01
 0.15199111E+01  0.43164535E+01  0.57838741E+01
 0.17073526E+01  0.39653887E+01  0.69887286E+01
 0.19179103E+01  0.36427662E+01  0.84619400E+01
 0.21544347E+01  0.33422264E+01  0.10264672E+02
 0.24201283E+01  0.30681298E+01  0.12471252E+02
 0.27185882E+01  0.28162481E+01  0.15171506E+02
 0.30538555E+01  0.25853463E+01  0.18475569E+02
 0.34304693E+01  0.23697067E+01  0.22522028E+02
 0.38535286E+01  0.21726609E+01  0.27480393E+02
 0.43287613E+01  0.19903340E+01  0.33558292E+02
 0.48626016E+01  0.18243481E+01  0.41008890E+02
 0.54622772E+01  0.16715055E+01  0.50141472E+02
 0.61359073E+01  0.15307367E+01  0.61339535E+02
 0.68926121E+01  0.13976285E+01  0.75097887E+02
 0.77426368E+01  0.12760182E+01  0.92025446E+02
 0.86974900E+01  0.11631114E+01  0.11287118E+03
 0.97700996E+01  0.10602629E+01  0.13855990E+03
 0.10974988E+02  0.96566728E+00  0.17023040E+03
 0.12328467E+02  0.87932679E+00  0.20929337E+03
 0.13848864E+02  0.79936064E+00  0.25752679E+03
 0.15556761E+02  0.72668540E+00  0.31712922E+03
 0.17475284E+02  0.66027830E+00  0.39079727E+03
 0.19630407E+02  0.59976656E+00  0.48187787E+03
 0.22051307E+02  0.54364717E+00  0.59464527E+03
 0.24770764E+02  0.49284177E+00  0.73439919E+03
 0.27825594E+02  0.44701188E+00  0.90752245E+03
 0.31257158E+02  0.40542457E+00  0.11219277E+04
 0.35111917E+02  0.36743949E+00  0.13875830E+04
 0.39442061E+02  0.33297131E+00  0.17168473E+04
 0.44306215E+02  0.30122337E+00  0.21253876E+04
 0.49770236E+02  0.27252329E+00  0.26327060E+04
 0.55908102E+02  0.24673871E+00  0.32623491E+04
