#   nzt = 2
#    zt = 6.3000E+01 8.0000E+00
#    wt = 2.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  2.84562200E+00
#    Te =  2.50000000E-02
#   rho =  7.42000000E+00
#  zbar =  1.92944836E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.42336718E+00  4.97126512E-02
 1.12332400E-03  4.67734418E+00  5.28989503E-02
 1.26185690E-03  4.94592146E+00  5.62838450E-02
 1.41747420E-03  5.22782232E+00  5.98804317E-02
 1.59228280E-03  5.52577378E+00  6.37027167E-02
 1.78864950E-03  5.83747666E+00  6.77660029E-02
 2.00923300E-03  6.16666766E+00  7.20867066E-02
 2.25701970E-03  6.50993408E+00  7.66827643E-02
 2.53536450E-03  6.87208714E+00  8.15734758E-02
 2.84803590E-03  7.24875692E+00  8.67798514E-02
 3.19926710E-03  7.64569754E+00  9.23245321E-02
 3.59381370E-03  8.05768490E+00  9.82321215E-02
 4.03701730E-03  8.49133164E+00  1.04529158E-01
 4.53487850E-03  8.94005798E+00  1.11244657E-01
 5.09413800E-03  9.41172194E+00  1.18409999E-01
 5.72236770E-03  9.89800496E+00  1.26059632E-01
 6.42807310E-03  1.04083291E+01  1.34230905E-01
 7.22080900E-03  1.09308069E+01  1.42965553E-01
 8.11130830E-03  1.14777604E+01  1.52309104E-01
 9.11162760E-03  1.20350448E+01  1.62311920E-01
 1.02353100E-02  1.26172048E+01  1.73028953E-01
 1.14975700E-02  1.32073057E+01  1.84521188E-01
 1.29154970E-02  1.38225792E+01  1.96855027E-01
 1.45082880E-02  1.44393224E+01  2.10105836E-01
 1.62975080E-02  1.50804792E+01  2.24356461E-01
 1.83073830E-02  1.57402786E+01  2.39688753E-01
 2.05651230E-02  1.64344696E+01  2.56187090E-01
 2.31012970E-02  1.71523344E+01  2.73940831E-01
 2.59502420E-02  1.79136632E+01  2.93042001E-01
 2.91505310E-02  1.88631090E+01  3.13501267E-01
 3.27454920E-02  1.99516316E+01  3.35280110E-01
 3.67837980E-02  2.08115982E+01  3.58574330E-01
 4.13201240E-02  2.15992008E+01  3.83723515E-01
 4.64158880E-02  2.22567850E+01  4.11042569E-01
 5.21400830E-02  2.28834314E+01  4.40857597E-01
 5.85702080E-02  2.33507688E+01  4.73557491E-01
 6.57933220E-02  2.37486774E+01  5.09615349E-01
 7.39072200E-02  2.39839448E+01  5.49583915E-01
 8.30217570E-02  2.41458024E+01  5.94111350E-01
 9.32603350E-02  2.42151024E+01  6.43892155E-01
 1.04761580E-01  2.42280958E+01  6.99719524E-01
 1.17681200E-01  2.40873212E+01  7.62604850E-01
 1.32194110E-01  2.38462386E+01  8.33812224E-01
 1.48496830E-01  2.35428412E+01  9.14723217E-01
 1.66810050E-01  2.31997770E+01  1.00687294E+00
 1.87381740E-01  2.27366240E+01  1.11221431E+00
 2.10490410E-01  2.21791366E+01  1.23324576E+00
 2.36448940E-01  2.15360916E+01  1.37294913E+00
 2.65608780E-01  2.08336694E+01  1.53487745E+00
 2.98364720E-01  2.00588006E+01  1.72336730E+00
 3.35160270E-01  1.92201740E+01  1.94382203E+00
 3.76493580E-01  1.83767080E+01  2.20255321E+00
 4.22924290E-01  1.75359284E+01  2.50683909E+00
 4.75081020E-01  1.66722149E+01  2.86572012E+00
 5.33669920E-01  1.57778963E+01  3.29075048E+00
 5.99484250E-01  1.48997089E+01  3.79580870E+00
 6.73415070E-01  1.40341156E+01  4.39738752E+00
 7.56463330E-01  1.32024968E+01  5.11528880E+00
 8.49753440E-01  1.23907207E+01  5.97356593E+00
 9.54548460E-01  1.16358129E+01  7.00053260E+00
 1.07226720E+00  1.09299165E+01  8.22884576E+00
 1.20450350E+00  1.02572881E+01  9.69848097E+00
 1.35304780E+00  9.59560482E+00  1.14604882E+01
 1.51991110E+00  8.98405554E+00  1.35753551E+01
 1.70735260E+00  8.41329244E+00  1.61124728E+01
 1.91791030E+00  7.87239414E+00  1.91571585E+01
 2.15443470E+00  7.33322834E+00  2.28207942E+01
 2.42012830E+00  6.83227984E+00  2.72383560E+01
 2.71858820E+00  6.35447838E+00  3.25693409E+01
 3.05385550E+00  5.90938120E+00  3.90084940E+01
 3.43046930E+00  5.47864092E+00  4.67988637E+01
 3.85352860E+00  5.07978124E+00  5.62375051E+01
 4.32876130E+00  4.69982324E+00  6.76853397E+01
 4.86260160E+00  4.35230302E+00  8.15778861E+01
 5.46227720E+00  4.02784660E+00  9.84355342E+01
 6.13590730E+00  3.72827016E+00  1.18895719E+02
 6.89261210E+00  3.44209676E+00  1.43758946E+02
 7.74263680E+00  3.17915770E+00  1.74004109E+02
 8.69749000E+00  2.93047976E+00  2.10826969E+02
 9.77009960E+00  2.70331674E+00  2.55683256E+02
 1.09749880E+01  2.49217301E+00  3.10323984E+02
 1.23284670E+01  2.29791846E+00  3.76897755E+02
 1.38488640E+01  2.11335633E+00  4.58111798E+02
