#   nzt =   1
#    zt = 0.9000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35764500E+01
#    Te =  0.25000000E-01
#   rho =  0.11110000E+01
#  zbar =  0.45766242E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.68548334E+01  0.92039411E-02
 0.11233240E-02  0.72068801E+01  0.97572627E-02
 0.12618569E-02  0.75778952E+01  0.10348366E-01
 0.14174742E-02  0.79606745E+01  0.10980157E-01
 0.15922828E-02  0.83640454E+01  0.11655672E-01
 0.17886495E-02  0.87773116E+01  0.12378347E-01
 0.20092330E-02  0.92127966E+01  0.13151829E-01
 0.22570197E-02  0.96559523E+01  0.13980246E-01
 0.25353645E-02  0.10123077E+02  0.14867981E-01
 0.28480359E-02  0.10595745E+02  0.15819974E-01
 0.31992671E-02  0.11094494E+02  0.16841445E-01
 0.35938137E-02  0.11594456E+02  0.17938397E-01
 0.40370173E-02  0.12122538E+02  0.19117205E-01
 0.45348785E-02  0.12652743E+02  0.20384850E-01
 0.50941380E-02  0.13214705E+02  0.21748697E-01
 0.57223677E-02  0.13781727E+02  0.23216698E-01
 0.64280731E-02  0.14384606E+02  0.24797627E-01
 0.72208090E-02  0.15076016E+02  0.26495583E-01
 0.81113083E-02  0.15832216E+02  0.28312314E-01
 0.91116276E-02  0.16429900E+02  0.30267237E-01
 0.10235310E-01  0.17018381E+02  0.32386286E-01
 0.11497570E-01  0.17618594E+02  0.34685185E-01
 0.12915497E-01  0.18247178E+02  0.37177521E-01
 0.14508288E-01  0.18638138E+02  0.39899773E-01
 0.16297508E-01  0.18972272E+02  0.42899712E-01
 0.18307383E-01  0.19213590E+02  0.46219337E-01
 0.20565123E-01  0.19434005E+02  0.49903186E-01
 0.23101297E-01  0.19507760E+02  0.54010499E-01
 0.25950242E-01  0.19542130E+02  0.58611965E-01
 0.29150531E-01  0.19486217E+02  0.63784566E-01
 0.32745492E-01  0.19419797E+02  0.69612914E-01
 0.36783798E-01  0.19257260E+02  0.76199331E-01
 0.41320124E-01  0.19068855E+02  0.83666620E-01
 0.46415888E-01  0.18845564E+02  0.92147051E-01
 0.52140083E-01  0.18636401E+02  0.10178168E+00
 0.58570208E-01  0.18353260E+02  0.11274906E+00
 0.65793322E-01  0.18054146E+02  0.12526678E+00
 0.73907220E-01  0.17719435E+02  0.13957897E+00
 0.83021757E-01  0.17391220E+02  0.15595877E+00
 0.93260335E-01  0.17023008E+02  0.17473190E+00
 0.10476158E+00  0.16650052E+02  0.19628290E+00
 0.11768120E+00  0.16226493E+02  0.22107959E+00
 0.13219411E+00  0.15784488E+02  0.24969210E+00
 0.14849683E+00  0.15346282E+02  0.28274522E+00
 0.16681005E+00  0.14924589E+02  0.32092075E+00
 0.18738174E+00  0.14449837E+02  0.36511187E+00
 0.21049041E+00  0.13940858E+02  0.41648036E+00
 0.23644894E+00  0.13413025E+02  0.47637852E+00
 0.26560878E+00  0.12879542E+02  0.54637726E+00
 0.29836472E+00  0.12318730E+02  0.62842420E+00
 0.33516027E+00  0.11732339E+02  0.72501230E+00
 0.37649358E+00  0.11164127E+02  0.83899835E+00
 0.42292429E+00  0.10613955E+02  0.97359240E+00
 0.47508102E+00  0.10043199E+02  0.11329748E+01
 0.53366992E+00  0.94418483E+01  0.13228453E+01
 0.59948425E+00  0.88516252E+01  0.15500586E+01
