#   nzt =   1
#    zt = 0.2600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26681600E+01
#    Te =  0.25000000E-01
#   rho =  0.78660000E+01
#  zbar =  0.42671008E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.39320963E+01  0.47164601E-01
 0.11233240E-02  0.41584888E+01  0.49991479E-01
 0.12618569E-02  0.43979207E+01  0.52993997E-01
 0.14174742E-02  0.46494729E+01  0.56183760E-01
 0.15922828E-02  0.49153837E+01  0.59573025E-01
 0.17886495E-02  0.51941973E+01  0.63175122E-01
 0.20092330E-02  0.54887329E+01  0.67004256E-01
 0.22570197E-02  0.57970434E+01  0.71075846E-01
 0.25353645E-02  0.61224866E+01  0.75406348E-01
 0.28480359E-02  0.64624383E+01  0.80013696E-01
 0.31992671E-02  0.68209375E+01  0.84917072E-01
 0.35938137E-02  0.71947145E+01  0.90137363E-01
 0.40370173E-02  0.75884589E+01  0.95696946E-01
 0.45348785E-02  0.79982458E+01  0.10162020E+00
 0.50941380E-02  0.84294093E+01  0.10793323E+00
 0.57223677E-02  0.88762255E+01  0.11466501E+00
 0.64280731E-02  0.93454842E+01  0.12184668E+00
 0.72208090E-02  0.98285631E+01  0.12951331E+00
 0.81113083E-02  0.10334506E+02  0.13770287E+00
 0.91116276E-02  0.10853330E+02  0.14645744E+00
 0.10235310E-01  0.11395326E+02  0.15582272E+00
 0.11497570E-01  0.11951382E+02  0.16584818E+00
 0.12915497E-01  0.12531444E+02  0.17658726E+00
 0.14508288E-01  0.13123647E+02  0.18809949E+00
 0.16297508E-01  0.13739644E+02  0.20044972E+00
 0.18307383E-01  0.14367311E+02  0.21370919E+00
 0.20565123E-01  0.15019256E+02  0.22795549E+00
 0.23101297E-01  0.15689641E+02  0.24326976E+00
 0.25950242E-01  0.16388977E+02  0.25973870E+00
 0.29150531E-01  0.17122696E+02  0.27744789E+00
 0.32745492E-01  0.17896348E+02  0.29648487E+00
 0.36783798E-01  0.18710779E+02  0.31694202E+00
 0.41320124E-01  0.19572238E+02  0.33892585E+00
 0.46415888E-01  0.20678480E+02  0.36241828E+00
 0.52140083E-01  0.21958997E+02  0.38730075E+00
 0.58570208E-01  0.22896927E+02  0.41385298E+00
 0.65793322E-01  0.23651700E+02  0.44260188E+00
 0.73907220E-01  0.24165950E+02  0.47404576E+00
 0.83021757E-01  0.24555375E+02  0.50871178E+00
 0.93260335E-01  0.24697299E+02  0.54723722E+00
 0.10476158E+00  0.24698726E+02  0.59039207E+00
 0.11768120E+00  0.24501037E+02  0.63907014E+00
 0.13219411E+00  0.24184461E+02  0.69434402E+00
