#   nzt =   1
#    zt = 0.2600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.27646300E+01
#    Te =  0.25000000E-01
#   rho =  0.52400000E+01
#  zbar =  0.40050254E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.43252528E+01  0.42877437E-01
 0.11233240E-02  0.45738454E+01  0.45447483E-01
 0.12618569E-02  0.48367313E+01  0.48177468E-01
 0.14174742E-02  0.51128189E+01  0.51078001E-01
 0.15922828E-02  0.54046321E+01  0.54160284E-01
 0.17886495E-02  0.57104026E+01  0.57436532E-01
 0.20092330E-02  0.60333636E+01  0.60919761E-01
 0.22570197E-02  0.63710839E+01  0.64624150E-01
 0.25353645E-02  0.67274865E+01  0.68564835E-01
 0.28480359E-02  0.70993400E+01  0.72758343E-01
 0.31992671E-02  0.74913574E+01  0.77222358E-01
 0.35938137E-02  0.78995822E+01  0.81976159E-01
 0.40370173E-02  0.83294486E+01  0.87040409E-01
 0.45348785E-02  0.87761746E+01  0.92437667E-01
 0.50941380E-02  0.92459736E+01  0.98192129E-01
 0.57223677E-02  0.97320857E+01  0.10433065E+00
 0.64280731E-02  0.10242324E+02  0.11088210E+00
 0.72208090E-02  0.10766545E+02  0.11787911E+00
 0.81113083E-02  0.11315172E+02  0.12535704E+00
 0.91116276E-02  0.11876366E+02  0.13335517E+00
 0.10235310E-01  0.12462069E+02  0.14191623E+00
 0.11497570E-01  0.13060749E+02  0.15108681E+00
 0.12915497E-01  0.13684403E+02  0.16091734E+00
 0.14508288E-01  0.14317373E+02  0.17146462E+00
 0.16297508E-01  0.14974282E+02  0.18279086E+00
 0.18307383E-01  0.15641666E+02  0.19496362E+00
 0.20565123E-01  0.16333863E+02  0.20805638E+00
 0.23101297E-01  0.17045112E+02  0.22214559E+00
 0.25950242E-01  0.17786570E+02  0.23731372E+00
 0.29150531E-01  0.18588966E+02  0.25362992E+00
 0.32745492E-01  0.19445696E+02  0.27115580E+00
 0.36783798E-01  0.20294073E+02  0.28999727E+00
 0.41320124E-01  0.21165629E+02  0.31029341E+00
 0.46415888E-01  0.22244893E+02  0.33207197E+00
 0.52140083E-01  0.23472485E+02  0.35527543E+00
 0.58570208E-01  0.24316926E+02  0.38019732E+00
 0.65793322E-01  0.24958158E+02  0.40735443E+00
 0.73907220E-01  0.25316874E+02  0.43726086E+00
 0.83021757E-01  0.25531551E+02  0.47047973E+00
 0.93260335E-01  0.25518548E+02  0.50765403E+00
 0.10476158E+00  0.25381873E+02  0.54953981E+00
 0.11768120E+00  0.25076361E+02  0.59701070E+00
 0.13219411E+00  0.24673808E+02  0.65110688E+00
 0.14849683E+00  0.24213594E+02  0.71295640E+00
 0.16681005E+00  0.23729410E+02  0.78379882E+00
 0.18738174E+00  0.23172877E+02  0.86514554E+00
 0.21049041E+00  0.22566297E+02  0.95885278E+00
 0.23644894E+00  0.21904443E+02  0.10671287E+01
 0.26560878E+00  0.21211617E+02  0.11925829E+01
 0.29836472E+00  0.20474066E+02  0.13383500E+01
 0.33516027E+00  0.19698822E+02  0.15083005E+01
 0.37649358E+00  0.18952543E+02  0.17067470E+01
 0.42292429E+00  0.18235664E+02  0.19383934E+01
 0.47508102E+00  0.17483329E+02  0.22092831E+01
 0.53366992E+00  0.16682295E+02  0.25275038E+01
 0.59948425E+00  0.15902773E+02  0.29023544E+01
 0.67341507E+00  0.15138327E+02  0.33443379E+01
 0.75646333E+00  0.14360590E+02  0.38667193E+01
 0.84975344E+00  0.13537975E+02  0.44874240E+01
 0.95454846E+00  0.12754010E+02  0.52273922E+01
 0.10722672E+01  0.11996343E+02  0.61103674E+01
 0.12045035E+01  0.11256702E+02  0.71659834E+01
 0.13530478E+01  0.10506734E+02  0.84333364E+01
 0.15199111E+01  0.97967038E+01  0.99594828E+01
 0.17073526E+01  0.91109914E+01  0.11800689E+02
 0.19179103E+01  0.84706027E+01  0.14024911E+02
 0.21544347E+01  0.78578194E+01  0.16715598E+02
 0.24201283E+01  0.72912111E+01  0.19973403E+02
 0.27185882E+01  0.67581023E+01  0.23919731E+02
 0.30538555E+01  0.62663380E+01  0.28701304E+02
 0.34304693E+01  0.58034821E+01  0.34497652E+02
 0.38535286E+01  0.53737282E+01  0.41528327E+02
 0.43287613E+01  0.49652811E+01  0.50067791E+02
 0.48626016E+01  0.45909910E+01  0.60446138E+02
 0.54622772E+01  0.42433750E+01  0.73056718E+02
 0.61359073E+01  0.39202001E+01  0.88384281E+02
 0.68926121E+01  0.36098045E+01  0.10705454E+03
 0.77426368E+01  0.33231233E+01  0.12983269E+03
 0.86974900E+01  0.30508841E+01  0.15766847E+03
 0.97700996E+01  0.28007654E+01  0.19172767E+03
 0.10974988E+02  0.25662572E+01  0.23344680E+03
 0.12328467E+02  0.23511252E+01  0.28459418E+03
 0.13848864E+02  0.21501096E+01  0.34736899E+03
 0.15556761E+02  0.19664436E+01  0.42447363E+03
 0.17475284E+02  0.17963003E+01  0.51923780E+03
 0.19630407E+02  0.16406420E+01  0.63576907E+03
 0.22051307E+02  0.14948791E+01  0.77928065E+03
 0.24770764E+02  0.13624002E+01  0.95619700E+03
 0.27825594E+02  0.12413768E+01  0.11742825E+04
 0.31257158E+02  0.11311698E+01  0.14431212E+04
 0.35111917E+02  0.10294775E+01  0.17747590E+04
 0.39442061E+02  0.93697934E+00  0.21840645E+04
 0.44306215E+02  0.85156844E+00  0.26896320E+04
 0.49770236E+02  0.77398262E+00  0.33144903E+04
 0.55908102E+02  0.70290065E+00  0.40871081E+04
 0.62802914E+02  0.63836133E+00  0.50427379E+04
 0.70548023E+02  0.57922457E+00  0.62253328E+04
 0.79248290E+02  0.52558155E+00  0.76893886E+04
 0.89021509E+02  0.47675438E+00  0.95021670E+04
 0.10000000E+03  0.43246553E+00  0.11747268E+05
