#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.23652500E+01
#    Te =  0.25000000E-01
#   rho =  0.52400000E+01
#  zbar =  0.29305265E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.27353084E+01  0.19423648E-01
 0.11233240E-02  0.28925805E+01  0.20587877E-01
 0.12618569E-02  0.30588979E+01  0.21824532E-01
 0.14174742E-02  0.32335655E+01  0.23138417E-01
 0.15922828E-02  0.34181839E+01  0.24534606E-01
 0.17886495E-02  0.36116573E+01  0.26018623E-01
 0.20092330E-02  0.38160114E+01  0.27596359E-01
 0.22570197E-02  0.40297799E+01  0.29274214E-01
 0.25353645E-02  0.42553839E+01  0.31059023E-01
 0.28480359E-02  0.44908541E+01  0.32958246E-01
 0.31992671E-02  0.47391074E+01  0.34979864E-01
 0.35938137E-02  0.49976962E+01  0.37132581E-01
 0.40370173E-02  0.52700085E+01  0.39425726E-01
 0.45348785E-02  0.55530871E+01  0.41869482E-01
 0.50941380E-02  0.58508023E+01  0.44474768E-01
 0.57223677E-02  0.61589087E+01  0.47253712E-01
 0.64280731E-02  0.64823094E+01  0.50219362E-01
 0.72208090E-02  0.68146705E+01  0.53386445E-01
 0.81113083E-02  0.71625033E+01  0.56770925E-01
 0.91116276E-02  0.75184943E+01  0.60390519E-01
 0.10235310E-01  0.78900358E+01  0.64264497E-01
 0.11497570E-01  0.82703339E+01  0.68413772E-01
 0.12915497E-01  0.86665813E+01  0.72860977E-01
 0.14508288E-01  0.90698904E+01  0.77631419E-01
 0.16297508E-01  0.94887279E+01  0.82752735E-01
 0.18307383E-01  0.99142947E+01  0.88255280E-01
 0.20565123E-01  0.10355422E+02  0.94172201E-01
 0.23101297E-01  0.10807665E+02  0.10053830E+00
 0.25950242E-01  0.11277868E+02  0.10739116E+00
 0.29150531E-01  0.11773776E+02  0.11476666E+00
 0.32745492E-01  0.12295879E+02  0.12270090E+00
 0.36783798E-01  0.12831350E+02  0.13123836E+00
 0.41320124E-01  0.13388365E+02  0.14043312E+00
 0.46415888E-01  0.14093485E+02  0.15028928E+00
 0.52140083E-01  0.14901855E+02  0.16077078E+00
 0.58570208E-01  0.15472578E+02  0.17200399E+00
 0.65793322E-01  0.15914590E+02  0.18421845E+00
 0.73907220E-01  0.16193700E+02  0.19763418E+00
 0.83021757E-01  0.16388491E+02  0.21248464E+00
 0.93260335E-01  0.16410037E+02  0.22905845E+00
 0.10476158E+00  0.16332396E+02  0.24770922E+00
 0.11768120E+00  0.16104636E+02  0.26886107E+00
 0.13219411E+00  0.15786926E+02  0.29303558E+00
 0.14849683E+00  0.15418619E+02  0.32079427E+00
 0.16681005E+00  0.15025747E+02  0.35275211E+00
 0.18738174E+00  0.14552158E+02  0.38970417E+00
 0.21049041E+00  0.14021168E+02  0.43267952E+00
 0.23644894E+00  0.13444326E+02  0.48291034E+00
 0.26560878E+00  0.12840426E+02  0.54187254E+00
 0.29836472E+00  0.12194817E+02  0.61141698E+00
 0.33516027E+00  0.11513333E+02  0.69394141E+00
 0.37649358E+00  0.10849289E+02  0.79223827E+00
 0.42292429E+00  0.10202910E+02  0.90952816E+00
 0.47508102E+00  0.95621129E+01  0.10498638E+01
 0.53366992E+00  0.89221295E+01  0.12184655E+01
 0.59948425E+00  0.83043592E+01  0.14217090E+01
 0.67341507E+00  0.77047817E+01  0.16674316E+01
 0.75646333E+00  0.71428461E+01  0.19650715E+01
 0.84975344E+00  0.66127796E+01  0.23259905E+01
 0.95454846E+00  0.61196835E+01  0.27640083E+01
 0.10722672E+01  0.56587879E+01  0.32959190E+01
 0.12045035E+01  0.52309167E+01  0.39421791E+01
 0.13530478E+01  0.48296998E+01  0.47280065E+01
 0.15199111E+01  0.44570508E+01  0.56842952E+01
 0.17073526E+01  0.41075866E+01  0.68491791E+01
 0.19179103E+01  0.37841315E+01  0.82692720E+01
 0.21544347E+01  0.34809460E+01  0.10002257E+02
 0.24201283E+01  0.32015870E+01  0.12118666E+02
 0.27185882E+01  0.29418578E+01  0.14704815E+02
 0.30538555E+01  0.27022943E+01  0.17866766E+02
 0.34304693E+01  0.24783490E+01  0.21736786E+02
 0.38535286E+01  0.22720629E+01  0.26477713E+02
 0.43287613E+01  0.20796125E+01  0.32292010E+02
 0.48626016E+01  0.19037841E+01  0.39427357E+02
 0.54622772E+01  0.17423477E+01  0.48183893E+02
 0.61359073E+01  0.15936677E+01  0.58933790E+02
 0.68926121E+01  0.14542746E+01  0.72152695E+02
 0.77426368E+01  0.13265736E+01  0.88427958E+02
 0.86974900E+01  0.12079480E+01  0.10848955E+03
 0.97700996E+01  0.10997092E+01  0.13324074E+03
 0.10974988E+02  0.10000231E+01  0.16379995E+03
 0.12328467E+02  0.90928407E+00  0.20155155E+03
 0.13848864E+02  0.82618031E+00  0.24820903E+03
 0.15556761E+02  0.75061641E+00  0.30589404E+03
 0.17475284E+02  0.68155114E+00  0.37723844E+03
 0.19630407E+02  0.61862145E+00  0.46550958E+03
 0.22051307E+02  0.56020515E+00  0.57489352E+03
 0.24770764E+02  0.50740440E+00  0.71058388E+03
 0.27825594E+02  0.46010610E+00  0.87876297E+03
 0.31257158E+02  0.41718455E+00  0.10870945E+04
 0.35111917E+02  0.37794060E+00  0.13453152E+04
 0.39442061E+02  0.34233345E+00  0.16655000E+04
 0.44306215E+02  0.30946943E+00  0.20630132E+04
 0.49770236E+02  0.27978764E+00  0.25570053E+04
 0.55908102E+02  0.25324823E+00  0.31703921E+04
 0.62802914E+02  0.22920529E+00  0.39315409E+04
 0.70548023E+02  0.20696065E+00  0.48774560E+04
 0.79248290E+02  0.18688518E+00  0.60543921E+04
 0.89021509E+02  0.16903629E+00  0.75171717E+04
 0.10000000E+03  0.15289300E+00  0.93338362E+04
