#   nzt = 2
#    zt = 2.6000E+01 8.0000E+00
#    wt = 2.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  2.52534600E+00
#    Te =  2.50000000E-02
#   rho =  5.24000000E+00
#  zbar =  3.63198158E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.32271196E+00  3.00578731E-02
 1.12332400E-03  3.51374770E+00  3.19822633E-02
 1.26185690E-03  3.71577090E+00  3.40264509E-02
 1.41747420E-03  3.92794458E+00  3.61982988E-02
 1.59228280E-03  4.15220734E+00  3.85062134E-02
 1.78864950E-03  4.38722054E+00  4.09593062E-02
 2.00923300E-03  4.63545240E+00  4.35673392E-02
 2.25701970E-03  4.89508686E+00  4.63408760E-02
 2.53536450E-03  5.16909618E+00  4.92912582E-02
 2.84803590E-03  5.45505382E+00  5.24307945E-02
 3.19926710E-03  5.75653560E+00  5.57727256E-02
 3.59381370E-03  6.07054784E+00  5.93314132E-02
 4.03701730E-03  6.40122982E+00  6.31223277E-02
 4.53487850E-03  6.74496454E+00  6.71622661E-02
 5.09413800E-03  7.10648370E+00  7.14693615E-02
 5.72236770E-03  7.48063390E+00  7.60635860E-02
 6.42807310E-03  7.87338852E+00  8.09666100E-02
 7.22080900E-03  8.27703870E+00  8.62026546E-02
 8.11130830E-03  8.69953478E+00  9.17981821E-02
 9.11162760E-03  9.13193018E+00  9.77823660E-02
 1.02353100E-02  9.58329908E+00  1.04187097E-01
 1.14975700E-02  1.00451391E+01  1.11046967E-01
 1.29154970E-02  1.05264344E+01  1.18399541E-01
 1.45082880E-02  1.10158558E+01  1.26286638E-01
 1.62975080E-02  1.15241867E+01  1.34754212E-01
 1.83073830E-02  1.20410112E+01  1.43852200E-01
 2.05651230E-02  1.25773068E+01  1.53634965E-01
 2.31012970E-02  1.31283542E+01  1.64159292E-01
 2.59502420E-02  1.37028832E+01  1.75485473E-01
 2.91505310E-02  1.43176836E+01  1.87668422E-01
