#   nzt =   1
#    zt = 0.8700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39073900E+01
#    Te =  0.25000000E-01
#   rho =  0.10000000E+02
#  zbar =  0.36037158E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.10061793E+02  0.73594716E-01
 0.11233240E-02  0.10632658E+02  0.78007532E-01
 0.12618569E-02  0.11236091E+02  0.82698140E-01
 0.14174742E-02  0.11867766E+02  0.87685532E-01
 0.15922828E-02  0.12535127E+02  0.92989703E-01
 0.17886495E-02  0.13231643E+02  0.98632621E-01
 0.20092330E-02  0.13967007E+02  0.10463768E+00
 0.22570197E-02  0.14732497E+02  0.11103054E+00
 0.25353645E-02  0.15540086E+02  0.11783857E+00
 0.28480359E-02  0.16378920E+02  0.12509172E+00
 0.31992671E-02  0.17263299E+02  0.13282195E+00
 0.35938137E-02  0.18179809E+02  0.14106430E+00
 0.40370173E-02  0.19145584E+02  0.14985609E+00
 0.45348785E-02  0.20142641E+02  0.15923874E+00
 0.50941380E-02  0.21192685E+02  0.16925639E+00
 0.57223677E-02  0.22273034E+02  0.17995795E+00
 0.64280731E-02  0.23410659E+02  0.19139539E+00
 0.72208090E-02  0.24573606E+02  0.20362742E+00
 0.81113083E-02  0.25797644E+02  0.21671664E+00
 0.91116276E-02  0.27045817E+02  0.23073232E+00
 0.10235310E-01  0.28360413E+02  0.24574777E+00
 0.11497570E-01  0.29686853E+02  0.26184766E+00
 0.12915497E-01  0.31080892E+02  0.27912338E+00
 0.14508288E-01  0.32494399E+02  0.29767281E+00
 0.16297508E-01  0.33981238E+02  0.31760539E+00
 0.18307383E-01  0.35676601E+02  0.33897480E+00
 0.20565123E-01  0.37532899E+02  0.36180255E+00
 0.23101297E-01  0.39149582E+02  0.38627935E+00
 0.25950242E-01  0.40710628E+02  0.41268758E+00
 0.29150531E-01  0.42266118E+02  0.44124117E+00
 0.32745492E-01  0.43855323E+02  0.47212551E+00
 0.36783798E-01  0.44843969E+02  0.50580677E+00
 0.41320124E-01  0.45585791E+02  0.54292907E+00
 0.46415888E-01  0.46037829E+02  0.58409665E+00
