#   nzt =   1
#    zt = 0.3100E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31612300E+01
#    Te =  0.25000000E-01
#   rho =  0.59040000E+01
#  zbar =  0.24025066E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.56216359E+01  0.41182414E-01
 0.11233240E-02  0.59427899E+01  0.43651279E-01
 0.12618569E-02  0.62823104E+01  0.46274626E-01
 0.14174742E-02  0.66382796E+01  0.49062867E-01
 0.15922828E-02  0.70143869E+01  0.52026984E-01
 0.17886495E-02  0.74072259E+01  0.55179110E-01
 0.20092330E-02  0.78219176E+01  0.58532172E-01
 0.22570197E-02  0.82533630E+01  0.62100484E-01
 0.25353645E-02  0.87082642E+01  0.65899354E-01
 0.28480359E-02  0.91801773E+01  0.69945615E-01
 0.31992671E-02  0.96770925E+01  0.74257315E-01
 0.35938137E-02  0.10191377E+02  0.78854240E-01
 0.40370173E-02  0.10732175E+02  0.83757624E-01
 0.45348785E-02  0.11289768E+02  0.88990980E-01
 0.50941380E-02  0.11875128E+02  0.94579600E-01
 0.57223677E-02  0.12476208E+02  0.10055156E+00
 0.64280731E-02  0.13106027E+02  0.10693708E+00
 0.72208090E-02  0.13747373E+02  0.11377052E+00
 0.81113083E-02  0.14417325E+02  0.12108917E+00
 0.91116276E-02  0.15095231E+02  0.12893491E+00
 0.10235310E-01  0.15801302E+02  0.13735323E+00
 0.11497570E-01  0.16509176E+02  0.14639592E+00
 0.12915497E-01  0.17243666E+02  0.15611934E+00
 0.14508288E-01  0.17968384E+02  0.16658930E+00
 0.16297508E-01  0.18715938E+02  0.17787920E+00
 0.18307383E-01  0.19485357E+02  0.19005819E+00
 0.20565123E-01  0.20292330E+02  0.20319641E+00
 0.23101297E-01  0.21106161E+02  0.21737718E+00
 0.25950242E-01  0.21958028E+02  0.23269838E+00
 0.29150531E-01  0.23071625E+02  0.24916079E+00
 0.32745492E-01  0.24361225E+02  0.26669446E+00
 0.36783798E-01  0.25236781E+02  0.28552200E+00
 0.41320124E-01  0.25955191E+02  0.30601787E+00
 0.46415888E-01  0.26395224E+02  0.32853732E+00
 0.52140083E-01  0.26742646E+02  0.35346175E+00
 0.58570208E-01  0.26893369E+02  0.38120349E+00
 0.65793322E-01  0.26960616E+02  0.41223821E+00
 0.73907220E-01  0.26810116E+02  0.44715896E+00
 0.83021757E-01  0.26566908E+02  0.48668647E+00
 0.93260335E-01  0.26271474E+02  0.53154692E+00
 0.10476158E+00  0.25950396E+02  0.58252802E+00
 0.11768120E+00  0.25514772E+02  0.64063981E+00
 0.13219411E+00  0.25009772E+02  0.70714359E+00
 0.14849683E+00  0.24463947E+02  0.78344385E+00
 0.16681005E+00  0.23898990E+02  0.87111921E+00
 0.18738174E+00  0.23278766E+02  0.97208347E+00
 0.21049041E+00  0.22619494E+02  0.10886594E+01
 0.23644894E+00  0.21894629E+02  0.12236926E+01
 0.26560878E+00  0.21126437E+02  0.13806651E+01
 0.29836472E+00  0.20341858E+02  0.15636142E+01
 0.33516027E+00  0.19546289E+02  0.17772879E+01
 0.37649358E+00  0.18761619E+02  0.20272314E+01
 0.42292429E+00  0.17993596E+02  0.23198487E+01
 0.47508102E+00  0.17221525E+02  0.26629177E+01
 0.53366992E+00  0.16436672E+02  0.30661860E+01
 0.59948425E+00  0.15677769E+02  0.35409986E+01
 0.67341507E+00  0.14941377E+02  0.41003979E+01
 0.75646333E+00  0.14216078E+02  0.47602373E+01
 0.84975344E+00  0.13480959E+02  0.55407460E+01
 0.95454846E+00  0.12798052E+02  0.64649078E+01
 0.10722672E+01  0.12158803E+02  0.75578198E+01
 0.12045035E+01  0.11523722E+02  0.88512523E+01
 0.13530478E+01  0.10852875E+02  0.10389640E+02
 0.15199111E+01  0.10226096E+02  0.12224397E+02
 0.17073526E+01  0.96296483E+01  0.14412176E+02
 0.19179103E+01  0.90487686E+01  0.17023987E+02
 0.21544347E+01  0.84423685E+01  0.20158336E+02
 0.24201283E+01  0.78703112E+01  0.23933857E+02
 0.27185882E+01  0.73107676E+01  0.28492221E+02
 0.30538555E+01  0.67922964E+01  0.34004141E+02
 0.34304693E+01  0.62989897E+01  0.40674980E+02
 0.38535286E+01  0.58408863E+01  0.48755228E+02
 0.43287613E+01  0.54034101E+01  0.58556732E+02
 0.48626016E+01  0.50026854E+01  0.70453699E+02
 0.54622772E+01  0.46283973E+01  0.84893463E+02
 0.61359073E+01  0.42818594E+01  0.10242395E+03
 0.68926121E+01  0.39503035E+01  0.12374215E+03
 0.77426368E+01  0.36446602E+01  0.14969688E+03
 0.86974900E+01  0.33539980E+01  0.18134233E+03
 0.97700996E+01  0.30878553E+01  0.21996306E+03
 0.10974988E+02  0.28401847E+01  0.26710852E+03
 0.12328467E+02  0.26118853E+01  0.32468446E+03
 0.13848864E+02  0.23949384E+01  0.39512662E+03
 0.15556761E+02  0.21964589E+01  0.48141588E+03
 0.17475284E+02  0.20118252E+01  0.58717734E+03
 0.19630407E+02  0.18421576E+01  0.71688727E+03
 0.22051307E+02  0.16813061E+01  0.87629825E+03
 0.24770764E+02  0.15347315E+01  0.10724938E+04
 0.27825594E+02  0.13997036E+01  0.13140488E+04
 0.31257158E+02  0.12766537E+01  0.16115422E+04
 0.35111917E+02  0.11628505E+01  0.19782043E+04
 0.39442061E+02  0.10593167E+01  0.24303470E+04
 0.44306215E+02  0.96365233E+00  0.29883170E+04
 0.49770236E+02  0.87675130E+00  0.36772761E+04
 0.55908102E+02  0.79727147E+00  0.45281518E+04
 0.62802914E+02  0.72507084E+00  0.55791566E+04
 0.70548023E+02  0.65889373E+00  0.68778896E+04
 0.79248290E+02  0.59878528E+00  0.84831725E+04
