#   nzt =   1
#    zt = 0.6400E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.37616300E+01
#    Te =  0.25000000E-01
#   rho =  0.79010000E+01
#  zbar =  0.25002817E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.87794173E+01  0.59381490E-01
 0.11233240E-02  0.92916119E+01  0.62939325E-01
 0.12618569E-02  0.98333785E+01  0.66715487E-01
 0.14174742E-02  0.10400888E+02  0.70724792E-01
 0.15922828E-02  0.11000929E+02  0.74982800E-01
 0.17886495E-02  0.11627524E+02  0.79506636E-01
 0.20092330E-02  0.12289520E+02  0.84314527E-01
 0.22570197E-02  0.12978748E+02  0.89426530E-01
 0.25353645E-02  0.13706130E+02  0.94864065E-01
 0.28480359E-02  0.14461443E+02  0.10065065E+00
 0.31992671E-02  0.15257608E+02  0.10681145E+00
 0.35938137E-02  0.16081942E+02  0.11337417E+00
 0.40370173E-02  0.16949714E+02  0.12036847E+00
 0.45348785E-02  0.17843722E+02  0.12782749E+00
 0.50941380E-02  0.18783163E+02  0.13578683E+00
 0.57223677E-02  0.19746374E+02  0.14428623E+00
 0.64280731E-02  0.20756453E+02  0.15336842E+00
 0.72208090E-02  0.21782925E+02  0.16308222E+00
 0.81113083E-02  0.22855681E+02  0.17348060E+00
 0.91116276E-02  0.23938828E+02  0.18462320E+00
 0.10235310E-01  0.25066835E+02  0.19657471E+00
 0.11497570E-01  0.26186897E+02  0.20941124E+00
 0.12915497E-01  0.27345281E+02  0.22321694E+00
 0.14508288E-01  0.28493517E+02  0.23808469E+00
 0.16297508E-01  0.29677326E+02  0.25411986E+00
 0.18307383E-01  0.30996959E+02  0.27139022E+00
 0.20565123E-01  0.32409332E+02  0.28994583E+00
 0.23101297E-01  0.33625624E+02  0.30995788E+00
 0.25950242E-01  0.34803769E+02  0.33165915E+00
 0.29150531E-01  0.36067142E+02  0.35519981E+00
 0.32745492E-01  0.37412250E+02  0.38068550E+00
 0.36783798E-01  0.38231754E+02  0.40849119E+00
 0.41320124E-01  0.38857538E+02  0.43914859E+00
 0.46415888E-01  0.39200775E+02  0.47316776E+00
 0.52140083E-01  0.39480316E+02  0.51108334E+00
 0.58570208E-01  0.39594609E+02  0.55346742E+00
 0.65793322E-01  0.39676775E+02  0.60096116E+00
 0.73907220E-01  0.39636450E+02  0.65428935E+00
 0.83021757E-01  0.39596156E+02  0.71426009E+00
 0.93260335E-01  0.39535547E+02  0.78171534E+00
 0.10476158E+00  0.39497499E+02  0.85757257E+00
 0.11768120E+00  0.39336818E+02  0.94299879E+00
 0.13219411E+00  0.39122791E+02  0.10394307E+01
 0.14849683E+00  0.38896357E+02  0.11483725E+01
 0.16681005E+00  0.38669480E+02  0.12714410E+01
 0.18738174E+00  0.38286728E+02  0.14107717E+01
 0.21049041E+00  0.37765944E+02  0.15691526E+01
 0.23644894E+00  0.37103672E+02  0.17498875E+01
 0.26560878E+00  0.36313633E+02  0.19569230E+01
 0.29836472E+00  0.35343540E+02  0.21952065E+01
 0.33516027E+00  0.34191528E+02  0.24711031E+01
 0.37649358E+00  0.32946867E+02  0.27921382E+01
 0.42292429E+00  0.31624276E+02  0.31671019E+01
 0.47508102E+00  0.30185266E+02  0.36071476E+01
 0.53366992E+00  0.28634967E+02  0.41267354E+01
 0.59948425E+00  0.27074260E+02  0.47431128E+01
 0.67341507E+00  0.25517678E+02  0.54766513E+01
 0.75646333E+00  0.23996886E+02  0.63519083E+01
 0.84975344E+00  0.22497194E+02  0.73992648E+01
 0.95454846E+00  0.21106028E+02  0.86539162E+01
 0.10722672E+01  0.19816065E+02  0.10155476E+02
 0.12045035E+01  0.18590137E+02  0.11952421E+02
 0.13530478E+01  0.17383391E+02  0.14108121E+02
 0.15199111E+01  0.16284192E+02  0.16695713E+02
 0.17073526E+01  0.15273222E+02  0.19796315E+02
 0.19179103E+01  0.14317723E+02  0.23509694E+02
 0.21544347E+01  0.13354806E+02  0.27971679E+02
 0.24201283E+01  0.12465657E+02  0.33343653E+02
 0.27185882E+01  0.11618456E+02  0.39813542E+02
 0.30538555E+01  0.10828107E+02  0.47610127E+02
 0.34304693E+01  0.10049422E+02  0.57028782E+02
 0.38535286E+01  0.93281561E+01  0.68427652E+02
 0.43287613E+01  0.86354196E+01  0.82243012E+02
 0.48626016E+01  0.80014489E+01  0.98999305E+02
 0.54622772E+01  0.74068473E+01  0.11932392E+03
 0.61359073E+01  0.68592606E+01  0.14397992E+03
 0.68926121E+01  0.63373295E+01  0.17392655E+03
 0.77426368E+01  0.58602921E+01  0.21031882E+03
 0.86974900E+01  0.54104670E+01  0.25456760E+03
 0.97700996E+01  0.50024134E+01  0.30836703E+03
 0.10974988E+02  0.46261398E+01  0.37372338E+03
 0.12328467E+02  0.42817971E+01  0.45306333E+03
 0.13848864E+02  0.39532697E+01  0.54948586E+03
 0.15556761E+02  0.36527115E+01  0.66674027E+03
 0.17475284E+02  0.33639202E+01  0.80954669E+03
 0.19630407E+02  0.30992240E+01  0.98368492E+03
 0.22051307E+02  0.28463737E+01  0.11963714E+04
 0.24770764E+02  0.26154879E+01  0.14564243E+04
 0.27825594E+02  0.23968376E+01  0.17748063E+04
 0.31257158E+02  0.21976047E+01  0.21649677E+04
 0.35111917E+02  0.20118541E+01  0.26433824E+04
 0.39442061E+02  0.18427811E+01  0.32301979E+04
 0.44306215E+02  0.16840352E+01  0.39507750E+04
 0.49770236E+02  0.15399444E+01  0.48362503E+04
 0.55908102E+02  0.14074875E+01  0.59243073E+04
 0.62802914E+02  0.12872685E+01  0.72609780E+04
 0.70548023E+02  0.11751852E+01  0.89043529E+04
 0.79248290E+02  0.10734302E+01  0.10925775E+05
 0.89021509E+02  0.97863958E+00  0.13414325E+05
 0.10000000E+03  0.89273150E+00  0.16480245E+05
