#   nzt =   1
#    zt = 0.3200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.33117700E+01
#    Te =  0.25000000E-01
#   rho =  0.53500000E+01
#  zbar =  0.25059300E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.65518913E+01  0.36794853E-01
 0.11233240E-02  0.69317820E+01  0.38999789E-01
 0.12618569E-02  0.73337016E+01  0.41340800E-01
 0.14174742E-02  0.77552678E+01  0.43826996E-01
 0.15922828E-02  0.82012074E+01  0.46467935E-01
 0.17886495E-02  0.86673880E+01  0.49274152E-01
 0.20092330E-02  0.91602038E+01  0.52256837E-01
 0.22570197E-02  0.96735268E+01  0.55428362E-01
 0.25353645E-02  0.10215531E+02  0.58801938E-01
 0.28480359E-02  0.10778409E+02  0.62392108E-01
 0.31992671E-02  0.11371807E+02  0.66214465E-01
 0.35938137E-02  0.11986307E+02  0.70286163E-01
 0.40370173E-02  0.12632949E+02  0.74625635E-01
 0.45348785E-02  0.13299506E+02  0.79253409E-01
 0.50941380E-02  0.13999328E+02  0.84191620E-01
 0.57223677E-02  0.14717156E+02  0.89464970E-01
 0.64280731E-02  0.15468879E+02  0.95100123E-01
 0.72208090E-02  0.16232791E+02  0.10112757E+00
 0.81113083E-02  0.17029743E+02  0.10758049E+00
 0.91116276E-02  0.17833863E+02  0.11449631E+00
 0.10235310E-01  0.18669663E+02  0.12191578E+00
 0.11497570E-01  0.19502978E+02  0.12988583E+00
 0.12915497E-01  0.20364539E+02  0.13845787E+00
 0.14508288E-01  0.21211699E+02  0.14769134E+00
 0.16297508E-01  0.22081953E+02  0.15765308E+00
 0.18307383E-01  0.22991369E+02  0.16840184E+00
 0.20565123E-01  0.23944011E+02  0.17999535E+00
 0.23101297E-01  0.24856822E+02  0.19252042E+00
 0.25950242E-01  0.25782233E+02  0.20608562E+00
 0.29150531E-01  0.26933827E+02  0.22072528E+00
 0.32745492E-01  0.28223007E+02  0.23642447E+00
 0.36783798E-01  0.29021315E+02  0.25341082E+00
 0.41320124E-01  0.29616721E+02  0.27204398E+00
 0.46415888E-01  0.29914236E+02  0.29266706E+00
 0.52140083E-01  0.30113845E+02  0.31564257E+00
 0.58570208E-01  0.30073250E+02  0.34138697E+00
 0.65793322E-01  0.29935797E+02  0.37039175E+00
 0.73907220E-01  0.29577365E+02  0.40325099E+00
 0.83021757E-01  0.29143064E+02  0.44067035E+00
 0.93260335E-01  0.28665634E+02  0.48337319E+00
 0.10476158E+00  0.28189536E+02  0.53214068E+00
 0.11768120E+00  0.27617130E+02  0.58795369E+00
 0.13219411E+00  0.27006692E+02  0.65201818E+00
 0.14849683E+00  0.26398072E+02  0.72563175E+00
 0.16681005E+00  0.25802880E+02  0.81022468E+00
 0.18738174E+00  0.25179195E+02  0.90751896E+00
 0.21049041E+00  0.24528615E+02  0.10196074E+01
 0.23644894E+00  0.23814638E+02  0.11490750E+01
 0.26560878E+00  0.23047529E+02  0.12991183E+01
 0.29836472E+00  0.22240679E+02  0.14735314E+01
 0.33516027E+00  0.21390080E+02  0.16769148E+01
 0.37649358E+00  0.20515788E+02  0.19148057E+01
 0.42292429E+00  0.19626028E+02  0.21937761E+01
 0.47508102E+00  0.18700717E+02  0.25220031E+01
 0.53366992E+00  0.17743107E+02  0.29098465E+01
 0.59948425E+00  0.16802468E+02  0.33695285E+01
 0.67341507E+00  0.15887298E+02  0.39152318E+01
 0.75646333E+00  0.14992402E+02  0.45641496E+01
 0.84975344E+00  0.14102787E+02  0.53380357E+01
 0.95454846E+00  0.13283750E+02  0.62616941E+01
 0.10722672E+01  0.12528867E+02  0.73623247E+01
 0.12045035E+01  0.11800844E+02  0.86737300E+01
 0.13530478E+01  0.11060358E+02  0.10242099E+02
 0.15199111E+01  0.10382341E+02  0.12120634E+02
 0.17073526E+01  0.97516699E+01  0.14367632E+02
 0.19179103E+01  0.91454001E+01  0.17056087E+02
 0.21544347E+01  0.85165599E+01  0.20288635E+02
 0.24201283E+01  0.79282913E+01  0.24188815E+02
 0.27185882E+01  0.73563272E+01  0.28903541E+02
 0.30538555E+01  0.68268332E+01  0.34610766E+02
 0.34304693E+01  0.63200890E+01  0.41528089E+02
 0.38535286E+01  0.58508290E+01  0.49921084E+02
 0.43287613E+01  0.54029000E+01  0.60119504E+02
 0.48626016E+01  0.49931109E+01  0.72520653E+02
 0.54622772E+01  0.46107399E+01  0.87600703E+02
 0.61359073E+01  0.42583630E+01  0.10594166E+03
 0.68926121E+01  0.39235672E+01  0.12827851E+03
 0.77426368E+01  0.36165705E+01  0.15550364E+03
 0.86974900E+01  0.33261387E+01  0.18872376E+03
 0.97700996E+01  0.30616892E+01  0.22928181E+03
 0.10974988E+02  0.28169433E+01  0.27878885E+03
 0.12328467E+02  0.25924874E+01  0.33921572E+03
 0.13848864E+02  0.23795396E+01  0.41307994E+03
 0.15556761E+02  0.21851328E+01  0.50345331E+03
 0.17475284E+02  0.20029091E+01  0.61411224E+03
 0.19630407E+02  0.18357204E+01  0.74971505E+03
 0.22051307E+02  0.16766942E+01  0.91622807E+03
 0.24770764E+02  0.15318101E+01  0.11209950E+04
 0.27825594E+02  0.13974304E+01  0.13729681E+04
 0.31257158E+02  0.12750260E+01  0.16831977E+04
 0.35111917E+02  0.11616910E+01  0.20654383E+04
 0.39442061E+02  0.10585964E+01  0.25366438E+04
 0.44306215E+02  0.96302678E+00  0.31180466E+04
 0.49770236E+02  0.87629267E+00  0.38358906E+04
 0.55908102E+02  0.79703384E+00  0.47222847E+04
 0.62802914E+02  0.72512075E+00  0.58168260E+04
 0.70548023E+02  0.65916106E+00  0.71688917E+04
 0.79248290E+02  0.59934055E+00  0.88393735E+04
 0.89021509E+02  0.54416662E+00  0.10904792E+05
 0.10000000E+03  0.49421005E+00  0.13460228E+05
