#   nzt =   1
#    zt = 0.3200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31753700E+01
#    Te =  0.25000000E-01
#   rho =  0.42500000E+01
#  zbar =  0.43863476E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.59186855E+01  0.40753762E-01
 0.11233240E-02  0.62574781E+01  0.43196795E-01
 0.12618569E-02  0.66156763E+01  0.45792423E-01
 0.14174742E-02  0.69914570E+01  0.48550875E-01
 0.15922828E-02  0.73885389E+01  0.51482942E-01
 0.17886495E-02  0.78037219E+01  0.54600503E-01
 0.20092330E-02  0.82420702E+01  0.57916211E-01
 0.22570197E-02  0.86988382E+01  0.61444022E-01
 0.25353645E-02  0.91805527E+01  0.65198849E-01
 0.28480359E-02  0.96811212E+01  0.69197070E-01
 0.31992671E-02  0.10208351E+02  0.73456240E-01
 0.35938137E-02  0.10755019E+02  0.77995568E-01
 0.40370173E-02  0.11330021E+02  0.82835672E-01
 0.45348785E-02  0.11924380E+02  0.87999267E-01
 0.50941380E-02  0.12548528E+02  0.93510779E-01
 0.57223677E-02  0.13190940E+02  0.99397333E-01
 0.64280731E-02  0.13864181E+02  0.10568814E+00
 0.72208090E-02  0.14551467E+02  0.11241639E+00
 0.81113083E-02  0.15269433E+02  0.11961811E+00
 0.91116276E-02  0.15998048E+02  0.12733370E+00
 0.10235310E-01  0.16756843E+02  0.13560708E+00
 0.11497570E-01  0.17522680E+02  0.14448743E+00
 0.12915497E-01  0.18317782E+02  0.15402814E+00
 0.14508288E-01  0.19107983E+02  0.16429146E+00
 0.16297508E-01  0.19923061E+02  0.17534655E+00
 0.18307383E-01  0.20745007E+02  0.18726529E+00
 0.20565123E-01  0.21596131E+02  0.20012526E+00
 0.23101297E-01  0.22472657E+02  0.21400508E+00
 0.25950242E-01  0.23388159E+02  0.22899301E+00
 0.29150531E-01  0.24530610E+02  0.24510830E+00
 0.32745492E-01  0.25821170E+02  0.26231970E+00
 0.36783798E-01  0.26791299E+02  0.28081643E+00
 0.41320124E-01  0.27637054E+02  0.30090779E+00
 0.46415888E-01  0.28359340E+02  0.32284914E+00
 0.52140083E-01  0.29052425E+02  0.34687867E+00
 0.58570208E-01  0.29373341E+02  0.37340230E+00
 0.65793322E-01  0.29513819E+02  0.40296515E+00
 0.73907220E-01  0.29331846E+02  0.43620471E+00
