#   nzt = 2
#    zt = 3.2000E+01 8.0000E+00
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.73794667E+00
#    Te =  2.50000000E-02
#   rho =  4.25000000E+00
#  zbar =  1.74486800E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.05944180E+00  2.70738558E-02
 1.12332400E-03  4.29503893E+00  2.87935388E-02
 1.26185690E-03  4.54432280E+00  3.06193369E-02
 1.41747420E-03  4.80609413E+00  3.25581960E-02
 1.59228280E-03  5.08305250E+00  3.46175165E-02
 1.78864950E-03  5.37299497E+00  3.68053706E-02
 2.00923300E-03  5.67961943E+00  3.91303907E-02
 2.25701970E-03  5.99957723E+00  4.16020085E-02
 2.53536450E-03  6.33763187E+00  4.42303570E-02
 2.84803590E-03  6.68946953E+00  4.70264677E-02
 3.19926710E-03  7.06074513E+00  5.00022271E-02
 3.59381370E-03  7.44630633E+00  5.31705571E-02
 4.03701730E-03  7.85259147E+00  5.65454068E-02
 4.53487850E-03  8.27310107E+00  6.01420544E-02
 5.09413800E-03  8.71544193E+00  6.39770508E-02
 5.72236770E-03  9.17141293E+00  6.80686069E-02
 6.42807310E-03  9.65006307E+00  7.24365133E-02
 7.22080900E-03  1.01395737E+01  7.71029966E-02
 8.11130830E-03  1.06517526E+01  8.20924045E-02
 9.11162760E-03  1.11723891E+01  8.74318256E-02
 1.02353100E-02  1.17152670E+01  9.31510100E-02
 1.14975700E-02  1.22631477E+01  9.92832660E-02
 1.29154970E-02  1.28320309E+01  1.05865241E-01
 1.45082880E-02  1.33968733E+01  1.12939280E-01
 1.62975080E-02  1.39788843E+01  1.20552792E-01
 1.83073830E-02  1.45682733E+01  1.28754251E-01
 2.05651230E-02  1.51781887E+01  1.37595684E-01
 2.31012970E-02  1.57993800E+01  1.47132733E-01
 2.59502420E-02  1.64426697E+01  1.57425319E-01
 2.91505310E-02  1.72469227E+01  1.68490654E-01
 3.27454920E-02  1.81479720E+01  1.80323403E-01
 3.67837980E-02  1.87841767E+01  1.93061850E-01
 4.13201240E-02  1.93098307E+01  2.06934235E-01
 4.64158880E-02  1.96862960E+01  2.22156852E-01
 5.21400830E-02  2.00153213E+01  2.38953094E-01
 5.85702080E-02  2.01611603E+01  2.57598730E-01
 6.57933220E-02  2.02242837E+01  2.78435834E-01
 7.39072200E-02  2.01317807E+01  3.01861255E-01
 8.30217570E-02  1.99801590E+01  3.28336152E-01
 9.32603350E-02  1.97652393E+01  3.58351295E-01
 1.04761580E-01  1.95278197E+01  3.92457641E-01
 1.17681200E-01  1.91924937E+01  4.31341743E-01
 1.32194110E-01  1.88088633E+01  4.75849550E-01
 1.48496830E-01  1.84111590E+01  5.26896527E-01
 1.66810050E-01  1.80135107E+01  5.85491669E-01
 1.87381740E-01  1.75612157E+01  6.52890616E-01
 2.10490410E-01  1.70661000E+01  7.30677893E-01
 2.36448940E-01  1.65209437E+01  8.20771891E-01
 2.65608780E-01  1.59384060E+01  9.25500695E-01
 2.98364720E-01  1.53116053E+01  1.04771030E+00
 3.35160270E-01  1.46406820E+01  1.19095446E+00
 3.76493580E-01  1.39594943E+01  1.35948164E+00
 4.22924290E-01  1.32725510E+01  1.55831923E+00
 4.75081020E-01  1.25624667E+01  1.79378793E+00
 5.33669920E-01  1.18273433E+01  2.07400948E+00
 5.99484250E-01  1.11036225E+01  2.40884002E+00
 6.73415070E-01  1.03931311E+01  2.81009221E+00
 7.56463330E-01  9.71134467E+00  3.29206756E+00
 8.49753440E-01  9.05019033E+00  3.87228376E+00
 9.54548460E-01  8.43867733E+00  4.57146772E+00
 1.07226720E+00  7.87185653E+00  5.41362515E+00
 1.20450350E+00  7.33628627E+00  6.42826265E+00
 1.35304780E+00  6.81450700E+00  7.65333015E+00
 1.51991110E+00  6.33585353E+00  9.13410748E+00
 1.70735260E+00  5.89180597E+00  1.09230133E+01
 1.91791030E+00  5.47484347E+00  1.30848490E+01
 2.15443470E+00  5.06508990E+00  1.57041684E+01
 2.42012830E+00  4.68645767E+00  1.88843570E+01
 2.71858820E+00  4.32804183E+00  2.27490805E+01
 3.05385550E+00  3.99778373E+00  2.74494904E+01
 3.43046930E+00  3.68533373E+00  3.31716816E+01
 3.85352860E+00  3.39770370E+00  4.01440983E+01
 4.32876130E+00  3.12688917E+00  4.86472929E+01
 4.86260160E+00  2.87969693E+00  5.90225548E+01
 5.46227720E+00  2.65044070E+00  7.16817764E+01
 6.13590730E+00  2.43922703E+00  8.71330069E+01
 6.89261210E+00  2.23898727E+00  1.06018137E+02
 7.74263680E+00  2.05566410E+00  1.29126643E+02
 8.69749000E+00  1.88364870E+00  1.57428660E+02
 9.77009960E+00  1.72698260E+00  1.92114252E+02
 1.09749880E+01  1.58235039E+00  2.34626161E+02
 1.23284670E+01  1.44999542E+00  2.86742868E+02
 1.38488640E+01  1.32576380E+00  3.50704294E+02
 1.55567610E+01  1.21256139E+00  4.29273392E+02
 1.74752840E+01  1.10757804E+00  5.25837050E+02
 1.96304070E+01  1.01153238E+00  6.44601305E+02
 2.20513070E+01  9.21127173E-01  7.90899874E+02
 2.47707640E+01  8.38978020E-01  9.71349042E+02
 2.78255940E+01  7.63649193E-01  1.19397598E+03
 3.12571580E+01  6.95141133E-01  1.46871613E+03
 3.51119170E+01  6.32074020E-01  1.80794968E+03
 3.94420610E+01  5.74756840E-01  2.22703231E+03
 4.43062150E+01  5.21728207E-01  2.74521103E+03
 4.97702360E+01  4.73680440E-01  3.38638972E+03
 5.59081020E+01  4.30091197E-01  4.17966781E+03
 6.28029140E+01  3.90564090E-01  5.16102700E+03
 7.05480230E+01  3.54245703E-01  6.37573077E+03
 7.92482900E+01  3.21358557E-01  7.87999606E+03
 8.90215090E+01  2.91343977E-01  9.74330021E+03
 1.00000000E+02  2.64180973E-01  1.20518069E+04
