#   nzt =   1
#    zt = 0.1000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31070800E+02
#    Te =  0.25000000E-01
#   rho =  0.89900000E-04
#  zbar =  0.46925707E-20
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.18834246E+01  0.17771719E-02
 0.11233240E-02  0.20845185E+01  0.18812663E-02
 0.12618569E-02  0.23009472E+01  0.19870365E-02
 0.14174742E-02  0.25269588E+01  0.20949555E-02
 0.15922828E-02  0.27706268E+01  0.22054353E-02
 0.17886495E-02  0.30254407E+01  0.23188584E-02
 0.20092330E-02  0.32984604E+01  0.24356318E-02
 0.22570197E-02  0.35827112E+01  0.25561818E-02
 0.25353645E-02  0.38897499E+01  0.26808745E-02
 0.28480359E-02  0.42029003E+01  0.28102054E-02
 0.31992671E-02  0.45415920E+01  0.29446553E-02
 0.35938137E-02  0.48857310E+01  0.30847313E-02
 0.40370173E-02  0.52487416E+01  0.32311159E-02
 0.45348785E-02  0.56296122E+01  0.33843114E-02
 0.50941380E-02  0.60350829E+01  0.35447594E-02
 0.57223677E-02  0.64260367E+01  0.37134572E-02
 0.64280731E-02  0.68294041E+01  0.38916263E-02
 0.72208090E-02  0.72378814E+01  0.40802131E-02
 0.81113083E-02  0.76559940E+01  0.42802515E-02
 0.91116276E-02  0.80373786E+01  0.44934977E-02
 0.10235310E-01  0.84120696E+01  0.47220375E-02
 0.11497570E-01  0.87534548E+01  0.49680573E-02
 0.12915497E-01  0.90851094E+01  0.52339406E-02
 0.14508288E-01  0.93457996E+01  0.55229962E-02
 0.16297508E-01  0.95652990E+01  0.58394983E-02
 0.18307383E-01  0.97389327E+01  0.61878173E-02
 0.20565123E-01  0.98769668E+01  0.65727934E-02
 0.23101297E-01  0.99214374E+01  0.70012880E-02
 0.25950242E-01  0.99126193E+01  0.74818289E-02
 0.29150531E-01  0.98397270E+01  0.80239525E-02
 0.32745492E-01  0.97292146E+01  0.86385567E-02
 0.36783798E-01  0.95305790E+01  0.93401608E-02
 0.41320124E-01  0.92898517E+01  0.10146873E-01
 0.46415888E-01  0.90095819E+01  0.11079071E-01
 0.52140083E-01  0.87139989E+01  0.12160125E-01
 0.58570208E-01  0.83647838E+01  0.13420570E-01
 0.65793322E-01  0.79955450E+01  0.14898806E-01
 0.73907220E-01  0.75967847E+01  0.16641533E-01
 0.83021757E-01  0.71926971E+01  0.18705686E-01
 0.93260335E-01  0.67785397E+01  0.21160660E-01
 0.10476158E+00  0.63696480E+01  0.24091156E-01
 0.11768120E+00  0.59576603E+01  0.27602814E-01
 0.13219411E+00  0.55535669E+01  0.31828040E-01
 0.14849683E+00  0.51640819E+01  0.36926517E-01
 0.16681005E+00  0.47931711E+01  0.43091452E-01
 0.18738174E+00  0.44384652E+01  0.50561640E-01
 0.21049041E+00  0.41019398E+01  0.59632261E-01
 0.23644894E+00  0.37780429E+01  0.70676550E-01
 0.26560878E+00  0.34691457E+01  0.84169628E-01
 0.29836472E+00  0.31834503E+01  0.10068307E+00
 0.33516027E+00  0.29194708E+01  0.12090434E+00
 0.37649358E+00  0.26758902E+01  0.14568039E+00
 0.42292429E+00  0.24511721E+01  0.17605431E+00
 0.47508102E+00  0.22435218E+01  0.21331708E+00
 0.53366992E+00  0.20515763E+01  0.25907053E+00
 0.59948425E+00  0.18739898E+01  0.31530586E+00
 0.67341507E+00  0.17094291E+01  0.38451544E+00
 0.75646333E+00  0.15589024E+01  0.46975861E+00
 0.84975344E+00  0.14211125E+01  0.57477834E+00
 0.95454846E+00  0.12946947E+01  0.70422642E+00
 0.10722672E+01  0.11784416E+01  0.86391672E+00
 0.12045035E+01  0.10722864E+01  0.10610307E+01
 0.13530478E+01  0.97519937E+00  0.13044419E+01
 0.15199111E+01  0.88679126E+00  0.16051141E+01
 0.17073526E+01  0.80620390E+00  0.19765755E+01
 0.19179103E+01  0.73249019E+00  0.24356831E+01
 0.21544347E+01  0.66474284E+00  0.30036787E+01
 0.24201283E+01  0.60324846E+00  0.37067787E+01
 0.27185882E+01  0.54741260E+00  0.45771068E+01
 0.30538555E+01  0.49654615E+00  0.56546681E+01
 0.34304693E+01  0.44999393E+00  0.69897830E+01
 0.38535286E+01  0.40771868E+00  0.86448889E+01
 0.43287613E+01  0.36921441E+00  0.10697517E+02
 0.48626016E+01  0.33437298E+00  0.13243705E+02
 0.54622772E+01  0.30288077E+00  0.16401479E+02
 0.61359073E+01  0.27421154E+00  0.20318232E+02
 0.68926121E+01  0.24785626E+00  0.25182431E+02
 0.77426368E+01  0.22408871E+00  0.31227287E+02
 0.86974900E+01  0.20276591E+00  0.38734346E+02
 0.97700996E+01  0.18343852E+00  0.48054317E+02
 0.10974988E+02  0.16583440E+00  0.59631196E+02
 0.12328467E+02  0.14989179E+00  0.74017355E+02
 0.13848864E+02  0.13536807E+00  0.91904949E+02
 0.15556761E+02  0.12227086E+00  0.11415401E+03
 0.17475284E+02  0.11052639E+00  0.14181158E+03
 0.19630407E+02  0.99867591E-01  0.17618337E+03
 0.22051307E+02  0.90005602E-01  0.21897598E+03
 0.24770764E+02  0.81140890E-01  0.27231507E+03
 0.27825594E+02  0.73300307E-01  0.33870252E+03
 0.31257158E+02  0.66211656E-01  0.42124907E+03
 0.35111917E+02  0.59761791E-01  0.52394615E+03
 0.39442061E+02  0.53932790E-01  0.65175942E+03
 0.44306215E+02  0.48593124E-01  0.81099537E+03
 0.49770236E+02  0.43785112E-01  0.10095385E+04
 0.55908102E+02  0.39493025E-01  0.12569185E+04
 0.62802914E+02  0.35619949E-01  0.15649841E+04
 0.70548023E+02  0.32087143E-01  0.19489283E+04
 0.79248290E+02  0.28904871E-01  0.24277291E+04
 0.89021509E+02  0.26043173E-01  0.30247298E+04
 0.10000000E+03  0.23464921E-01  0.37691018E+04
