#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28570100E+01
#    Te =  0.25000000E-01
#   rho =  0.14000000E+01
#  zbar =  0.22404971E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.45563685E+01  0.87526851E-02
 0.11233240E-02  0.48163956E+01  0.92774190E-02
 0.12618569E-02  0.50912666E+01  0.98350183E-02
 0.14174742E-02  0.53794222E+01  0.10427702E-01
 0.15922828E-02  0.56838412E+01  0.11057810E-01
 0.17886495E-02  0.60017817E+01  0.11727927E-01
 0.20092330E-02  0.63373531E+01  0.12440809E-01
 0.22570197E-02  0.66864733E+01  0.13199505E-01
 0.25353645E-02  0.70544897E+01  0.14007280E-01
 0.28480359E-02  0.74361930E+01  0.14867723E-01
 0.31992671E-02  0.78379724E+01  0.15784692E-01
 0.35938137E-02  0.82536504E+01  0.16762417E-01
 0.40370173E-02  0.86905039E+01  0.17805446E-01
 0.45348785E-02  0.91408111E+01  0.18918809E-01
 0.50941380E-02  0.96131418E+01  0.20107930E-01
 0.57223677E-02  0.10097705E+02  0.21378849E-01
 0.64280731E-02  0.10604742E+02  0.22738087E-01
 0.72208090E-02  0.11120111E+02  0.24193091E-01
 0.81113083E-02  0.11657318E+02  0.25751970E-01
 0.91116276E-02  0.12199428E+02  0.27423871E-01
 0.10235310E-01  0.12762279E+02  0.29218782E-01
 0.11497570E-01  0.13325853E+02  0.31147993E-01
 0.12915497E-01  0.13908356E+02  0.33223833E-01
 0.14508288E-01  0.14480117E+02  0.35460861E-01
 0.16297508E-01  0.15065801E+02  0.37875381E-01
 0.18307383E-01  0.15650362E+02  0.40484375E-01
 0.20565123E-01  0.16251205E+02  0.43306313E-01
 0.23101297E-01  0.16864982E+02  0.46360046E-01
 0.25950242E-01  0.17500865E+02  0.49667135E-01
 0.29150531E-01  0.18328596E+02  0.53230797E-01
 0.32745492E-01  0.19270629E+02  0.57040950E-01
 0.36783798E-01  0.19895142E+02  0.61148079E-01
 0.41320124E-01  0.20381048E+02  0.65635975E-01
 0.46415888E-01  0.20689115E+02  0.70581136E-01
 0.52140083E-01  0.20929661E+02  0.76061671E-01
 0.58570208E-01  0.20907263E+02  0.82186499E-01
 0.65793322E-01  0.20753616E+02  0.89096068E-01
 0.73907220E-01  0.20373196E+02  0.96960705E-01
 0.83021757E-01  0.19890977E+02  0.10598683E+00
 0.93260335E-01  0.19304070E+02  0.11640496E+00
 0.10476158E+00  0.18668830E+02  0.12848297E+00
 0.11768120E+00  0.17893784E+02  0.14257611E+00
 0.13219411E+00  0.17045880E+02  0.15914910E+00
 0.14849683E+00  0.16183409E+02  0.17872881E+00
 0.16681005E+00  0.15329403E+02  0.20192170E+00
 0.18738174E+00  0.14467122E+02  0.22947782E+00
 0.21049041E+00  0.13609834E+02  0.26232840E+00
 0.23644894E+00  0.12739490E+02  0.30165492E+00
 0.26560878E+00  0.11873303E+02  0.34896520E+00
 0.29836472E+00  0.11058383E+02  0.40601364E+00
 0.33516027E+00  0.10291718E+02  0.47484466E+00
 0.37649358E+00  0.95667918E+01  0.55797388E+00
 0.42292429E+00  0.88823569E+01  0.65849764E+00
 0.47508102E+00  0.82446594E+01  0.78013815E+00
 0.53366992E+00  0.76485646E+01  0.92738232E+00
 0.59948425E+00  0.70860359E+01  0.11057911E+01
 0.67341507E+00  0.65534179E+01  0.13223226E+01
 0.75646333E+00  0.60595341E+01  0.15853598E+01
 0.84975344E+00  0.55986628E+01  0.19050482E+01
 0.95454846E+00  0.51721555E+01  0.22937500E+01
 0.10722672E+01  0.47758295E+01  0.27665085E+01
 0.12045035E+01  0.44080070E+01  0.33417374E+01
 0.13530478E+01  0.40630844E+01  0.40423291E+01
 0.15199111E+01  0.37441289E+01  0.48962506E+01
 0.17073526E+01  0.34472797E+01  0.59376331E+01
 0.19179103E+01  0.31712004E+01  0.72086398E+01
 0.21544347E+01  0.29102953E+01  0.87627190E+01
 0.24201283E+01  0.26703919E+01  0.10665179E+02
 0.27185882E+01  0.24480576E+01  0.12995328E+02
 0.30538555E+01  0.22430224E+01  0.15851166E+02
 0.34304693E+01  0.20511667E+01  0.19356119E+02
 0.38535286E+01  0.18749625E+01  0.23662419E+02
 0.43287613E+01  0.17113410E+01  0.28958706E+02
 0.48626016E+01  0.15617967E+01  0.35477398E+02
 0.54622772E+01  0.14240276E+01  0.43504860E+02
 0.61359073E+01  0.12976267E+01  0.53396976E+02
 0.68926121E+01  0.11798264E+01  0.65606254E+02
 0.77426368E+01  0.10725297E+01  0.80692330E+02
 0.86974900E+01  0.97414464E+00  0.99343080E+02
 0.97700996E+01  0.88473880E+00  0.12241062E+03
 0.10974988E+02  0.80323025E+00  0.15094718E+03
 0.12328467E+02  0.72909552E+00  0.18625772E+03
 0.13848864E+02  0.66110888E+00  0.22998151E+03
 0.15556761E+02  0.59951698E+00  0.28414835E+03
 0.17475284E+02  0.54381877E+00  0.35123410E+03
 0.19630407E+02  0.49307813E+00  0.43431724E+03
 0.22051307E+02  0.44581846E+00  0.53741095E+03
 0.24770764E+02  0.40318354E+00  0.66550021E+03
 0.27825594E+02  0.36516559E+00  0.82447205E+03
 0.31257158E+02  0.33073509E+00  0.10216303E+04
 0.35111917E+02  0.29952522E+00  0.12661665E+04
 0.39442061E+02  0.27118898E+00  0.15694730E+04
 0.44306215E+02  0.24478070E+00  0.19464217E+04
 0.49770236E+02  0.22097719E+00  0.24155985E+04
 0.55908102E+02  0.19988637E+00  0.29987690E+04
 0.62802914E+02  0.18079409E+00  0.37228828E+04
 0.70548023E+02  0.16319291E+00  0.46231974E+04
 0.79248290E+02  0.14730830E+00  0.57436950E+04
 0.89021509E+02  0.13300666E+00  0.71378930E+04
 0.10000000E+03  0.12009485E+00  0.88725424E+04
