#   nzt =   1
#    zt = 0.1000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.19473100E+01
#    Te =  0.25000000E-01
#   rho =  0.14000000E+01
#  zbar =  0.70880529E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.14844518E+01  0.22548184E-02
 0.11233240E-02  0.15689843E+01  0.23900056E-02
 0.12618569E-02  0.16583307E+01  0.25336764E-02
 0.14174742E-02  0.17519520E+01  0.26864064E-02
 0.15922828E-02  0.18508412E+01  0.28488024E-02
 0.17886495E-02  0.19540453E+01  0.30215362E-02
 0.20092330E-02  0.20629478E+01  0.32053242E-02
 0.22570197E-02  0.21761168E+01  0.34009619E-02
 0.25353645E-02  0.22953713E+01  0.36093008E-02
 0.28480359E-02  0.24188916E+01  0.38312805E-02
 0.31992671E-02  0.25488485E+01  0.40679098E-02
 0.35938137E-02  0.26831027E+01  0.43202974E-02
 0.40370173E-02  0.28241109E+01  0.45896363E-02
 0.45348785E-02  0.29691979E+01  0.48772493E-02
 0.50941380E-02  0.31212561E+01  0.51845642E-02
 0.57223677E-02  0.32769237E+01  0.55131744E-02
 0.64280731E-02  0.34396341E+01  0.58648029E-02
 0.72208090E-02  0.36045179E+01  0.62414251E-02
 0.81113083E-02  0.37761149E+01  0.66451969E-02
 0.91116276E-02  0.39485642E+01  0.70785617E-02
 0.10235310E-01  0.41271948E+01  0.75441957E-02
 0.11497570E-01  0.43049301E+01  0.80451476E-02
 0.12915497E-01  0.44879664E+01  0.85847629E-02
 0.14508288E-01  0.46656907E+01  0.91670350E-02
 0.16297508E-01  0.48466007E+01  0.97964713E-02
 0.18307383E-01  0.50255793E+01  0.10477767E-01
 0.20565123E-01  0.52082701E+01  0.11216063E-01
 0.23101297E-01  0.53935598E+01  0.12016634E-01
 0.25950242E-01  0.55840622E+01  0.12885594E-01
 0.29150531E-01  0.58411746E+01  0.13823607E-01
 0.32745492E-01  0.61355851E+01  0.14827399E-01
 0.36783798E-01  0.63109293E+01  0.15911929E-01
 0.41320124E-01  0.64322914E+01  0.17102275E-01
 0.46415888E-01  0.64842301E+01  0.18421880E-01
 0.52140083E-01  0.65069214E+01  0.19895364E-01
 0.58570208E-01  0.64352113E+01  0.21557090E-01
 0.65793322E-01  0.63164208E+01  0.23451645E-01
 0.73907220E-01  0.61119416E+01  0.25635997E-01
 0.83021757E-01  0.58683305E+01  0.28182762E-01
 0.93260335E-01  0.56020781E+01  0.31171726E-01
 0.10476158E+00  0.53288169E+01  0.34694888E-01
 0.11768120E+00  0.50320602E+01  0.38871085E-01
 0.13219411E+00  0.47275173E+01  0.43852891E-01
 0.14849683E+00  0.44261433E+01  0.49820748E-01
 0.16681005E+00  0.41334248E+01  0.56990971E-01
 0.18738174E+00  0.38532863E+01  0.65623982E-01
 0.21049041E+00  0.35865885E+01  0.76033041E-01
 0.23644894E+00  0.33216885E+01  0.88626712E-01
 0.26560878E+00  0.30627368E+01  0.10394040E+00
 0.29836472E+00  0.28228782E+01  0.12260314E+00
 0.33516027E+00  0.26007955E+01  0.14535205E+00
 0.37649358E+00  0.23928456E+01  0.17310753E+00
 0.42292429E+00  0.21983182E+01  0.20702275E+00
 0.47508102E+00  0.20185997E+01  0.24850349E+00
 0.53366992E+00  0.18525187E+01  0.29926038E+00
 0.59948425E+00  0.16975050E+01  0.36143441E+00
 0.67341507E+00  0.15525357E+01  0.43773286E+00
 0.75646333E+00  0.14191416E+01  0.53147401E+00
 0.84975344E+00  0.12962268E+01  0.64671964E+00
 0.95454846E+00  0.11833436E+01  0.78849080E+00
 0.10722672E+01  0.10794708E+01  0.96301035E+00
 0.12045035E+01  0.98451531E+00  0.11779414E+01
 0.13530478E+01  0.89762266E+00  0.14427068E+01
 0.15199111E+01  0.81805493E+00  0.17689792E+01
 0.17073526E+01  0.74499479E+00  0.21712881E+01
 0.19179103E+01  0.67803963E+00  0.26676757E+01
 0.21544347E+01  0.61638192E+00  0.32807382E+01
 0.24201283E+01  0.56025919E+00  0.40383628E+01
 0.27185882E+01  0.50911110E+00  0.49747940E+01
 0.30538555E+01  0.46247115E+00  0.61325675E+01
 0.34304693E+01  0.41977121E+00  0.75648941E+01
 0.38535286E+01  0.38091720E+00  0.93377507E+01
 0.43287613E+01  0.34544047E+00  0.11533153E+02
 0.48626016E+01  0.31327061E+00  0.14252617E+02
 0.54622772E+01  0.28410269E+00  0.17621014E+02
 0.61359073E+01  0.25750989E+00  0.21794120E+02
 0.68926121E+01  0.23301428E+00  0.26970859E+02
 0.77426368E+01  0.21089623E+00  0.33397152E+02
 0.86974900E+01  0.19102380E+00  0.41369551E+02
 0.97700996E+01  0.17298013E+00  0.51257373E+02
 0.10974988E+02  0.15648627E+00  0.63529794E+02
 0.12328467E+02  0.14154497E+00  0.78769829E+02
 0.13848864E+02  0.12794886E+00  0.97703257E+02
 0.15556761E+02  0.11567753E+00  0.12123113E+03
 0.17475284E+02  0.10466867E+00  0.15045022E+03
 0.19630407E+02  0.94659708E-01  0.18672770E+03
 0.22051307E+02  0.85348881E-01  0.23186384E+03
 0.24770764E+02  0.76974545E-01  0.28810068E+03
 0.27825594E+02  0.69555611E-01  0.35807205E+03
 0.31257158E+02  0.62859282E-01  0.44505076E+03
 0.35111917E+02  0.56866931E-01  0.55310010E+03
 0.39442061E+02  0.51424927E-01  0.68725444E+03
 0.44306215E+02  0.46291519E-01  0.85432128E+03
 0.49770236E+02  0.41680178E-01  0.10628476E+04
 0.55908102E+02  0.37661133E-01  0.13225012E+04
 0.62802914E+02  0.34025611E-01  0.16452374E+04
 0.70548023E+02  0.30655762E-01  0.20471205E+04
 0.79248290E+02  0.27619646E-01  0.25482313E+04
 0.89021509E+02  0.24883114E-01  0.31730348E+04
 0.10000000E+03  0.22417827E-01  0.39521479E+04
