#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25876900E+01
#    Te =  0.25000000E-01
#   rho =  0.24702300E+01
#  zbar =  0.11538753E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.33624408E+01  0.15800924E-01
 0.11233240E-02  0.35559273E+01  0.16747994E-01
 0.12618569E-02  0.37605997E+01  0.17753924E-01
 0.14174742E-02  0.39753405E+01  0.18822645E-01
 0.15922828E-02  0.42024381E+01  0.19958292E-01
 0.17886495E-02  0.44399779E+01  0.21165406E-01
 0.20092330E-02  0.46910432E+01  0.22448814E-01
 0.22570197E-02  0.49528617E+01  0.23813823E-01
 0.25353645E-02  0.52293428E+01  0.25266095E-01
 0.28480359E-02  0.55169545E+01  0.26811832E-01
 0.31992671E-02  0.58203446E+01  0.28457665E-01
 0.35938137E-02  0.61352281E+01  0.30210857E-01
 0.40370173E-02  0.64669831E+01  0.32079184E-01
 0.45348785E-02  0.68100680E+01  0.34071245E-01
 0.50941380E-02  0.71709658E+01  0.36196269E-01
 0.57223677E-02  0.75426409E+01  0.38464506E-01
 0.64280731E-02  0.79328408E+01  0.40886976E-01
 0.72208090E-02  0.83314962E+01  0.43476204E-01
 0.81113083E-02  0.87486210E+01  0.46245774E-01
 0.91116276E-02  0.91721691E+01  0.49210948E-01
 0.10235310E-01  0.96136676E+01  0.52388335E-01
 0.11497570E-01  0.10057484E+02  0.55796924E-01
 0.12915497E-01  0.10517499E+02  0.59457563E-01
 0.14508288E-01  0.10974440E+02  0.63394195E-01
 0.16297508E-01  0.11444625E+02  0.67633777E-01
 0.18307383E-01  0.11933941E+02  0.72200838E-01
 0.20565123E-01  0.12443890E+02  0.77120113E-01
 0.23101297E-01  0.12934067E+02  0.82428104E-01
 0.25950242E-01  0.13428533E+02  0.88170028E-01
 0.29150531E-01  0.14009789E+02  0.94367821E-01
 0.32745492E-01  0.14644122E+02  0.10102865E+00
 0.36783798E-01  0.15078701E+02  0.10823999E+00
 0.41320124E-01  0.15430276E+02  0.11613413E+00
 0.46415888E-01  0.15675651E+02  0.12483363E+00
 0.52140083E-01  0.15889630E+02  0.13446289E+00
 0.58570208E-01  0.15977892E+02  0.14517780E+00
 0.65793322E-01  0.16011039E+02  0.15716916E+00
 0.73907220E-01  0.15946974E+02  0.17065465E+00
 0.83021757E-01  0.15850469E+02  0.18588114E+00
 0.93260335E-01  0.15700181E+02  0.20312086E+00
 0.10476158E+00  0.15528855E+02  0.22268335E+00
 0.11768120E+00  0.15268299E+02  0.24496787E+00
 0.13219411E+00  0.14961680E+02  0.27047636E+00
 0.14849683E+00  0.14639796E+02  0.29974297E+00
 0.16681005E+00  0.14316487E+02  0.33334477E+00
 0.18738174E+00  0.13927940E+02  0.37204094E+00
 0.21049041E+00  0.13490853E+02  0.41682357E+00
 0.23644894E+00  0.13012602E+02  0.46887298E+00
 0.26560878E+00  0.12506856E+02  0.52959606E+00
 0.29836472E+00  0.11956556E+02  0.60075504E+00
 0.33516027E+00  0.11363540E+02  0.68463281E+00
 0.37649358E+00  0.10768240E+02  0.78393050E+00
 0.42292429E+00  0.10173165E+02  0.90181082E+00
 0.47508102E+00  0.95620492E+01  0.10423233E+01
 0.53366992E+00  0.89303442E+01  0.12108218E+01
 0.59948425E+00  0.83078607E+01  0.14139051E+01
 0.67341507E+00  0.76930212E+01  0.16597485E+01
 0.75646333E+00  0.71121255E+01  0.19582498E+01
 0.84975344E+00  0.65605576E+01  0.23213935E+01
 0.95454846E+00  0.60488302E+01  0.27637447E+01
 0.10722672E+01  0.55727075E+01  0.33028966E+01
 0.12045035E+01  0.51301261E+01  0.39605079E+01
 0.13530478E+01  0.47144202E+01  0.47637330E+01
 0.15199111E+01  0.43327748E+01  0.57455551E+01
 0.17073526E+01  0.39800143E+01  0.69459301E+01
 0.19179103E+01  0.36558565E+01  0.84137993E+01
 0.21544347E+01  0.33539253E+01  0.10210163E+02
 0.24201283E+01  0.30785768E+01  0.12409153E+02
 0.27185882E+01  0.28255713E+01  0.15100372E+02
 0.30538555E+01  0.25936200E+01  0.18393714E+02
 0.34304693E+01  0.23769634E+01  0.22427553E+02
 0.38535286E+01  0.21790675E+01  0.27371092E+02
 0.43287613E+01  0.19961076E+01  0.33431279E+02
 0.48626016E+01  0.18295269E+01  0.40860549E+02
 0.54622772E+01  0.16761044E+01  0.49967679E+02
 0.61359073E+01  0.15348051E+01  0.61135547E+02
 0.68926121E+01  0.14011985E+01  0.74858162E+02
 0.77426368E+01  0.12791538E+01  0.91743467E+02
 0.86974900E+01  0.11658903E+01  0.11253886E+03
 0.97700996E+01  0.10627327E+01  0.13816721E+03
 0.10974988E+02  0.96789589E+00  0.16976446E+03
 0.12328467E+02  0.88132492E+00  0.20873806E+03
 0.13848864E+02  0.80110418E+00  0.25686434E+03
 0.15556761E+02  0.72820969E+00  0.31633976E+03
 0.17475284E+02  0.66163433E+00  0.38985536E+03
 0.19630407E+02  0.60097333E+00  0.48075133E+03
 0.22051307E+02  0.54472634E+00  0.59329391E+03
 0.24770764E+02  0.49380674E+00  0.73277292E+03
 0.27825594E+02  0.44787547E+00  0.90556013E+03
 0.31257158E+02  0.40619449E+00  0.11195548E+04
 0.35111917E+02  0.36810359E+00  0.13847188E+04
 0.39442061E+02  0.33354598E+00  0.17134051E+04
 0.44306215E+02  0.30175225E+00  0.21212364E+04
 0.49770236E+02  0.27300815E+00  0.26276568E+04
 0.55908102E+02  0.24716098E+00  0.32562021E+04
 0.62802914E+02  0.22374755E+00  0.40360338E+04
 0.70548023E+02  0.20221015E+00  0.50045995E+04
 0.79248290E+02  0.18275307E+00  0.62085761E+04
 0.89021509E+02  0.16527251E+00  0.77045075E+04
 0.10000000E+03  0.14946588E+00  0.95627374E+04
