#   nzt = 3
#    zt = 1.0000E+00 6.0000E+00 8.0000E+00
#    wt = 4.0000E+00 5.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.56009091E+00
#    Te =  2.50000000E-02
#   rho =  1.40000000E+00
#  zbar =  1.16859685E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.41592414E+00  7.94715139E-03
 1.12332400E-03  3.61083572E+00  8.45916584E-03
 1.26185690E-03  3.81694804E+00  9.00327239E-03
 1.41747420E-03  4.03293525E+00  9.58161269E-03
 1.59228280E-03  4.26125033E+00  1.01964759E-02
 1.78864950E-03  4.49966617E+00  1.08503674E-02
 2.00923300E-03  4.75150044E+00  1.15459754E-02
 2.25701970E-03  5.01352825E+00  1.22862450E-02
 2.53536450E-03  5.28998223E+00  1.30743496E-02
 2.84803590E-03  5.57677763E+00  1.39137537E-02
 3.19926710E-03  5.87892519E+00  1.48082006E-02
 3.59381370E-03  6.19147391E+00  1.57617796E-02
 4.03701730E-03  6.52018683E+00  1.67789204E-02
 4.53487850E-03  6.85860137E+00  1.78645157E-02
 5.09413800E-03  7.21368644E+00  1.90238930E-02
 5.72236770E-03  7.57729931E+00  2.02629560E-02
 6.42807310E-03  7.95772273E+00  2.15881607E-02
 7.22080900E-03  8.34335204E+00  2.30068220E-02
 8.11130830E-03  8.74499235E+00  2.45270135E-02
 9.11162760E-03  9.14879575E+00  2.61577950E-02
 1.02353100E-02  9.56732565E+00  2.79091979E-02
 1.14975700E-02  9.98221620E+00  2.97927233E-02
 1.29154970E-02  1.04091281E+01  3.18211907E-02
 1.45082880E-02  1.08258251E+01  3.40092772E-02
 1.62975080E-02  1.12508114E+01  3.63734766E-02
 1.83073830E-02  1.16942087E+01  3.89287215E-02
 2.05651230E-02  1.21555580E+01  4.16902476E-02
 2.31012970E-02  1.25840248E+01  4.46807564E-02
 2.59502420E-02  1.30090648E+01  4.79278744E-02
 2.91505310E-02  1.35312730E+01  5.14452296E-02
 3.27454920E-02  1.41093068E+01  5.52395902E-02
 3.67837980E-02  1.44332727E+01  5.93673331E-02
 4.13201240E-02  1.46465816E+01  6.39184089E-02
 4.64158880E-02  1.47071786E+01  6.89832842E-02
 5.21400830E-02  1.47127473E+01  7.46601157E-02
 5.85702080E-02  1.45840443E+01  8.10644740E-02
 6.57933220E-02  1.43954425E+01  8.83377365E-02
 7.39072200E-02  1.40919150E+01  9.66500990E-02
 8.30217570E-02  1.37463389E+01  1.06205686E-01
 9.32603350E-02  1.33591569E+01  1.17230548E-01
 1.04761580E-01  1.29590881E+01  1.29986344E-01
 1.17681200E-01  1.24844586E+01  1.44810889E-01
 1.32194110E-01  1.19747189E+01  1.62135616E-01
 1.48496830E-01  1.14614059E+01  1.82447383E-01
 1.66810050E-01  1.09566414E+01  2.06301109E-01
 1.87381740E-01  1.04289403E+01  2.34393652E-01
 2.10490410E-01  9.88866047E+00  2.67613084E-01
 2.36448940E-01  9.33153731E+00  3.07065461E-01
 2.65608780E-01  8.76893016E+00  3.54130269E-01
 2.98364720E-01  8.22181691E+00  4.10455779E-01
 3.35160270E-01  7.68901589E+00  4.78027474E-01
 3.76493580E-01  7.17469260E+00  5.59285445E-01
 4.22924290E-01  6.67904478E+00  6.57226452E-01
 4.75081020E-01  6.20430306E+00  7.75541384E-01
 5.33669920E-01  5.74807459E+00  9.18812673E-01
 5.99484250E-01  5.31174585E+00  1.09275696E+00
 6.73415070E-01  4.89387543E+00  1.30452887E+00
 7.56463330E-01  4.50503074E+00  1.56284193E+00
 8.49753440E-01  4.14229680E+00  1.87824426E+00
 9.54548460E-01  3.80851015E+00  2.26358157E+00
 1.07226720E+00  3.50094633E+00  2.73443060E+00
 1.20450350E+00  3.21734615E+00  3.30989847E+00
 1.35304780E+00  2.95352732E+00  4.01370894E+00
 1.51991110E+00  2.71269107E+00  4.87470992E+00
 1.70735260E+00  2.49189183E+00  5.92767382E+00
 1.91791030E+00  2.28845714E+00  7.21548790E+00
 2.15443470E+00  2.09750094E+00  8.79231880E+00
 2.42012830E+00  1.92323485E+00  1.07244645E+01
 2.71858820E+00  1.76278466E+00  1.30920176E+01
 3.05385550E+00  1.61553960E+00  1.59938127E+01
 3.43046930E+00  1.47777372E+00  1.95540684E+01
 3.85352860E+00  1.35191838E+00  2.39259380E+01
 4.32876130E+00  1.23561943E+00  2.92967603E+01
 4.86260160E+00  1.12947437E+00  3.58973410E+01
 5.46227720E+00  1.03137895E+00  4.40131027E+01
 6.13590730E+00  9.41342040E-01  5.39994073E+01
 6.89261210E+00  8.57001100E-01  6.63062552E+01
 7.74263680E+00  7.80160247E-01  8.14918599E+01
 8.69749000E+00  7.09451694E-01  1.00240710E+02
 9.77009960E+00  6.45185550E-01  1.23400161E+02
 1.09749880E+01  5.86505268E-01  1.52013226E+02
 1.23284670E+01  5.33036039E-01  1.87375198E+02
 1.38488640E+01  4.83704205E-01  2.31117372E+02
 1.55567610E+01  4.38981148E-01  2.85262341E+02
 1.74752840E+01  3.98434546E-01  3.52277728E+02
 1.96304070E+01  3.61494351E-01  4.35236039E+02
 2.20513070E+01  3.27132729E-01  5.38085282E+02
 2.47707640E+01  2.96099953E-01  6.65737766E+02
