#   nzt =   1
#    zt = 0.2000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39132700E+02
#    Te =  0.25000000E-01
#   rho =  0.17870000E-03
#  zbar =  0.35429937E-10
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.71722128E+00  0.18533164E-01
 0.11233240E-02  0.78515752E+00  0.19624699E-01
 0.12618569E-02  0.85768151E+00  0.20745797E-01
 0.14174742E-02  0.93333187E+00  0.21900979E-01
 0.15922828E-02  0.10152920E+01  0.23093655E-01
 0.17886495E-02  0.11005404E+01  0.24327470E-01
 0.20092330E-02  0.11923589E+01  0.25606456E-01
 0.22570197E-02  0.12888692E+01  0.26934063E-01
 0.25353645E-02  0.13920454E+01  0.28314281E-01
 0.28480359E-02  0.14998698E+01  0.29751572E-01
 0.31992671E-02  0.16153390E+01  0.31250403E-01
 0.35938137E-02  0.17365798E+01  0.32815177E-01
 0.40370173E-02  0.18669236E+01  0.34450101E-01
 0.45348785E-02  0.20010577E+01  0.36161162E-01
 0.50941380E-02  0.21484493E+01  0.37952807E-01
 0.57223677E-02  0.22992842E+01  0.39830283E-01
 0.64280731E-02  0.24605352E+01  0.41801201E-01
 0.72208090E-02  0.26313062E+01  0.43870762E-01
 0.81113083E-02  0.28124791E+01  0.46044884E-01
 0.91116276E-02  0.29933246E+01  0.48334742E-01
 0.10235310E-01  0.31829071E+01  0.50752947E-01
 0.11497570E-01  0.33795044E+01  0.53309476E-01
 0.12915497E-01  0.35845117E+01  0.56015274E-01
 0.14508288E-01  0.37852389E+01  0.58887283E-01
 0.16297508E-01  0.39900375E+01  0.61945196E-01
 0.18307383E-01  0.41900901E+01  0.65210247E-01
 0.20565123E-01  0.43942577E+01  0.68704749E-01
 0.23101297E-01  0.45796968E+01  0.72459420E-01
 0.25950242E-01  0.47555106E+01  0.76514178E-01
 0.29150531E-01  0.49180702E+01  0.80909747E-01
 0.32745492E-01  0.50702240E+01  0.85691009E-01
 0.36783798E-01  0.51888729E+01  0.90920132E-01
 0.41320124E-01  0.52876740E+01  0.96673033E-01
 0.46415888E-01  0.53676275E+01  0.10302749E+00
 0.52140083E-01  0.54332347E+01  0.11006809E+00
 0.58570208E-01  0.54573984E+01  0.11791215E+00
 0.65793322E-01  0.54584520E+01  0.12670436E+00
 0.73907220E-01  0.54329574E+01  0.13660428E+00
 0.83021757E-01  0.53920017E+01  0.14779324E+00
 0.93260335E-01  0.53239211E+01  0.16049110E+00
 0.10476158E+00  0.52403052E+01  0.17495940E+00
