#   nzt =   1
#    zt = 0.7200E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32981700E+01
#    Te =  0.25000000E-01
#   rho =  0.13310000E+02
#  zbar =  0.59701189E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.66765155E+01  0.88778028E-01
 0.11233240E-02  0.70600525E+01  0.94099405E-01
 0.12618569E-02  0.74656378E+01  0.99752084E-01
 0.14174742E-02  0.78914711E+01  0.10575810E+00
 0.15922828E-02  0.83415516E+01  0.11214070E+00
 0.17886495E-02  0.88127502E+01  0.11892537E+00
 0.20092330E-02  0.93104032E+01  0.12613925E+00
 0.22570197E-02  0.98299592E+01  0.13381210E+00
 0.25353645E-02  0.10378152E+02  0.14197572E+00
 0.28480359E-02  0.10949053E+02  0.15066490E+00
 0.31992671E-02  0.11550738E+02  0.15991690E+00
 0.35938137E-02  0.12176110E+02  0.16977240E+00
 0.40370173E-02  0.12834409E+02  0.18027500E+00
 0.45348785E-02  0.13516885E+02  0.19147253E+00
 0.50941380E-02  0.14234292E+02  0.20341631E+00
 0.57223677E-02  0.14975070E+02  0.21616324E+00
 0.64280731E-02  0.15752343E+02  0.22977449E+00
 0.72208090E-02  0.16549178E+02  0.24431919E+00
 0.81113083E-02  0.17382923E+02  0.25987223E+00
 0.91116276E-02  0.18233517E+02  0.27651709E+00
 0.10235310E-01  0.19121198E+02  0.29434436E+00
 0.11497570E-01  0.20023928E+02  0.31345425E+00
 0.12915497E-01  0.20963947E+02  0.33395516E+00
 0.14508288E-01  0.21909443E+02  0.35597152E+00
 0.16297508E-01  0.22889412E+02  0.37964034E+00
 0.18307383E-01  0.23884450E+02  0.40510569E+00
 0.20565123E-01  0.24918284E+02  0.43252300E+00
 0.23101297E-01  0.25985339E+02  0.46205085E+00
 0.25950242E-01  0.27101844E+02  0.49386422E+00
 0.29150531E-01  0.28416439E+02  0.52803934E+00
 0.32745492E-01  0.29872951E+02  0.56458080E+00
 0.36783798E-01  0.31112405E+02  0.60380524E+00
 0.41320124E-01  0.32293288E+02  0.64620013E+00
 0.46415888E-01  0.33508149E+02  0.69209692E+00
 0.52140083E-01  0.34794662E+02  0.74173556E+00
 0.58570208E-01  0.35662429E+02  0.79578144E+00
 0.65793322E-01  0.36341421E+02  0.85519484E+00
 0.73907220E-01  0.36691721E+02  0.92100634E+00
 0.83021757E-01  0.36897646E+02  0.99438771E+00
 0.93260335E-01  0.36922438E+02  0.10765721E+01
 0.10476158E+00  0.36857785E+02  0.11689401E+01
 0.11768120E+00  0.36609886E+02  0.12731459E+01
 0.13219411E+00  0.36244488E+02  0.13912072E+01
 0.14849683E+00  0.35807994E+02  0.15253189E+01
 0.16681005E+00  0.35331432E+02  0.16778923E+01
 0.18738174E+00  0.34735267E+02  0.18519060E+01
 0.21049041E+00  0.34046002E+02  0.20510398E+01
 0.23644894E+00  0.33248110E+02  0.22796919E+01
 0.26560878E+00  0.32371612E+02  0.25431069E+01
 0.29836472E+00  0.31401936E+02  0.28475884E+01
 0.33516027E+00  0.30350744E+02  0.32008864E+01
 0.37649358E+00  0.29302716E+02  0.36117676E+01
 0.42292429E+00  0.28263774E+02  0.40899973E+01
 0.47508102E+00  0.27162264E+02  0.46479165E+01
 0.53366992E+00  0.25983339E+02  0.53016899E+01
 0.59948425E+00  0.24817637E+02  0.60700758E+01
 0.67341507E+00  0.23659433E+02  0.69746345E+01
 0.75646333E+00  0.22513832E+02  0.80414092E+01
 0.84975344E+00  0.21351238E+02  0.93031108E+01
 0.95454846E+00  0.20258293E+02  0.10797372E+02
 0.10722672E+01  0.19222185E+02  0.12566290E+02
 0.12045035E+01  0.18218414E+02  0.14661335E+02
 0.13530478E+01  0.17206246E+02  0.17149317E+02
 0.15199111E+01  0.16264236E+02  0.20107517E+02
 0.17073526E+01  0.15374436E+02  0.23622724E+02
 0.19179103E+01  0.14525537E+02  0.27800264E+02
 0.21544347E+01  0.13668769E+02  0.32778260E+02
 0.24201283E+01  0.12875295E+02  0.38718105E+02
 0.27185882E+01  0.12121875E+02  0.45803207E+02
 0.30538555E+01  0.11408671E+02  0.54256050E+02
 0.34304693E+01  0.10682282E+02  0.64372989E+02
 0.38535286E+01  0.10002293E+02  0.76510162E+02
 0.43287613E+01  0.93360555E+01  0.91096079E+02
 0.48626016E+01  0.87173878E+01  0.10864546E+03
