#   nzt =   1
#    zt = 0.8000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34084100E+01
#    Te =  0.25000000E-01
#   rho =  0.13546200E+02
#  zbar =  0.23381335E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.72984162E+01  0.90995204E-01
 0.11233240E-02  0.77329304E+01  0.96444029E-01
 0.12618569E-02  0.81926581E+01  0.10222087E+00
 0.14174742E-02  0.86748916E+01  0.10834774E+00
 0.15922828E-02  0.91850048E+01  0.11484773E+00
 0.17886495E-02  0.97185420E+01  0.12174620E+00
 0.20092330E-02  0.10282609E+02  0.12907008E+00
 0.22570197E-02  0.10870907E+02  0.13684899E+00
 0.25353645E-02  0.11492313E+02  0.14511446E+00
 0.28480359E-02  0.12138851E+02  0.15390107E+00
 0.31992671E-02  0.12821035E+02  0.16324576E+00
 0.35938137E-02  0.13529074E+02  0.17318903E+00
 0.40370173E-02  0.14275252E+02  0.18377421E+00
 0.45348785E-02  0.15046608E+02  0.19504939E+00
 0.50941380E-02  0.15858273E+02  0.20706614E+00
 0.57223677E-02  0.16693878E+02  0.21988174E+00
 0.64280731E-02  0.17571683E+02  0.23355764E+00
 0.72208090E-02  0.18468549E+02  0.24816363E+00
 0.81113083E-02  0.19408274E+02  0.26377504E+00
 0.91116276E-02  0.20363601E+02  0.28047615E+00
 0.10235310E-01  0.21362270E+02  0.29835782E+00
 0.11497570E-01  0.22366643E+02  0.31752462E+00
 0.12915497E-01  0.23412163E+02  0.33809071E+00
 0.14508288E-01  0.24458904E+02  0.36018345E+00
 0.16297508E-01  0.25545081E+02  0.38394553E+00
 0.18307383E-01  0.26717916E+02  0.40948522E+00
 0.20565123E-01  0.27963639E+02  0.43689783E+00
 0.23101297E-01  0.29123731E+02  0.46639129E+00
 0.25950242E-01  0.30288676E+02  0.49823638E+00
 0.29150531E-01  0.31601946E+02  0.53258008E+00
 0.32745492E-01  0.33024307E+02  0.56949719E+00
 0.36783798E-01  0.34029734E+02  0.60945742E+00
 0.41320124E-01  0.34884100E+02  0.65314628E+00
 0.46415888E-01  0.35534130E+02  0.70118519E+00
 0.52140083E-01  0.36152586E+02  0.75419269E+00
 0.58570208E-01  0.36581490E+02  0.81288398E+00
 0.65793322E-01  0.36963119E+02  0.87808959E+00
 0.73907220E-01  0.37213243E+02  0.95072142E+00
 0.83021757E-01  0.37461083E+02  0.10317738E+01
 0.93260335E-01  0.37679617E+02  0.11222611E+01
 0.10476158E+00  0.37920797E+02  0.12232764E+01
 0.11768120E+00  0.38048317E+02  0.13361963E+01
 0.13219411E+00  0.38125811E+02  0.14627155E+01
 0.14849683E+00  0.38188353E+02  0.16045824E+01
 0.16681005E+00  0.38238639E+02  0.17636821E+01
 0.18738174E+00  0.38139472E+02  0.19425022E+01
 0.21049041E+00  0.37895658E+02  0.21442849E+01
 0.23644894E+00  0.37490003E+02  0.23729139E+01
 0.26560878E+00  0.36930186E+02  0.26330670E+01
 0.29836472E+00  0.36171204E+02  0.29305809E+01
 0.33516027E+00  0.35211816E+02  0.32728953E+01
 0.37649358E+00  0.34132835E+02  0.36687887E+01
 0.42292429E+00  0.32951804E+02  0.41284702E+01
 0.47508102E+00  0.31606043E+02  0.46650694E+01
 0.53366992E+00  0.30101453E+02  0.52958990E+01
 0.59948425E+00  0.28563990E+02  0.60414352E+01
 0.67341507E+00  0.27013114E+02  0.69255268E+01
 0.75646333E+00  0.25452367E+02  0.79775690E+01
 0.84975344E+00  0.23860262E+02  0.92353865E+01
 0.95454846E+00  0.22364572E+02  0.10742943E+02
 0.10722672E+01  0.20957864E+02  0.12549800E+02
 0.12045035E+01  0.19619347E+02  0.14716550E+02
 0.13530478E+01  0.18306013E+02  0.17321455E+02
 0.15199111E+01  0.17104113E+02  0.20455646E+02
 0.17073526E+01  0.15990719E+02  0.24222546E+02
 0.19179103E+01  0.14962075E+02  0.28746060E+02
 0.21544347E+01  0.13972690E+02  0.34182879E+02
 0.24201283E+01  0.13075786E+02  0.40716035E+02
 0.27185882E+01  0.12246228E+02  0.48554915E+02
 0.30538555E+01  0.11483158E+02  0.57949383E+02
 0.34304693E+01  0.10740743E+02  0.69219351E+02
 0.38535286E+01  0.10061993E+02  0.82743421E+02
 0.43287613E+01  0.94190844E+01  0.98966763E+02
 0.48626016E+01  0.88262556E+01  0.11842060E+03
 0.54622772E+01  0.82403425E+01  0.14178674E+03
 0.61359073E+01  0.76927783E+01  0.16989701E+03
 0.68926121E+01  0.71440766E+01  0.20381812E+03
 0.77426368E+01  0.66374818E+01  0.24483803E+03
 0.86974900E+01  0.61453174E+01  0.29452862E+03
 0.97700996E+01  0.56942185E+01  0.35479184E+03
 0.10974988E+02  0.52664321E+01  0.42792385E+03
 0.12328467E+02  0.48737487E+01  0.51671180E+03
 0.13848864E+02  0.44994485E+01  0.62462999E+03
 0.15556761E+02  0.41577850E+01  0.75587368E+03
 0.17475284E+02  0.38360629E+01  0.91555542E+03
 0.19630407E+02  0.35421499E+01  0.11098717E+04
 0.22051307E+02  0.32633274E+01  0.13465604E+04
 0.24770764E+02  0.30091262E+01  0.16349941E+04
 0.27825594E+02  0.27673580E+01  0.19868797E+04
 0.31257158E+02  0.25468111E+01  0.24165113E+04
 0.35111917E+02  0.23385459E+01  0.29415703E+04
 0.39442061E+02  0.21486979E+01  0.35836109E+04
 0.44306215E+02  0.19678241E+01  0.43699531E+04
 0.49770236E+02  0.18031491E+01  0.53341581E+04
 0.55908102E+02  0.16487114E+01  0.65175924E+04
 0.62802914E+02  0.15085110E+01  0.79710315E+04
 0.70548023E+02  0.13796708E+01  0.97558753E+04
 0.79248290E+02  0.12626102E+01  0.11947138E+05
 0.89021509E+02  0.11533916E+01  0.14639557E+05
 0.10000000E+03  0.10544120E+01  0.17949801E+05
