#   nzt =   1
#    zt = 0.8000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32822100E+01
#    Te =  0.25000000E-01
#   rho =  0.11140000E+02
#  zbar =  0.28702197E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.69125063E+01  0.96315452E-01
 0.11233240E-02  0.73093820E+01  0.10208871E+00
 0.12618569E-02  0.77290553E+01  0.10822159E+00
 0.14174742E-02  0.81695601E+01  0.11473806E+00
 0.15922828E-02  0.86351166E+01  0.12166341E+00
 0.17886495E-02  0.91221351E+01  0.12902550E+00
 0.20092330E-02  0.96364228E+01  0.13685399E+00
 0.22570197E-02  0.10172593E+02  0.14518156E+00
 0.25353645E-02  0.10738155E+02  0.15404317E+00
 0.28480359E-02  0.11326202E+02  0.16347716E+00
 0.31992671E-02  0.11945694E+02  0.17352461E+00
 0.35938137E-02  0.12588392E+02  0.18423049E+00
 0.40370173E-02  0.13264522E+02  0.19564305E+00
 0.45348785E-02  0.13963720E+02  0.20781547E+00
 0.50941380E-02  0.14698044E+02  0.22080498E+00
 0.57223677E-02  0.15454359E+02  0.23467504E+00
 0.64280731E-02  0.16247025E+02  0.24949399E+00
 0.72208090E-02  0.17057186E+02  0.26533929E+00
 0.81113083E-02  0.17903563E+02  0.28229500E+00
 0.91116276E-02  0.18763512E+02  0.30045538E+00
 0.10235310E-01  0.19658967E+02  0.31992298E+00
 0.11497570E-01  0.20562707E+02  0.34081317E+00
 0.12915497E-01  0.21500232E+02  0.36325160E+00
 0.14508288E-01  0.22432175E+02  0.38738462E+00
 0.16297508E-01  0.23392571E+02  0.41337509E+00
 0.18307383E-01  0.24365658E+02  0.44138929E+00
 0.20565123E-01  0.25374583E+02  0.47160478E+00
 0.23101297E-01  0.26408211E+02  0.50420834E+00
 0.25950242E-01  0.27488344E+02  0.53941015E+00
 0.29150531E-01  0.28840770E+02  0.57725083E+00
 0.32745492E-01  0.30377067E+02  0.61764553E+00
 0.36783798E-01  0.31538454E+02  0.66103049E+00
 0.41320124E-01  0.32579667E+02  0.70810502E+00
 0.46415888E-01  0.33447028E+02  0.75946752E+00
 0.52140083E-01  0.34311505E+02  0.81568496E+00
 0.58570208E-01  0.34965318E+02  0.87745316E+00
 0.65793322E-01  0.35564289E+02  0.94560719E+00
 0.73907220E-01  0.35981090E+02  0.10210859E+01
 0.83021757E-01  0.36347554E+02  0.11049627E+01
 0.93260335E-01  0.36623178E+02  0.11983576E+01
 0.10476158E+00  0.36847180E+02  0.13025398E+01
 0.11768120E+00  0.36858345E+02  0.14191955E+01
 0.13219411E+00  0.36725749E+02  0.15504755E+01
 0.14849683E+00  0.36493392E+02  0.16986953E+01
 0.16681005E+00  0.36183818E+02  0.18664185E+01
 0.18738174E+00  0.35693559E+02  0.20569235E+01
 0.21049041E+00  0.35058005E+02  0.22743476E+01
 0.23644894E+00  0.34285666E+02  0.25235733E+01
 0.26560878E+00  0.33416781E+02  0.28103397E+01
 0.29836472E+00  0.32443439E+02  0.31415025E+01
 0.33516027E+00  0.31380050E+02  0.35254533E+01
 0.37649358E+00  0.30306838E+02  0.39717481E+01
 0.42292429E+00  0.29236256E+02  0.44910820E+01
 0.47508102E+00  0.28100409E+02  0.50968795E+01
 0.53366992E+00  0.26884049E+02  0.58066680E+01
 0.59948425E+00  0.25680605E+02  0.66407985E+01
 0.67341507E+00  0.24486315E+02  0.76225872E+01
 0.75646333E+00  0.23291751E+02  0.87805212E+01
 0.84975344E+00  0.22058181E+02  0.10151312E+02
 0.95454846E+00  0.20894226E+02  0.11777295E+02
 0.10722672E+01  0.19786174E+02  0.13705698E+02
 0.12045035E+01  0.18713740E+02  0.15994292E+02
 0.13530478E+01  0.17631791E+02  0.18718242E+02
 0.15199111E+01  0.16623115E+02  0.21965101E+02
 0.17073526E+01  0.15666916E+02  0.25834314E+02
 0.19179103E+01  0.14766615E+02  0.30445186E+02
 0.21544347E+01  0.13880209E+02  0.35948840E+02
 0.24201283E+01  0.13061796E+02  0.42522566E+02
 0.27185882E+01  0.12290017E+02  0.50370135E+02
 0.30538555E+01  0.11568869E+02  0.59735465E+02
 0.34304693E+01  0.10858706E+02  0.70929231E+02
 0.38535286E+01  0.10201025E+02  0.84319797E+02
 0.43287613E+01  0.95703716E+01  0.10034307E+03
 0.48626016E+01  0.89836221E+01  0.11951988E+03
 0.54622772E+01  0.84024296E+01  0.14251238E+03
 0.61359073E+01  0.78559832E+01  0.17012759E+03
 0.68926121E+01  0.73070191E+01  0.20339986E+03
 0.77426368E+01  0.67976664E+01  0.24357849E+03
 0.86974900E+01  0.63026842E+01  0.29218350E+03
 0.97700996E+01  0.58482487E+01  0.35104746E+03
 0.10974988E+02  0.54185413E+01  0.42236650E+03
 0.12328467E+02  0.50233689E+01  0.50879948E+03
 0.13848864E+02  0.46461563E+01  0.61366513E+03
 0.15556761E+02  0.43011489E+01  0.74096250E+03
 0.17475284E+02  0.39751803E+01  0.89556656E+03
 0.19630407E+02  0.36756104E+01  0.10834128E+04
 0.22051307E+02  0.33894829E+01  0.13119570E+04
 0.24770764E+02  0.31268880E+01  0.15902808E+04
 0.27825594E+02  0.28772188E+01  0.19296560E+04
 0.31257158E+02  0.26478945E+01  0.23439088E+04
 0.35111917E+02  0.24311404E+01  0.28501951E+04
 0.39442061E+02  0.22324832E+01  0.34695212E+04
 0.44306215E+02  0.20445012E+01  0.42282571E+04
 0.49770236E+02  0.18729082E+01  0.51587712E+04
 0.55908102E+02  0.17129761E+01  0.63008155E+04
 0.62802914E+02  0.15674283E+01  0.77031744E+04
 0.70548023E+02  0.14339035E+01  0.94249936E+04
 0.79248290E+02  0.13122543E+01  0.11538604E+05
 0.89021509E+02  0.11985562E+01  0.14135781E+05
 0.10000000E+03  0.10951141E+01  0.17330024E+05
