#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25142100E+01
#    Te =  0.25000000E-01
#   rho =  0.26932100E+01
#  zbar =  0.12954599E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.31278538E+01  0.16985982E-01
 0.11233240E-02  0.33086172E+01  0.18003959E-01
 0.12618569E-02  0.34998659E+01  0.19084955E-01
 0.14174742E-02  0.37007248E+01  0.20233139E-01
 0.15922828E-02  0.39132072E+01  0.21452891E-01
 0.17886495E-02  0.41357155E+01  0.22749018E-01
 0.20092330E-02  0.43710007E+01  0.24126622E-01
 0.22570197E-02  0.46166671E+01  0.25591306E-01
 0.25353645E-02  0.48762421E+01  0.27149039E-01
 0.28480359E-02  0.51466371E+01  0.28806351E-01
 0.31992671E-02  0.54320589E+01  0.30570220E-01
 0.35938137E-02  0.57288081E+01  0.32448261E-01
 0.40370173E-02  0.60417023E+01  0.34448621E-01
 0.45348785E-02  0.63660947E+01  0.36580259E-01
 0.50941380E-02  0.67076631E+01  0.38852776E-01
 0.57223677E-02  0.70604727E+01  0.41276799E-01
 0.64280731E-02  0.74312937E+01  0.43863740E-01
 0.72208090E-02  0.78115334E+01  0.46626518E-01
 0.81113083E-02  0.82099476E+01  0.49579128E-01
 0.91116276E-02  0.86161792E+01  0.52737247E-01
 0.10235310E-01  0.90403222E+01  0.56117930E-01
 0.11497570E-01  0.94700211E+01  0.59740347E-01
 0.12915497E-01  0.99166588E+01  0.63625414E-01
 0.14508288E-01  0.10362263E+02  0.67797561E-01
 0.16297508E-01  0.10821695E+02  0.72284095E-01
 0.18307383E-01  0.11286359E+02  0.77113305E-01
 0.20565123E-01  0.11766009E+02  0.82315892E-01
 0.23101297E-01  0.12254286E+02  0.87924608E-01
 0.25950242E-01  0.12758270E+02  0.93977156E-01
 0.29150531E-01  0.13370787E+02  0.10048628E+00
 0.32745492E-01  0.14048539E+02  0.10744764E+00
 0.36783798E-01  0.14548979E+02  0.11494296E+00
 0.41320124E-01  0.14975099E+02  0.12310065E+00
 0.46415888E-01  0.15310955E+02  0.13203565E+00
 0.52140083E-01  0.15620382E+02  0.14186139E+00
 0.58570208E-01  0.15786508E+02  0.15273206E+00
 0.65793322E-01  0.15885600E+02  0.16484200E+00
 0.73907220E-01  0.15872543E+02  0.17841101E+00
 0.83021757E-01  0.15816957E+02  0.19368804E+00
 0.93260335E-01  0.15695686E+02  0.21094730E+00
 0.10476158E+00  0.15545509E+02  0.23050110E+00
 0.11768120E+00  0.15298861E+02  0.25275052E+00
 0.13219411E+00  0.15000949E+02  0.27819939E+00
 0.14849683E+00  0.14683837E+02  0.30738317E+00
 0.16681005E+00  0.14362488E+02  0.34088029E+00
 0.18738174E+00  0.13973899E+02  0.37945046E+00
 0.21049041E+00  0.13535163E+02  0.42408577E+00
 0.23644894E+00  0.13053797E+02  0.47596749E+00
 0.26560878E+00  0.12543798E+02  0.53650516E+00
 0.29836472E+00  0.11988729E+02  0.60746383E+00
 0.33516027E+00  0.11390640E+02  0.69112929E+00
 0.37649358E+00  0.10790129E+02  0.79020820E+00
 0.42292429E+00  0.10189746E+02  0.90787404E+00
 0.47508102E+00  0.95745721E+01  0.10481822E+01
 0.53366992E+00  0.89402390E+01  0.12164787E+01
 0.59948425E+00  0.83156076E+01  0.14193561E+01
 0.67341507E+00  0.76991248E+01  0.16649886E+01
 0.75646333E+00  0.71168920E+01  0.19632728E+01
 0.84975344E+00  0.65643541E+01  0.23261908E+01
 0.95454846E+00  0.60517688E+01  0.27683074E+01
 0.10722672E+01  0.55749170E+01  0.33072235E+01
 0.12045035E+01  0.51318933E+01  0.39645949E+01
 0.13530478E+01  0.47161049E+01  0.47675385E+01
 0.15199111E+01  0.43342675E+01  0.57490136E+01
 0.17073526E+01  0.39811826E+01  0.69490061E+01
 0.19179103E+01  0.36567867E+01  0.84164769E+01
 0.21544347E+01  0.33547347E+01  0.10212397E+02
 0.24201283E+01  0.30792672E+01  0.12410875E+02
 0.27185882E+01  0.28261403E+01  0.15101525E+02
 0.30538555E+01  0.25941342E+01  0.18394219E+02
 0.34304693E+01  0.23775328E+01  0.22427172E+02
 0.38535286E+01  0.21796263E+01  0.27369464E+02
 0.43287613E+01  0.19965377E+01  0.33428217E+02
 0.48626016E+01  0.18298573E+01  0.40856028E+02
 0.54622772E+01  0.16763693E+01  0.49961630E+02
 0.61359073E+01  0.15350336E+01  0.61127815E+02
 0.68926121E+01  0.14014500E+01  0.74848183E+02
 0.77426368E+01  0.12794161E+01  0.91730217E+02
 0.86974900E+01  0.11661413E+01  0.11252121E+03
 0.97700996E+01  0.10629574E+01  0.13814400E+03
 0.10974988E+02  0.96804514E+00  0.16973549E+03
 0.12328467E+02  0.88142720E+00  0.20870406E+03
 0.13848864E+02  0.80123238E+00  0.25682375E+03
 0.15556761E+02  0.72835257E+00  0.31628841E+03
 0.17475284E+02  0.66176383E+00  0.38978951E+03
 0.19630407E+02  0.60108749E+00  0.48066778E+03
 0.22051307E+02  0.54480991E+00  0.59319105E+03
 0.24770764E+02  0.49386722E+00  0.73265123E+03
 0.27825594E+02  0.44793409E+00  0.90541680E+03
 0.31257158E+02  0.40625371E+00  0.11193826E+04
 0.35111917E+02  0.36818403E+00  0.13844982E+04
 0.39442061E+02  0.33363829E+00  0.17130997E+04
 0.44306215E+02  0.30180571E+00  0.21208374E+04
 0.49770236E+02  0.27303216E+00  0.26271960E+04
 0.55908102E+02  0.24719744E+00  0.32556693E+04
 0.62802914E+02  0.22379295E+00  0.40353595E+04
 0.70548023E+02  0.20224417E+00  0.50037436E+04
 0.79248290E+02  0.18277767E+00  0.62075412E+04
 0.89021509E+02  0.16529555E+00  0.77032694E+04
 0.10000000E+03  0.14948741E+00  0.95612340E+04
