#   nzt =   1
#    zt = 0.6700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36879100E+01
#    Te =  0.25000000E-01
#   rho =  0.87950000E+01
#  zbar =  0.32643876E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.89717539E+01  0.61032399E-01
 0.11233240E-02  0.94810927E+01  0.64691900E-01
 0.12618569E-02  0.10019445E+02  0.68581655E-01
 0.14174742E-02  0.10582979E+02  0.72717415E-01
 0.15922828E-02  0.11178256E+02  0.77115774E-01
 0.17886495E-02  0.11799381E+02  0.81794995E-01
 0.20092330E-02  0.12454956E+02  0.86774546E-01
 0.22570197E-02  0.13137013E+02  0.92075824E-01
 0.25353645E-02  0.13856207E+02  0.97721690E-01
 0.28480359E-02  0.14602594E+02  0.10373721E+00
 0.31992671E-02  0.15388835E+02  0.11014921E+00
 0.35938137E-02  0.16202623E+02  0.11698717E+00
 0.40370173E-02  0.17058990E+02  0.12428260E+00
 0.45348785E-02  0.17941348E+02  0.13207062E+00
 0.50941380E-02  0.18868686E+02  0.14038887E+00
 0.57223677E-02  0.19820159E+02  0.14927921E+00
 0.64280731E-02  0.20818958E+02  0.15878646E+00
 0.72208090E-02  0.21835914E+02  0.16896151E+00
 0.81113083E-02  0.22901504E+02  0.17985914E+00
 0.91116276E-02  0.23981790E+02  0.19154047E+00
 0.10235310E-01  0.25112634E+02  0.20407097E+00
 0.11497570E-01  0.26244209E+02  0.21752675E+00
 0.12915497E-01  0.27424619E+02  0.23199074E+00
 0.14508288E-01  0.28608663E+02  0.24755306E+00
 0.16297508E-01  0.29844532E+02  0.26431456E+00
 0.18307383E-01  0.31238790E+02  0.28233355E+00
 0.20565123E-01  0.32751887E+02  0.30164569E+00
 0.23101297E-01  0.34076710E+02  0.32241531E+00
 0.25950242E-01  0.35369837E+02  0.34487430E+00
 0.29150531E-01  0.36738057E+02  0.36917468E+00
