#   nzt =   1
#    zt = 0.5300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.40967800E+01
#    Te =  0.25000000E-01
#   rho =  0.49370000E+01
#  zbar =  0.35685408E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.12645511E+02  0.33322868E-01
 0.11233240E-02  0.13351225E+02  0.35321842E-01
 0.12618569E-02  0.14096386E+02  0.37448504E-01
 0.14174742E-02  0.14873203E+02  0.39711926E-01
 0.15922828E-02  0.15692712E+02  0.42121670E-01
 0.17886495E-02  0.16544408E+02  0.44688262E-01
 0.20092330E-02  0.17441910E+02  0.47422961E-01
 0.22570197E-02  0.18372299E+02  0.50338126E-01
 0.25353645E-02  0.19351486E+02  0.53447003E-01
 0.28480359E-02  0.20363579E+02  0.56764176E-01
 0.31992671E-02  0.21427205E+02  0.60305305E-01
 0.35938137E-02  0.22521771E+02  0.64087799E-01
 0.40370173E-02  0.23669960E+02  0.68130375E-01
 0.45348785E-02  0.24842369E+02  0.72454268E-01
 0.50941380E-02  0.26068888E+02  0.77082430E-01
 0.57223677E-02  0.27311757E+02  0.82040853E-01
 0.64280731E-02  0.28607892E+02  0.87357697E-01
 0.72208090E-02  0.29904816E+02  0.93065558E-01
 0.81113083E-02  0.31250926E+02  0.99200083E-01
 0.91116276E-02  0.32586488E+02  0.10580169E+00
 0.10235310E-01  0.33966751E+02  0.11291440E+00
 0.11497570E-01  0.35297201E+02  0.12059161E+00
 0.12915497E-01  0.36657833E+02  0.12889321E+00
 0.14508288E-01  0.37988330E+02  0.13788258E+00
 0.16297508E-01  0.39352601E+02  0.14763290E+00
 0.18307383E-01  0.41067190E+02  0.15816733E+00
 0.20565123E-01  0.42975142E+02  0.16947922E+00
 0.23101297E-01  0.44262683E+02  0.18171786E+00
 0.25950242E-01  0.45360191E+02  0.19510376E+00
 0.29150531E-01  0.46136449E+02  0.20983586E+00
 0.32745492E-01  0.46861164E+02  0.22611332E+00
 0.36783798E-01  0.47050924E+02  0.24422190E+00
 0.41320124E-01  0.47070461E+02  0.26452496E+00
 0.46415888E-01  0.46926402E+02  0.28736718E+00
 0.52140083E-01  0.46791908E+02  0.31309795E+00
 0.58570208E-01  0.46378543E+02  0.34217340E+00
 0.65793322E-01  0.45874627E+02  0.37516070E+00
 0.73907220E-01  0.45175366E+02  0.41271088E+00
 0.83021757E-01  0.44426151E+02  0.45557649E+00
 0.93260335E-01  0.43576289E+02  0.50460725E+00
 0.10476158E+00  0.42698765E+02  0.56078056E+00
 0.11768120E+00  0.41639592E+02  0.62533328E+00
 0.13219411E+00  0.40484376E+02  0.69981668E+00
 0.14849683E+00  0.39303647E+02  0.78594498E+00
 0.16681005E+00  0.38125691E+02  0.88563608E+00
 0.18738174E+00  0.36882158E+02  0.10012383E+01
 0.21049041E+00  0.35597236E+02  0.11356281E+01
 0.23644894E+00  0.34241937E+02  0.12923107E+01
 0.26560878E+00  0.32852646E+02  0.14755422E+01
 0.29836472E+00  0.31474089E+02  0.16902383E+01
 0.33516027E+00  0.30098528E+02  0.19422278E+01
 0.37649358E+00  0.28775423E+02  0.22382893E+01
 0.42292429E+00  0.27509426E+02  0.25861288E+01
 0.47508102E+00  0.26248418E+02  0.29952110E+01
 0.53366992E+00  0.24978802E+02  0.34775178E+01
 0.59948425E+00  0.23756298E+02  0.40470470E+01
 0.67341507E+00  0.22573111E+02  0.47200083E+01
 0.75646333E+00  0.21408998E+02  0.55162516E+01
 0.84975344E+00  0.20234077E+02  0.64611778E+01
 0.95454846E+00  0.19134324E+02  0.75840670E+01
 0.10722672E+01  0.18096004E+02  0.89176487E+01
 0.12045035E+01  0.17067761E+02  0.10503390E+02
 0.13530478E+01  0.15994725E+02  0.12398658E+02
 0.15199111E+01  0.14982372E+02  0.14671264E+02
 0.17073526E+01  0.14007139E+02  0.17399405E+02
 0.19179103E+01  0.13087684E+02  0.20678073E+02
 0.21544347E+01  0.12193001E+02  0.24626174E+02
 0.24201283E+01  0.11364060E+02  0.29385692E+02
 0.27185882E+01  0.10579030E+02  0.35126004E+02
 0.30538555E+01  0.98567906E+01  0.42049551E+02
 0.34304693E+01  0.91791659E+01  0.50399074E+02
 0.38535286E+01  0.85516355E+01  0.60467840E+02
 0.43287613E+01  0.79558225E+01  0.72617903E+02
 0.48626016E+01  0.74076939E+01  0.87281871E+02
 0.54622772E+01  0.68915229E+01  0.10498046E+03
 0.61359073E+01  0.64097972E+01  0.12635068E+03
 0.68926121E+01  0.59444777E+01  0.15220087E+03
 0.77426368E+01  0.55120147E+01  0.18351209E+03
 0.86974900E+01  0.50945214E+01  0.22151105E+03
 0.97700996E+01  0.47092208E+01  0.26768935E+03
 0.10974988E+02  0.43421117E+01  0.32388309E+03
 0.12328467E+02  0.40037783E+01  0.39233801E+03
 0.13848864E+02  0.36825483E+01  0.47584845E+03
 0.15556761E+02  0.33885262E+01  0.57781659E+03
 0.17475284E+02  0.31132660E+01  0.70240010E+03
 0.19630407E+02  0.28607489E+01  0.85469411E+03
 0.22051307E+02  0.26216117E+01  0.10411480E+04
 0.24770764E+02  0.24036602E+01  0.12696475E+04
 0.27825594E+02  0.22018919E+01  0.15497331E+04
 0.31257158E+02  0.20174446E+01  0.18931260E+04
 0.35111917E+02  0.18448156E+01  0.23145859E+04
 0.39442061E+02  0.16872696E+01  0.28322412E+04
 0.44306215E+02  0.15399303E+01  0.34687578E+04
 0.49770236E+02  0.14055293E+01  0.42521413E+04
 0.55908102E+02  0.12808039E+01  0.52171254E+04
 0.62802914E+02  0.11672440E+01  0.64066289E+04
 0.70548023E+02  0.10629706E+01  0.78734157E+04
 0.79248290E+02  0.96811811E+00  0.96824920E+04
 0.89021509E+02  0.88032662E+00  0.11915721E+05
 0.10000000E+03  0.80061961E+00  0.14674784E+05
