#   nzt =   1
#    zt = 0.5300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35918000E+01
#    Te =  0.50000000E+00
#   rho =  0.73262800E+01
#  zbar =  0.30073677E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.84990373E+01  0.49619355E-01
 0.11233240E-02  0.89945340E+01  0.52592345E-01
 0.12618569E-02  0.95187469E+01  0.55747888E-01
 0.14174742E-02  0.10068601E+02  0.59098212E-01
 0.15922828E-02  0.10650232E+02  0.62656147E-01
 0.17886495E-02  0.11258468E+02  0.66435796E-01
 0.20092330E-02  0.11901516E+02  0.70452134E-01
 0.22570197E-02  0.12571877E+02  0.74721652E-01
 0.25353645E-02  0.13279927E+02  0.79261936E-01
 0.28480359E-02  0.14016121E+02  0.84092283E-01
 0.31992671E-02  0.14792709E+02  0.89233349E-01
 0.35938137E-02  0.15598036E+02  0.94707814E-01
 0.40370173E-02  0.16446208E+02  0.10054001E+00
 0.45348785E-02  0.17321975E+02  0.10675697E+00
 0.50941380E-02  0.18242388E+02  0.11338781E+00
 0.57223677E-02  0.19188116E+02  0.12046502E+00
 0.64280731E-02  0.20179561E+02  0.12802364E+00
 0.72208090E-02  0.21189185E+02  0.13610368E+00
 0.81113083E-02  0.22243703E+02  0.14474864E+00
 0.91116276E-02  0.23310493E+02  0.15400752E+00
 0.10235310E-01  0.24420854E+02  0.16393355E+00
 0.11497570E-01  0.25531923E+02  0.17458784E+00
 0.12915497E-01  0.26682886E+02  0.18603728E+00
 0.14508288E-01  0.27823283E+02  0.19835807E+00
 0.16297508E-01  0.28998993E+02  0.21163563E+00
 0.18307383E-01  0.30239169E+02  0.22594280E+00
 0.20565123E-01  0.31543479E+02  0.24134955E+00
 0.23101297E-01  0.32783885E+02  0.25797100E+00
 0.25950242E-01  0.34037546E+02  0.27595239E+00
 0.29150531E-01  0.35525896E+02  0.29535732E+00
 0.32745492E-01  0.37163493E+02  0.31619794E+00
 0.36783798E-01  0.38254616E+02  0.33875548E+00
 0.41320124E-01  0.39125371E+02  0.36345980E+00
 0.46415888E-01  0.39704291E+02  0.39070717E+00
 0.52140083E-01  0.40201815E+02  0.42090030E+00
