#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25833100E+01
#    Te =  0.25000000E-01
#   rho =  0.49800000E+01
#  zbar =  0.11203012E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.33342933E+01  0.15934312E-01
 0.11233240E-02  0.35247180E+01  0.16889574E-01
 0.12618569E-02  0.37260278E+01  0.17904625E-01
 0.14174742E-02  0.39370527E+01  0.18983501E-01
 0.15922828E-02  0.41600056E+01  0.20130461E-01
 0.17886495E-02  0.43929237E+01  0.21350196E-01
 0.20092330E-02  0.46387895E+01  0.22647704E-01
 0.22570197E-02  0.48947979E+01  0.24028497E-01
 0.25353645E-02  0.51647301E+01  0.25498465E-01
 0.28480359E-02  0.54450262E+01  0.27064079E-01
 0.31992671E-02  0.57401836E+01  0.28732273E-01
 0.35938137E-02  0.60458752E+01  0.30510662E-01
 0.40370173E-02  0.63673125E+01  0.32407416E-01
 0.45348785E-02  0.66988869E+01  0.34431598E-01
 0.50941380E-02  0.70469058E+01  0.36592961E-01
 0.57223677E-02  0.74042623E+01  0.38902359E-01
 0.64280731E-02  0.77785333E+01  0.41371495E-01
 0.72208090E-02  0.81596349E+01  0.44013677E-01
 0.81113083E-02  0.85574626E+01  0.46843355E-01
 0.91116276E-02  0.89600923E+01  0.49876754E-01
 0.10235310E-01  0.93791035E+01  0.53131496E-01
 0.11497570E-01  0.97990929E+01  0.56627684E-01
 0.12915497E-01  0.10234457E+02  0.60387265E-01
 0.14508288E-01  0.10667076E+02  0.64435139E-01
 0.16297508E-01  0.11114134E+02  0.68799014E-01
 0.18307383E-01  0.11585624E+02  0.73502864E-01
 0.20565123E-01  0.12083559E+02  0.78569549E-01
 0.23101297E-01  0.12563472E+02  0.84035092E-01
 0.25950242E-01  0.13053853E+02  0.89944283E-01
 0.29150531E-01  0.13634773E+02  0.96316483E-01
 0.32745492E-01  0.14277392E+02  0.10315458E+00
 0.36783798E-01  0.14728320E+02  0.11054429E+00
 0.41320124E-01  0.15102368E+02  0.11861781E+00
 0.46415888E-01  0.15367789E+02  0.12749848E+00
 0.52140083E-01  0.15597478E+02  0.13731408E+00
 0.58570208E-01  0.15702197E+02  0.14822304E+00
 0.65793322E-01  0.15746948E+02  0.16041959E+00
 0.73907220E-01  0.15686389E+02  0.17412939E+00
 0.83021757E-01  0.15583133E+02  0.18961235E+00
 0.93260335E-01  0.15420680E+02  0.20715562E+00
 0.10476158E+00  0.15229765E+02  0.22708693E+00
 0.11768120E+00  0.14944829E+02  0.24983096E+00
 0.13219411E+00  0.14608620E+02  0.27592336E+00
 0.14849683E+00  0.14252183E+02  0.30594158E+00
 0.16681005E+00  0.13891652E+02  0.34051484E+00
 0.18738174E+00  0.13469445E+02  0.38046300E+00
