#   nzt = 2
#    zt = 5.3000E+01 8.0000E+00
#    wt = 2.0000E+00 5.0000E+00
#    zp = 1.0000E+00
#    rs =  2.88858571E+00
#    Te =  2.50000000E-02
#   rho =  4.98000000E+00
#  zbar =  2.04170097E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.97914589E+00  2.98387580E-02
 1.12332400E-03  5.26413564E+00  3.17562687E-02
 1.26185690E-03  5.56544311E+00  3.37936443E-02
 1.41747420E-03  5.88148821E+00  3.59588402E-02
 1.59228280E-03  6.21543436E+00  3.82603713E-02
 1.78864950E-03  6.56447721E+00  4.07075575E-02
 2.00923300E-03  6.93296221E+00  4.33104077E-02
 2.25701970E-03  7.31671979E+00  4.60798856E-02
 2.53536450E-03  7.72137257E+00  4.90278060E-02
 2.84803590E-03  8.14159650E+00  5.21670586E-02
 3.19926710E-03  8.58409450E+00  5.55115618E-02
 3.59381370E-03  9.04251050E+00  5.90764772E-02
 4.03701730E-03  9.52450293E+00  6.28782022E-02
 4.53487850E-03  1.00220557E+01  6.69347268E-02
 5.09413800E-03  1.05442254E+01  7.12655787E-02
 5.72236770E-03  1.10808597E+01  7.58922928E-02
 6.42807310E-03  1.16427549E+01  8.08383306E-02
 7.22080900E-03  1.22153297E+01  8.61300874E-02
 8.11130830E-03  1.28127117E+01  9.17965507E-02
 9.11162760E-03  1.34174379E+01  9.78700424E-02
 1.02353100E-02  1.40460321E+01  1.04386143E-01
 1.14975700E-02  1.46773981E+01  1.11384772E-01
 1.29154970E-02  1.53308259E+01  1.18909914E-01
 1.45082880E-02  1.59763881E+01  1.27012286E-01
 1.62975080E-02  1.66396586E+01  1.35748610E-01
 1.83073830E-02  1.73108357E+01  1.45176554E-01
 2.05651230E-02  1.80057896E+01  1.55357504E-01
 2.31012970E-02  1.87107517E+01  1.66357917E-01
 2.59502420E-02  1.94430551E+01  1.78248917E-01
 2.91505310E-02  2.03678579E+01  1.91050550E-01
 3.27454920E-02  2.14147410E+01  2.04754266E-01
 3.67837980E-02  2.21575659E+01  2.19515415E-01
 4.13201240E-02  2.27804221E+01  2.35592374E-01
 4.64158880E-02  2.32391859E+01  2.53227437E-01
 5.21400830E-02  2.36510980E+01  2.72669710E-01
 5.85702080E-02  2.38433751E+01  2.94233031E-01
 6.57933220E-02  2.39350911E+01  3.18312107E-01
 7.39072200E-02  2.38350451E+01  3.45367293E-01
 8.30217570E-02  2.36553554E+01  3.75938679E-01
 9.32603350E-02  2.33800991E+01  4.10613957E-01
 1.04761580E-01  2.30593537E+01  4.50067617E-01
 1.17681200E-01  2.25915496E+01  4.95159519E-01
 1.32194110E-01  2.20414397E+01  5.46971355E-01
 1.48496830E-01  2.14595337E+01  6.06689477E-01
 1.66810050E-01  2.08686414E+01  6.75632853E-01
 1.87381740E-01  2.02097714E+01  7.55442196E-01
 2.10490410E-01  1.95052817E+01  8.48178445E-01
 2.36448940E-01  1.87503973E+01  9.56334981E-01
 2.65608780E-01  1.79696214E+01  1.08291947E+00
 2.98364720E-01  1.71698107E+01  1.23152190E+00
 3.35160270E-01  1.63519216E+01  1.40651939E+00
 3.76493580E-01  1.55516233E+01  1.61307394E+00
 4.22924290E-01  1.47719754E+01  1.85720003E+00
 4.75081020E-01  1.39956768E+01  2.14628775E+00
 5.33669920E-01  1.32132915E+01  2.48966246E+00
 5.99484250E-01  1.24535789E+01  2.89857548E+00
 6.73415070E-01  1.17109574E+01  3.38650681E+00
 7.56463330E-01  1.09970112E+01  3.96979327E+00
 8.49753440E-01  1.03002262E+01  4.66846762E+00
 9.54548460E-01  9.65027150E+00  5.50627384E+00
 1.07226720E+00  9.04018057E+00  6.51087203E+00
 1.20450350E+00  8.45305900E+00  7.71668627E+00
 1.35304780E+00  7.86967429E+00  9.16855393E+00
 1.51991110E+00  7.32417764E+00  1.09206579E+01
 1.70735260E+00  6.80688143E+00  1.30369672E+01
 1.91791030E+00  6.32215657E+00  1.55957764E+01
 2.15443470E+00  5.85782993E+00  1.86943646E+01
 2.42012830E+00  5.42891121E+00  2.24504984E+01
 2.71858820E+00  5.02666307E+00  2.70054087E+01
 3.05385550E+00  4.65679217E+00  3.25299162E+01
 3.43046930E+00  4.31091126E+00  3.92312174E+01
 3.85352860E+00  3.99225309E+00  4.73613323E+01
 4.32876130E+00  3.69301554E+00  5.72287293E+01
 4.86260160E+00  3.41879366E+00  6.92064303E+01
 5.46227720E+00  3.16368703E+00  8.37434966E+01
 6.13590730E+00  2.92697489E+00  1.01392250E+02
 6.89261210E+00  2.70047454E+00  1.22851542E+02
 7.74263680E+00  2.49101694E+00  1.48981696E+02
 8.69749000E+00  2.29158819E+00  1.80847018E+02
