#   nzt =   1
#    zt = 0.4900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34779700E+01
#    Te =  0.25000000E-01
#   rho =  0.73000000E+01
#  zbar =  0.25643303E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.71024045E+01  0.53672722E-01
 0.11233240E-02  0.75064558E+01  0.56890750E-01
 0.12618569E-02  0.79335403E+01  0.60310889E-01
 0.14174742E-02  0.83808466E+01  0.63946897E-01
 0.15922828E-02  0.88533621E+01  0.67813278E-01
 0.17886495E-02  0.93465206E+01  0.71926025E-01
 0.20092330E-02  0.98670142E+01  0.76302187E-01
 0.22570197E-02  0.10408410E+02  0.80960572E-01
 0.25353645E-02  0.10979183E+02  0.85921285E-01
 0.28480359E-02  0.11571282E+02  0.91206408E-01
 0.31992671E-02  0.12194762E+02  0.96839596E-01
 0.35938137E-02  0.12839809E+02  0.10284685E+00
 0.40370173E-02  0.13518180E+02  0.10925603E+00
 0.45348785E-02  0.14216891E+02  0.11609814E+00
 0.50941380E-02  0.14950514E+02  0.12340650E+00
 0.57223677E-02  0.15702837E+02  0.13121820E+00
 0.64280731E-02  0.16491438E+02  0.13957307E+00
 0.72208090E-02  0.17293500E+02  0.14851642E+00
 0.81113083E-02  0.18132141E+02  0.15809724E+00
 0.91116276E-02  0.18980582E+02  0.16837042E+00
 0.10235310E-01  0.19866397E+02  0.17939501E+00
 0.11497570E-01  0.20752663E+02  0.19123901E+00
 0.12915497E-01  0.21676973E+02  0.20397583E+00
 0.14508288E-01  0.22602738E+02  0.21768595E+00
 0.16297508E-01  0.23575576E+02  0.23245648E+00
 0.18307383E-01  0.24657152E+02  0.24834313E+00
 0.20565123E-01  0.25846896E+02  0.26538158E+00
 0.23101297E-01  0.26991943E+02  0.28367455E+00
 0.25950242E-01  0.28197800E+02  0.30335644E+00
 0.29150531E-01  0.29636946E+02  0.32445750E+00
 0.32745492E-01  0.31268755E+02  0.34694412E+00
 0.36783798E-01  0.32474010E+02  0.37107051E+00
 0.41320124E-01  0.33522797E+02  0.39725152E+00
 0.46415888E-01  0.34277537E+02  0.42588361E+00
 0.52140083E-01  0.34923815E+02  0.45739804E+00
 0.58570208E-01  0.35347386E+02  0.49226300E+00
 0.65793322E-01  0.35661239E+02  0.53101893E+00
 0.73907220E-01  0.35721923E+02  0.57432923E+00
 0.83021757E-01  0.35642895E+02  0.62300327E+00
 0.93260335E-01  0.35463798E+02  0.67788375E+00
 0.10476158E+00  0.35205704E+02  0.73990714E+00
 0.11768120E+00  0.34765701E+02  0.81027774E+00
 0.13219411E+00  0.34205466E+02  0.89048611E+00
 0.14849683E+00  0.33566819E+02  0.98218937E+00
 0.16681005E+00  0.32871396E+02  0.10872677E+01
 0.18738174E+00  0.32075364E+02  0.12080201E+01
 0.21049041E+00  0.31204883E+02  0.13472414E+01
 0.23644894E+00  0.30244673E+02  0.15083063E+01
 0.26560878E+00  0.29230896E+02  0.16952580E+01
 0.29836472E+00  0.28177311E+02  0.19128434E+01
 0.33516027E+00  0.27094907E+02  0.21667459E+01
 0.37649358E+00  0.26034587E+02  0.24634905E+01
 0.42292429E+00  0.25005610E+02  0.28104377E+01
 0.47508102E+00  0.23947934E+02  0.32167587E+01
 0.53366992E+00  0.22847994E+02  0.36943398E+01
 0.59948425E+00  0.21781244E+02  0.42569221E+01
 0.67341507E+00  0.20742331E+02  0.49201214E+01
 0.75646333E+00  0.19694043E+02  0.57034595E+01
 0.84975344E+00  0.18591981E+02  0.66331792E+01
 0.95454846E+00  0.17552661E+02  0.77395823E+01
 0.10722672E+01  0.16558265E+02  0.90564245E+01
 0.12045035E+01  0.15585872E+02  0.10625927E+02
 0.13530478E+01  0.14590933E+02  0.12504594E+02
 0.15199111E+01  0.13658485E+02  0.14759132E+02
 0.17073526E+01  0.12765296E+02  0.17466986E+02
 0.19179103E+01  0.11935156E+02  0.20720772E+02
 0.21544347E+01  0.11138413E+02  0.24634092E+02
 0.24201283E+01  0.10404497E+02  0.29342202E+02
 0.27185882E+01  0.97119782E+01  0.35006241E+02
 0.30538555E+01  0.90722467E+01  0.41819399E+02
 0.34304693E+01  0.84627423E+01  0.50018615E+02
 0.38535286E+01  0.78965690E+01  0.59890239E+02
 0.43287613E+01  0.73555703E+01  0.71785741E+02
 0.48626016E+01  0.68564803E+01  0.86125193E+02
 0.54622772E+01  0.63817673E+01  0.10341859E+03
 0.61359073E+01  0.59373553E+01  0.12429091E+03
 0.68926121E+01  0.55017358E+01  0.14954729E+03
 0.77426368E+01  0.50980968E+01  0.18016312E+03
 0.86974900E+01  0.47090157E+01  0.21734223E+03
 0.97700996E+01  0.43509401E+01  0.26254889E+03
 0.10974988E+02  0.40115007E+01  0.31757337E+03
 0.12328467E+02  0.36990036E+01  0.38460459E+03
 0.13848864E+02  0.34025013E+01  0.46637401E+03
 0.15556761E+02  0.31313483E+01  0.56620414E+03
 0.17475284E+02  0.28776923E+01  0.68815008E+03
 0.19630407E+02  0.26450948E+01  0.83717935E+03
 0.22051307E+02  0.24251894E+01  0.10195596E+04
 0.24770764E+02  0.22243576E+01  0.12429650E+04
 0.27825594E+02  0.20372819E+01  0.15167879E+04
 0.31257158E+02  0.18661385E+01  0.18525829E+04
 0.35111917E+02  0.17060485E+01  0.22648186E+04
 0.39442061E+02  0.15598165E+01  0.27712889E+04
 0.44306215E+02  0.14228721E+01  0.33943267E+04
 0.49770236E+02  0.12980067E+01  0.41615166E+04
 0.55908102E+02  0.11819835E+01  0.51071482E+04
 0.62802914E+02  0.10764941E+01  0.62736214E+04
 0.70548023E+02  0.98019707E+00  0.77125347E+04
 0.79248290E+02  0.89263934E+00  0.94874105E+04
 0.89021509E+02  0.81159589E+00  0.11678665E+05
 0.10000000E+03  0.73803805E+00  0.14386171E+05
