#   nzt =   1
#    zt = 0.7700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28410900E+01
#    Te =  0.25000000E-01
#   rho =  0.22420000E+02
#  zbar =  0.48510278E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.45823633E+01  0.13927751E+00
 0.11233240E-02  0.48473515E+01  0.14762429E+00
 0.12618569E-02  0.51276698E+01  0.15648758E+00
 0.14174742E-02  0.54224064E+01  0.16590123E+00
 0.15922828E-02  0.57340546E+01  0.17590099E+00
 0.17886495E-02  0.60611423E+01  0.18652566E+00
 0.20092330E-02  0.64067917E+01  0.19781656E+00
 0.22570197E-02  0.67690496E+01  0.20981845E+00
 0.25353645E-02  0.71515996E+01  0.22257903E+00
 0.28480359E-02  0.75517603E+01  0.23615021E+00
 0.31992671E-02  0.79739710E+01  0.25058746E+00
 0.35938137E-02  0.84147989E+01  0.26595111E+00
 0.40370173E-02  0.88794553E+01  0.28230575E+00
 0.45348785E-02  0.93637825E+01  0.29972163E+00
 0.50941380E-02  0.98737346E+01  0.31827394E+00
 0.57223677E-02  0.10403200E+02  0.33804586E+00
 0.64280731E-02  0.10959749E+02  0.35912669E+00
 0.72208090E-02  0.11534348E+02  0.38161641E+00
 0.81113083E-02  0.12136901E+02  0.40562305E+00
 0.91116276E-02  0.12756999E+02  0.43126576E+00
 0.10235310E-01  0.13405888E+02  0.45867363E+00
 0.11497570E-01  0.14074412E+02  0.48798559E+00
 0.12915497E-01  0.14773497E+02  0.51935115E+00
 0.14508288E-01  0.15491987E+02  0.55293464E+00
 0.16297508E-01  0.16243035E+02  0.58891272E+00
 0.18307383E-01  0.17015191E+02  0.62747722E+00
 0.20565123E-01  0.17825327E+02  0.66883132E+00
 0.23101297E-01  0.18671092E+02  0.71317907E+00
 0.25950242E-01  0.19571170E+02  0.76072421E+00
 0.29150531E-01  0.20536243E+02  0.81165163E+00
 0.32745492E-01  0.21586134E+02  0.86612652E+00
 0.36783798E-01  0.22742418E+02  0.92427714E+00
 0.41320124E-01  0.24024104E+02  0.98621541E+00
 0.46415888E-01  0.25622269E+02  0.10517686E+01
 0.52140083E-01  0.27485465E+02  0.11205508E+01
 0.58570208E-01  0.29168713E+02  0.11929420E+01
 0.65793322E-01  0.30801663E+02  0.12697772E+01
 0.73907220E-01  0.32360659E+02  0.13517307E+01
 0.83021757E-01  0.33898366E+02  0.14394643E+01
 0.93260335E-01  0.35148048E+02  0.15340243E+01
 0.10476158E+00  0.36197253E+02  0.16368114E+01
 0.11768120E+00  0.36846600E+02  0.17495901E+01
 0.13219411E+00  0.37198431E+02  0.18746020E+01
 0.14849683E+00  0.37350452E+02  0.20141088E+01
 0.16681005E+00  0.37339389E+02  0.21705150E+01
 0.18738174E+00  0.37064441E+02  0.23468906E+01
 0.21049041E+00  0.36568028E+02  0.25471211E+01
 0.23644894E+00  0.35877624E+02  0.27757619E+01
 0.26560878E+00  0.35032140E+02  0.30381835E+01
 0.29836472E+00  0.34025824E+02  0.33409010E+01
 0.33516027E+00  0.32882950E+02  0.36919627E+01
 0.37649358E+00  0.31706387E+02  0.41005445E+01
 0.42292429E+00  0.30512928E+02  0.45769630E+01
 0.47508102E+00  0.29238152E+02  0.51342306E+01
 0.53366992E+00  0.27874663E+02  0.57893122E+01
 0.59948425E+00  0.26521836E+02  0.65620362E+01
 0.67341507E+00  0.25179404E+02  0.74753591E+01
 0.75646333E+00  0.23855329E+02  0.85570866E+01
 0.84975344E+00  0.22520670E+02  0.98421961E+01
 0.95454846E+00  0.21261476E+02  0.11371455E+02
 0.10722672E+01  0.20064882E+02  0.13191340E+02
 0.12045035E+01  0.18919389E+02  0.15358253E+02
 0.13530478E+01  0.17786662E+02  0.17944052E+02
 0.15199111E+01  0.16734618E+02  0.21032720E+02
 0.17073526E+01  0.15742851E+02  0.24720601E+02
 0.19179103E+01  0.14812252E+02  0.29123221E+02
 0.21544347E+01  0.13897042E+02  0.34387914E+02
 0.24201283E+01  0.13056422E+02  0.40687274E+02
 0.27185882E+01  0.12268128E+02  0.48218468E+02
 0.30538555E+01  0.11532984E+02  0.57218088E+02
 0.34304693E+01  0.10806863E+02  0.67991092E+02
 0.38535286E+01  0.10136074E+02  0.80899463E+02
 0.43287613E+01  0.94926661E+01  0.96371896E+02
 0.48626016E+01  0.88957198E+01  0.11492118E+03
 0.54622772E+01  0.83044318E+01  0.13720147E+03
 0.61359073E+01  0.77507199E+01  0.16401040E+03
 0.68926121E+01  0.71971436E+01  0.19636656E+03
 0.77426368E+01  0.66853512E+01  0.23550120E+03
 0.86974900E+01  0.61911107E+01  0.28290754E+03
 0.97700996E+01  0.57396458E+01  0.34038020E+03
 0.10974988E+02  0.53162639E+01  0.41005337E+03
 0.12328467E+02  0.49276021E+01  0.49451218E+03
 0.13848864E+02  0.45578207E+01  0.59698719E+03
 0.15556761E+02  0.42186754E+01  0.72138663E+03
 0.17475284E+02  0.38965991E+01  0.87253163E+03
 0.19630407E+02  0.36001617E+01  0.10563039E+04
 0.22051307E+02  0.33168367E+01  0.12800839E+04
 0.24770764E+02  0.30569221E+01  0.15528626E+04
