#   nzt =   1
#    zt = 0.1900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.49485100E+01
#    Te =  0.50000000E+00
#   rho =  0.86320000E+00
#  zbar =  0.97945125E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.16541672E+02  0.78490027E-02
 0.11233240E-02  0.17321630E+02  0.83218331E-02
 0.12618569E-02  0.18138719E+02  0.88289801E-02
 0.14174742E-02  0.18966298E+02  0.93734214E-02
 0.15922828E-02  0.19831533E+02  0.99582981E-02
 0.17886495E-02  0.20694053E+02  0.10587298E-01
 0.20092330E-02  0.21593029E+02  0.11264407E-01
 0.22570197E-02  0.22473756E+02  0.11994308E-01
 0.25353645E-02  0.23387868E+02  0.12782103E-01
 0.28480359E-02  0.24267853E+02  0.13633750E-01
 0.31992671E-02  0.25176548E+02  0.14555748E-01
 0.35938137E-02  0.26017594E+02  0.15556077E-01
 0.40370173E-02  0.26878440E+02  0.16643590E-01
 0.45348785E-02  0.27667855E+02  0.17828299E-01
 0.50941380E-02  0.28471458E+02  0.19121352E-01
 0.57223677E-02  0.29217583E+02  0.20534897E-01
 0.64280731E-02  0.29976184E+02  0.22083309E-01
 0.72208090E-02  0.31068899E+02  0.23769932E-01
 0.81113083E-02  0.32268258E+02  0.25593055E-01
 0.91116276E-02  0.32662848E+02  0.27590734E-01
 0.10235310E-01  0.32892295E+02  0.29815026E-01
 0.11497570E-01  0.32918205E+02  0.32304668E-01
 0.12915497E-01  0.32926876E+02  0.35098504E-01
 0.14508288E-01  0.32463261E+02  0.38259580E-01
 0.16297508E-01  0.31917153E+02  0.41867389E-01
 0.18307383E-01  0.31225676E+02  0.46000666E-01
 0.20565123E-01  0.30554691E+02  0.50745653E-01
 0.23101297E-01  0.29753455E+02  0.56206869E-01
 0.25950242E-01  0.28977389E+02  0.62506947E-01
 0.29150531E-01  0.28187689E+02  0.69778739E-01
 0.32745492E-01  0.27466149E+02  0.78168982E-01
 0.36783798E-01  0.26765133E+02  0.87841616E-01
 0.41320124E-01  0.26135691E+02  0.98980544E-01
 0.46415888E-01  0.25565728E+02  0.11178383E+00
 0.52140083E-01  0.25086455E+02  0.12646207E+00
 0.58570208E-01  0.24632216E+02  0.14325980E+00
 0.65793322E-01  0.24239160E+02  0.16245680E+00
 0.73907220E-01  0.23909542E+02  0.18434525E+00
 0.83021757E-01  0.23661282E+02  0.20922659E+00
 0.93260335E-01  0.23401957E+02  0.23747641E+00
 0.10476158E+00  0.23165966E+02  0.26954451E+00
 0.11768120E+00  0.22890349E+02  0.30596745E+00
 0.13219411E+00  0.22606645E+02  0.34738930E+00
 0.14849683E+00  0.22335698E+02  0.39449545E+00
 0.16681005E+00  0.22082104E+02  0.44801790E+00
 0.18738174E+00  0.21701555E+02  0.50900606E+00
 0.21049041E+00  0.21221391E+02  0.57890288E+00
 0.23644894E+00  0.20680923E+02  0.65934258E+00
 0.26560878E+00  0.20091933E+02  0.75219146E+00
 0.29836472E+00  0.19377400E+02  0.85993266E+00
 0.33516027E+00  0.18541136E+02  0.98595886E+00
 0.37649358E+00  0.17674898E+02  0.11342148E+01
