#   nzt =   1
#    zt = 0.1900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34932400E+01
#    Te =  0.25000000E-01
#   rho =  0.23500000E+01
#  zbar =  0.16324181E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.59100712E+01  0.21968539E-01
 0.11233240E-02  0.62414664E+01  0.23286221E-01
 0.12618569E-02  0.65915550E+01  0.24687715E-01
 0.14174742E-02  0.69569195E+01  0.26178911E-01
 0.15922828E-02  0.73426309E+01  0.27766009E-01
 0.17886495E-02  0.77441049E+01  0.29455811E-01
 0.20092330E-02  0.81676077E+01  0.31255576E-01
 0.22570197E-02  0.86076090E+01  0.33173227E-01
 0.25353645E-02  0.90714220E+01  0.35217225E-01
 0.28480359E-02  0.95522894E+01  0.37396832E-01
 0.31992671E-02  0.10058860E+02  0.39721930E-01
 0.35938137E-02  0.10582365E+02  0.42203432E-01
 0.40370173E-02  0.11133510E+02  0.44852969E-01
 0.45348785E-02  0.11699712E+02  0.47683618E-01
 0.50941380E-02  0.12295276E+02  0.50709351E-01
 0.57223677E-02  0.12904192E+02  0.53945784E-01
 0.64280731E-02  0.13544416E+02  0.57409563E-01
 0.72208090E-02  0.14193994E+02  0.61119610E-01
 0.81113083E-02  0.14876805E+02  0.65096136E-01
 0.91116276E-02  0.15568522E+02  0.69361455E-01
 0.10235310E-01  0.16297726E+02  0.73938947E-01
 0.11497570E-01  0.17024498E+02  0.78856362E-01
 0.12915497E-01  0.17791777E+02  0.84143431E-01
 0.14508288E-01  0.18581884E+02  0.89828461E-01
 0.16297508E-01  0.19429871E+02  0.95942201E-01
 0.18307383E-01  0.20511953E+02  0.10247915E+00
 0.20565123E-01  0.21762707E+02  0.10940994E+00
 0.23101297E-01  0.22752241E+02  0.11680095E+00
 0.25950242E-01  0.23695031E+02  0.12475924E+00
 0.29150531E-01  0.24455295E+02  0.13338356E+00
 0.32745492E-01  0.25174400E+02  0.14278138E+00
 0.36783798E-01  0.25645485E+02  0.15309144E+00
 0.41320124E-01  0.26025449E+02  0.16448480E+00
 0.46415888E-01  0.26294735E+02  0.17712615E+00
 0.52140083E-01  0.26521825E+02  0.19119196E+00
 0.58570208E-01  0.26606240E+02  0.20690032E+00
 0.65793322E-01  0.26614164E+02  0.22451642E+00
 0.73907220E-01  0.26518450E+02  0.24433952E+00
 0.83021757E-01  0.26366711E+02  0.26671242E+00
 0.93260335E-01  0.26137379E+02  0.29202823E+00
