#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.27849000E+01
#    Te =  0.25000000E-01
#   rho =  0.19817500E+01
#  zbar =  0.84958265E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.40238139E+01  0.13203809E-01
 0.11233240E-02  0.42516233E+01  0.13995572E-01
 0.12618569E-02  0.44924011E+01  0.14837267E-01
 0.14174742E-02  0.47440352E+01  0.15732357E-01
 0.15922828E-02  0.50098324E+01  0.16684484E-01
 0.17886495E-02  0.52868270E+01  0.17697649E-01
 0.20092330E-02  0.55791598E+01  0.18776121E-01
 0.22570197E-02  0.58830954E+01  0.19924572E-01
 0.25353645E-02  0.62035309E+01  0.21147999E-01
 0.28480359E-02  0.65358301E+01  0.22451887E-01
 0.31992671E-02  0.68857494E+01  0.23842109E-01
 0.35938137E-02  0.72473294E+01  0.25325158E-01
 0.40370173E-02  0.76275171E+01  0.26907998E-01
 0.45348785E-02  0.80179350E+01  0.28598461E-01
 0.50941380E-02  0.84275521E+01  0.30404986E-01
 0.57223677E-02  0.88455937E+01  0.32337060E-01
 0.64280731E-02  0.92830340E+01  0.34404929E-01
 0.72208090E-02  0.97248027E+01  0.36620368E-01
 0.81113083E-02  0.10185115E+02  0.38996213E-01
 0.91116276E-02  0.10646522E+02  0.41546973E-01
 0.10235310E-01  0.11125151E+02  0.44288445E-01
 0.11497570E-01  0.11593955E+02  0.47239577E-01
 0.12915497E-01  0.12075526E+02  0.50421573E-01
 0.14508288E-01  0.12551311E+02  0.53857068E-01
 0.16297508E-01  0.13039341E+02  0.57572066E-01
 0.18307383E-01  0.13614911E+02  0.61578952E-01
 0.20565123E-01  0.14238960E+02  0.65882795E-01
 0.23101297E-01  0.14707648E+02  0.70534065E-01
 0.25950242E-01  0.15127904E+02  0.75604638E-01
 0.29150531E-01  0.15483938E+02  0.81157000E-01
 0.32745492E-01  0.15831333E+02  0.87251910E-01
 0.36783798E-01  0.16007785E+02  0.93986050E-01
 0.41320124E-01  0.16123714E+02  0.10148408E+00
 0.46415888E-01  0.16182760E+02  0.10986290E+00
 0.52140083E-01  0.16238925E+02  0.11923992E+00
 0.58570208E-01  0.16194460E+02  0.12977001E+00
 0.65793322E-01  0.16113741E+02  0.14164555E+00
 0.73907220E-01  0.15972439E+02  0.15507990E+00
 0.83021757E-01  0.15821008E+02  0.17031021E+00
 0.93260335E-01  0.15628220E+02  0.18760704E+00
 0.10476158E+00  0.15423755E+02  0.20728303E+00
 0.11768120E+00  0.15147114E+02  0.22973449E+00
 0.13219411E+00  0.14835742E+02  0.25545452E+00
 0.14849683E+00  0.14514880E+02  0.28497211E+00
 0.16681005E+00  0.14196600E+02  0.31886085E+00
 0.18738174E+00  0.13815206E+02  0.35787854E+00
 0.21049041E+00  0.13386842E+02  0.40301828E+00
 0.23644894E+00  0.12919819E+02  0.45545721E+00
 0.26560878E+00  0.12427055E+02  0.51659269E+00
 0.29836472E+00  0.11887853E+02  0.58818450E+00
 0.33516027E+00  0.11304288E+02  0.67252462E+00
 0.37649358E+00  0.10720339E+02  0.77230534E+00
 0.42292429E+00  0.10138059E+02  0.89065031E+00
 0.47508102E+00  0.95355609E+01  0.10315954E+01
 0.53366992E+00  0.89081957E+01  0.12005348E+01
 0.59948425E+00  0.82898360E+01  0.14040906E+01
 0.67341507E+00  0.76788049E+01  0.16504272E+01
 0.75646333E+00  0.71010443E+01  0.19494351E+01
 0.84975344E+00  0.65518362E+01  0.23131011E+01
 0.95454846E+00  0.60419820E+01  0.27559943E+01
 0.10722672E+01  0.55671951E+01  0.32957157E+01
 0.12045035E+01  0.51256461E+01  0.39539361E+01
 0.13530478E+01  0.47105922E+01  0.47578373E+01
 0.15199111E+01  0.43296032E+01  0.57404185E+01
 0.17073526E+01  0.39775084E+01  0.69416086E+01
 0.19179103E+01  0.36538522E+01  0.84103361E+01
 0.21544347E+01  0.33522027E+01  0.10207650E+02
 0.24201283E+01  0.30771073E+01  0.12407730E+02
 0.27185882E+01  0.28243229E+01  0.15100177E+02
 0.30538555E+01  0.25924359E+01  0.18394973E+02
 0.34304693E+01  0.23755756E+01  0.22430917E+02
 0.38535286E+01  0.21776227E+01  0.27377585E+02
 0.43287613E+01  0.19948515E+01  0.33441707E+02
 0.48626016E+01  0.18284299E+01  0.40875539E+02
 0.54622772E+01  0.16751443E+01  0.49988003E+02
 0.61359073E+01  0.15339561E+01  0.61162144E+02
 0.68926121E+01  0.14004247E+01  0.74892335E+02
 0.77426368E+01  0.12784418E+01  0.91786991E+02
 0.86974900E+01  0.11652185E+01  0.11259418E+03
 0.97700996E+01  0.10621134E+01  0.13823748E+03
 0.10974988E+02  0.96737615E+00  0.16985243E+03
 0.12328467E+02  0.88087983E+00  0.20884618E+03
 0.13848864E+02  0.80067810E+00  0.25699736E+03
 0.15556761E+02  0.72780387E+00  0.31650523E+03
 0.17475284E+02  0.66125239E+00  0.39006267E+03
 0.19630407E+02  0.60062309E+00  0.48101187E+03
 0.22051307E+02  0.54445180E+00  0.59361573E+03
 0.24770764E+02  0.49359357E+00  0.73315947E+03
 0.27825594E+02  0.44769469E+00  0.90601831E+03
 0.31257158E+02  0.40603153E+00  0.11200962E+04
