#   nzt = 2
#    zt = 1.9000E+01 8.0000E+00
#    wt = 2.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.25419667E+00
#    Te =  2.50000000E-02
#   rho =  2.35000000E+00
#  zbar =  1.20885691E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  5.41263220E+00  1.79198582E-02
 1.12332400E-03  5.71910480E+00  1.90817166E-02
 1.26185690E-03  6.04298867E+00  2.03169172E-02
 1.41747420E-03  6.38126437E+00  2.16304920E-02
 1.59228280E-03  6.73851567E+00  2.30278385E-02
 1.78864950E-03  7.11057573E+00  2.45148423E-02
 2.00923300E-03  7.50313993E+00  2.60978331E-02
 2.25701970E-03  7.91103053E+00  2.77836921E-02
 2.53536450E-03  8.34094453E+00  2.95798343E-02
 2.84803590E-03  8.78646873E+00  3.14943427E-02
 3.19926710E-03  9.25549850E+00  3.35359414E-02
 3.59381370E-03  9.73977073E+00  3.57142067E-02
 4.03701730E-03  1.02488782E+01  3.80395017E-02
 4.53487850E-03  1.07710918E+01  4.05233811E-02
 5.09413800E-03  1.13189345E+01  4.31784223E-02
 5.72236770E-03  1.18772642E+01  4.60186383E-02
 6.42807310E-03  1.24614759E+01  4.90593453E-02
 7.22080900E-03  1.30504163E+01  5.23179368E-02
 8.11130830E-03  1.36639947E+01  5.58136064E-02
 9.11162760E-03  1.42783363E+01  5.95677703E-02
 1.02353100E-02  1.49155490E+01  6.36041138E-02
 1.14975700E-02  1.55399683E+01  6.79504201E-02
 1.29154970E-02  1.61815263E+01  7.26378878E-02
 1.45082880E-02  1.68106847E+01  7.77005967E-02
 1.62975080E-02  1.74545960E+01  8.31762201E-02
 1.83073830E-02  1.82272160E+01  8.90829805E-02
 2.05651230E-02  1.90690750E+01  9.54315076E-02
 2.31012970E-02  1.96749587E+01  1.02296441E-01
 2.59502420E-02  2.02057157E+01  1.09788024E-01
 2.91505310E-02  2.06176697E+01  1.18009173E-01
 3.27454920E-02  2.10052557E+01  1.27067044E-01
 3.67837980E-02  2.11757810E+01  1.37108003E-01
 4.13201240E-02  2.12747510E+01  1.48315553E-01
 4.64158880E-02  2.13003140E+01  1.60868585E-01
 5.21400830E-02  2.13262023E+01  1.74952686E-01
 5.85702080E-02  2.12583223E+01  1.90790012E-01
 6.57933220E-02  2.11688980E+01  2.08646395E-01
 7.39072200E-02  2.10349630E+01  2.28811412E-01
 8.30217570E-02  2.09106930E+01  2.51602467E-01
 9.32603350E-02  2.07550380E+01  2.77376664E-01
 1.04761580E-01  2.05991433E+01  3.06548112E-01
 1.17681200E-01  2.03647793E+01  3.39632028E-01
 1.32194110E-01  2.00942667E+01  3.77260684E-01
 1.48496830E-01  1.98127283E+01  4.20114877E-01
 1.66810050E-01  1.95325337E+01  4.68942085E-01
 1.87381740E-01  1.91507460E+01  5.24735421E-01
 2.10490410E-01  1.86888357E+01  5.88812096E-01
 2.36448940E-01  1.81622447E+01  6.62727503E-01
 2.65608780E-01  1.75866133E+01  7.48326074E-01
 2.98364720E-01  1.69156327E+01  8.47971868E-01
 3.35160270E-01  1.61523723E+01  9.64780301E-01
 3.76493580E-01  1.53687610E+01  1.10244354E+00
 4.22924290E-01  1.45689497E+01  1.26528077E+00
 4.75081020E-01  1.37347043E+01  1.45879305E+00
 5.33669920E-01  1.28632890E+01  1.69015446E+00
 5.99484250E-01  1.19988125E+01  1.96822741E+00
 6.73415070E-01  1.11415185E+01  2.30388305E+00
 7.56463330E-01  1.03301717E+01  2.71025139E+00
 8.49753440E-01  9.56035593E+00  3.20305197E+00
 9.54548460E-01  8.84779710E+00  3.80120340E+00
 1.07226720E+00  8.18783393E+00  4.52727484E+00
 1.20450350E+00  7.57541830E+00  5.40874140E+00
 1.35304780E+00  7.00063487E+00  6.47960258E+00
 1.51991110E+00  6.47716033E+00  7.78048077E+00
 1.70735260E+00  5.99807183E+00  9.35917200E+00
 1.91791030E+00  5.55684587E+00  1.12737854E+01
 2.15443470E+00  5.13915313E+00  1.35973592E+01
 2.42012830E+00  4.75843217E+00  1.64178959E+01
 2.71858820E+00  4.40654263E+00  1.98395347E+01
 3.05385550E+00  4.08064000E+00  2.39901798E+01
 3.43046930E+00  3.76545893E+00  2.90342967E+01
 3.85352860E+00  3.47594380E+00  3.51734956E+01
 4.32876130E+00  3.20365757E+00  4.26502631E+01
 4.86260160E+00  2.95367830E+00  5.17613927E+01
 5.46227720E+00  2.71786017E+00  6.28736576E+01
 6.13590730E+00  2.49932303E+00  7.64438355E+01
 6.89261210E+00  2.28924780E+00  9.30544643E+01
 7.74263680E+00  2.09674720E+00  1.13426121E+02
 8.69749000E+00  1.91671200E+00  1.38436130E+02
 9.77009960E+00  1.75270300E+00  1.69164114E+02
 1.09749880E+01  1.60207250E+00  2.06919878E+02
 1.23284670E+01  1.46424500E+00  2.53322011E+02
 1.38488640E+01  1.33548683E+00  3.10414789E+02
 1.55567610E+01  1.21836122E+00  3.80722287E+02
 1.74752840E+01  1.11086768E+00  4.67318750E+02
 1.96304070E+01  1.01286756E+00  5.74007704E+02
 2.20513070E+01  9.21807570E-01  7.05575367E+02
 2.47707640E+01  8.39175807E-01  8.67943078E+02
 2.78255940E+01  7.63684960E-01  1.06833044E+03
 3.12571580E+01  6.95062643E-01  1.31566878E+03
 3.51119170E+01  6.31746183E-01  1.62115583E+03
 3.94420610E+01  5.74269443E-01  1.99868622E+03
 4.43062150E+01  5.21202530E-01  2.46560039E+03
 4.97702360E+01  4.73101680E-01  3.04345634E+03
 5.59081020E+01  4.29254093E-01  3.75873313E+03
 6.28029140E+01  3.89492780E-01  4.64427220E+03
 7.05480230E+01  3.52910773E-01  5.74137860E+03
 7.92482900E+01  3.19788523E-01  7.10147616E+03
 8.90215090E+01  2.89675650E-01  8.78785206E+03
 1.00000000E+02  2.62409707E-01  1.08790752E+04
