#   nzt =   1
#    zt = 0.3500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.38535400E+01
#    Te =  0.25000000E-01
#   rho =  0.37353000E+01
#  zbar =  0.12021091E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.10238983E+02  0.25912366E-01
 0.11233240E-02  0.10802868E+02  0.27467352E-01
 0.12618569E-02  0.11397849E+02  0.29122806E-01
 0.14174742E-02  0.12016550E+02  0.30886024E-01
 0.15922828E-02  0.12668819E+02  0.32764687E-01
 0.17886495E-02  0.13344576E+02  0.34767298E-01
 0.20092330E-02  0.14056204E+02  0.36902946E-01
 0.22570197E-02  0.14790403E+02  0.39181728E-01
 0.25353645E-02  0.15562499E+02  0.41614464E-01
 0.28480359E-02  0.16354829E+02  0.44213269E-01
 0.31992671E-02  0.17186544E+02  0.46991176E-01
 0.35938137E-02  0.18036352E+02  0.49962696E-01
 0.40370173E-02  0.18926565E+02  0.53143462E-01
 0.45348785E-02  0.19828124E+02  0.56551300E-01
 0.50941380E-02  0.20769508E+02  0.60205492E-01
 0.57223677E-02  0.21708933E+02  0.64128587E-01
 0.64280731E-02  0.22684843E+02  0.68345144E-01
 0.72208090E-02  0.23636982E+02  0.72884568E-01
 0.81113083E-02  0.24618259E+02  0.77779582E-01
 0.91116276E-02  0.25589281E+02  0.83064523E-01
 0.10235310E-01  0.26589928E+02  0.88777841E-01
 0.11497570E-01  0.27682396E+02  0.94948390E-01
 0.12915497E-01  0.28835630E+02  0.10160075E+00
 0.14508288E-01  0.29725019E+02  0.10881238E+00
 0.16297508E-01  0.30560522E+02  0.11668476E+00
 0.18307383E-01  0.31411582E+02  0.12528838E+00
 0.20565123E-01  0.32301984E+02  0.13468365E+00
 0.23101297E-01  0.32831368E+02  0.14500741E+00
 0.25950242E-01  0.33261428E+02  0.15643805E+00
 0.29150531E-01  0.33491148E+02  0.16915410E+00
 0.32745492E-01  0.33703773E+02  0.18334294E+00
 0.36783798E-01  0.33694404E+02  0.19923521E+00
 0.41320124E-01  0.33640570E+02  0.21710776E+00
 0.46415888E-01  0.33545595E+02  0.23723192E+00
 0.52140083E-01  0.33500222E+02  0.25988023E+00
 0.58570208E-01  0.33304026E+02  0.28541407E+00
 0.65793322E-01  0.33077682E+02  0.31428179E+00
 0.73907220E-01  0.32786832E+02  0.34696800E+00
 0.83021757E-01  0.32515726E+02  0.38399867E+00
 0.93260335E-01  0.32168773E+02  0.42599452E+00
 0.10476158E+00  0.31807498E+02  0.47368632E+00
 0.11768120E+00  0.31317988E+02  0.52798335E+00
 0.13219411E+00  0.30765066E+02  0.59001100E+00
 0.14849683E+00  0.30191916E+02  0.66098147E+00
 0.16681005E+00  0.29615426E+02  0.74222022E+00
 0.18738174E+00  0.28906676E+02  0.83547765E+00
 0.21049041E+00  0.28089433E+02  0.94305276E+00
 0.23644894E+00  0.27181400E+02  0.10676793E+01
 0.26560878E+00  0.26198330E+02  0.12126485E+01
 0.29836472E+00  0.25152301E+02  0.13819419E+01
 0.33516027E+00  0.24043225E+02  0.15804749E+01
 0.37649358E+00  0.22912065E+02  0.18141592E+01
 0.42292429E+00  0.21766039E+02  0.20900557E+01
 0.47508102E+00  0.20601635E+02  0.24169018E+01
 0.53366992E+00  0.19425315E+02  0.28055990E+01
 0.59948425E+00  0.18274518E+02  0.32692460E+01
 0.67341507E+00  0.17158299E+02  0.38234536E+01
 0.75646333E+00  0.16089846E+02  0.44869342E+01
 0.84975344E+00  0.15060041E+02  0.52826113E+01
 0.95454846E+00  0.14115019E+02  0.62369814E+01
 0.10722672E+01  0.13249520E+02  0.73798117E+01
 0.12045035E+01  0.12431903E+02  0.87474506E+01
 0.13530478E+01  0.11628895E+02  0.10387718E+02
 0.15199111E+01  0.10901197E+02  0.12355583E+02
 0.17073526E+01  0.10235065E+02  0.14711476E+02
 0.19179103E+01  0.96039978E+01  0.17530052E+02
 0.21544347E+01  0.89627345E+01  0.20914379E+02
 0.24201283E+01  0.83693464E+01  0.24987051E+02
 0.27185882E+01  0.78011428E+01  0.29890960E+02
 0.30538555E+01  0.72699391E+01  0.35800418E+02
 0.34304693E+01  0.67443155E+01  0.42941110E+02
 0.38535286E+01  0.62559915E+01  0.51587824E+02
 0.43287613E+01  0.57850084E+01  0.62076957E+02
 0.48626016E+01  0.53518964E+01  0.74815797E+02
 0.54622772E+01  0.49423944E+01  0.90298423E+02
 0.61359073E+01  0.45644455E+01  0.10912916E+03
 0.68926121E+01  0.42040552E+01  0.13206756E+03
 0.77426368E+01  0.38735568E+01  0.16003714E+03
 0.86974900E+01  0.35616042E+01  0.19417672E+03
 0.97700996E+01  0.32779136E+01  0.23586654E+03
 0.10974988E+02  0.30168021E+01  0.28675062E+03
 0.12328467E+02  0.27776508E+01  0.34883505E+03
 0.13848864E+02  0.25515088E+01  0.42467753E+03
 0.15556761E+02  0.23450755E+01  0.51739288E+03
 0.17475284E+02  0.21511588E+01  0.63082847E+03
 0.19630407E+02  0.19734742E+01  0.76971634E+03
 0.22051307E+02  0.18048004E+01  0.94007135E+03
 0.24770764E+02  0.16510523E+01  0.11492826E+04
 0.27825594E+02  0.15075688E+01  0.14064407E+04
 0.31257158E+02  0.13767396E+01  0.17227671E+04
 0.35111917E+02  0.12548914E+01  0.21122728E+04
 0.39442061E+02  0.11440157E+01  0.25922327E+04
 0.44306215E+02  0.10410139E+01  0.31842348E+04
 0.49770236E+02  0.94750681E+00  0.39149707E+04
 0.55908102E+02  0.86196140E+00  0.48170866E+04
