#   nzt =   1
#    zt = 0.1900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.37149900E+01
#    Te =  0.25000000E-01
#   rho =  0.27400000E+01
#  zbar =  0.15079309E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.71091803E+01  0.18263094E-01
 0.11233240E-02  0.75038702E+01  0.19358817E-01
 0.12618569E-02  0.79208792E+01  0.20524824E-01
 0.14174742E-02  0.83559206E+01  0.21766064E-01
 0.15922828E-02  0.88154280E+01  0.23087729E-01
 0.17886495E-02  0.92936232E+01  0.24495512E-01
 0.20092330E-02  0.97986147E+01  0.25995460E-01
 0.22570197E-02  0.10323166E+02  0.27594181E-01
 0.25353645E-02  0.10877183E+02  0.29298682E-01
 0.28480359E-02  0.11451488E+02  0.31116643E-01
 0.31992671E-02  0.12058433E+02  0.33056178E-01
 0.35938137E-02  0.12686844E+02  0.35126152E-01
 0.40370173E-02  0.13351982E+02  0.37335862E-01
 0.45348785E-02  0.14038524E+02  0.39695613E-01
 0.50941380E-02  0.14766869E+02  0.42216138E-01
 0.57223677E-02  0.15516072E+02  0.44909394E-01
 0.64280731E-02  0.16313395E+02  0.47787735E-01
 0.72208090E-02  0.17128852E+02  0.50865167E-01
 0.81113083E-02  0.17999949E+02  0.54156220E-01
 0.91116276E-02  0.18903919E+02  0.57675389E-01
 0.10235310E-01  0.19875052E+02  0.61437744E-01
 0.11497570E-01  0.20927417E+02  0.65454687E-01
 0.12915497E-01  0.22079189E+02  0.69734502E-01
 0.14508288E-01  0.23175164E+02  0.74302914E-01
 0.16297508E-01  0.24314738E+02  0.79194966E-01
 0.18307383E-01  0.25608961E+02  0.84422913E-01
 0.20565123E-01  0.27020361E+02  0.89988987E-01
 0.23101297E-01  0.28081509E+02  0.95959138E-01
 0.25950242E-01  0.29011949E+02  0.10243222E+00
 0.29150531E-01  0.29647999E+02  0.10951042E+00
 0.32745492E-01  0.30169943E+02  0.11730755E+00
 0.36783798E-01  0.30406341E+02  0.12595770E+00
 0.41320124E-01  0.30517849E+02  0.13562119E+00
 0.46415888E-01  0.30493318E+02  0.14646308E+00
 0.52140083E-01  0.30436496E+02  0.15865688E+00
 0.58570208E-01  0.30197937E+02  0.17242230E+00
 0.65793322E-01  0.29892393E+02  0.18802673E+00
 0.73907220E-01  0.29481833E+02  0.20576930E+00
 0.83021757E-01  0.29044723E+02  0.22598879E+00
 0.93260335E-01  0.28528682E+02  0.24907965E+00
 0.10476158E+00  0.27991791E+02  0.27549916E+00
 0.11768120E+00  0.27346353E+02  0.30581245E+00
 0.13219411E+00  0.26647177E+02  0.34071798E+00
 0.14849683E+00  0.25931290E+02  0.38098818E+00
 0.16681005E+00  0.25225607E+02  0.42747206E+00
 0.18738174E+00  0.24413678E+02  0.48128397E+00
 0.21049041E+00  0.23526465E+02  0.54388354E+00
 0.23644894E+00  0.22584645E+02  0.61700311E+00
 0.26560878E+00  0.21615883E+02  0.70268992E+00
 0.29836472E+00  0.20586369E+02  0.80350470E+00
 0.33516027E+00  0.19499124E+02  0.92277091E+00
 0.37649358E+00  0.18434930E+02  0.10643672E+01
 0.42292429E+00  0.17395361E+02  0.12327718E+01
 0.47508102E+00  0.16379357E+02  0.14334588E+01
 0.53366992E+00  0.15375481E+02  0.16732653E+01
 0.59948425E+00  0.14405943E+02  0.19605126E+01
 0.67341507E+00  0.13462994E+02  0.23053905E+01
 0.75646333E+00  0.12577962E+02  0.27200057E+01
 0.84975344E+00  0.11735738E+02  0.32188890E+01
 0.95454846E+00  0.10953200E+02  0.38194407E+01
 0.10722672E+01  0.10222358E+02  0.45422328E+01
 0.12045035E+01  0.95329134E+01  0.54124576E+01
 0.13530478E+01  0.88683456E+01  0.64621130E+01
 0.15199111E+01  0.82515945E+01  0.77295265E+01
 0.17073526E+01  0.76753351E+01  0.92598667E+01
 0.19179103E+01  0.71360838E+01  0.11108190E+02
 0.21544347E+01  0.66164919E+01  0.13344706E+02
 0.24201283E+01  0.61349828E+01  0.16054327E+02
 0.27185882E+01  0.56817969E+01  0.19339018E+02
 0.30538555E+01  0.52598788E+01  0.23323411E+02
 0.34304693E+01  0.48533286E+01  0.28166805E+02
 0.38535286E+01  0.44774864E+01  0.34063719E+02
