#   nzt = 2
#    zt = 1.9000E+01 3.5000E+01
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.90738500E+00
#    Te =  2.50000000E-02
#   rho =  2.74000000E+00
#  zbar =  1.25984295E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  9.19796775E+00  1.92828271E-02
 1.12332400E-03  9.69496810E+00  2.05799936E-02
 1.26185690E-03  1.02190728E+01  2.19624195E-02
 1.41747420E-03  1.07634090E+01  2.34362489E-02
 1.59228280E-03  1.13369670E+01  2.50080954E-02
 1.78864950E-03  1.19304230E+01  2.66852172E-02
 2.00923300E-03  1.25551275E+01  2.84754452E-02
 2.25701970E-03  1.31987700E+01  3.03873982E-02
 2.53536450E-03  1.38755415E+01  3.24303994E-02
 2.84803590E-03  1.45690185E+01  3.46147802E-02
 3.19926710E-03  1.52972160E+01  3.69517462E-02
 3.59381370E-03  1.60406045E+01  3.94536210E-02
 4.03701730E-03  1.68203550E+01  4.21337743E-02
 4.53487850E-03  1.76100135E+01  4.50071934E-02
 5.09413800E-03  1.84370075E+01  4.80902175E-02
 5.72236770E-03  1.92628680E+01  5.14015777E-02
 6.42807310E-03  2.01255890E+01  5.49618432E-02
 7.22080900E-03  2.09693780E+01  5.87950478E-02
 8.11130830E-03  2.18469780E+01  6.29278369E-02
 9.11162760E-03  2.27276960E+01  6.73871383E-02
 1.02353100E-02  2.36512125E+01  7.22015112E-02
 1.14975700E-02  2.47081620E+01  7.73882384E-02
 1.29154970E-02  2.58620265E+01  8.29600742E-02
 1.45082880E-02  2.67520860E+01  8.89757800E-02
 1.62975080E-02  2.76056750E+01  9.55164641E-02
 1.83073830E-02  2.84593180E+01  1.02639971E-01
 2.05651230E-02  2.93563515E+01  1.10400045E-01
 2.31012970E-02  2.99198770E+01  1.18902682E-01
 2.59502420E-02  3.03919750E+01  1.28289937E-01
 2.91505310E-02  3.06215920E+01  1.38714054E-01
 3.27454920E-02  3.07925940E+01  1.50347348E-01
 3.67837980E-02  3.08072855E+01  1.63376423E-01
 4.13201240E-02  3.07882655E+01  1.78013197E-01
 4.64158880E-02  3.07222615E+01  1.94477816E-01
 5.21400830E-02  3.06853650E+01  2.13003838E-01
 5.85702080E-02  3.05376360E+01  2.33878232E-01
 6.57933220E-02  3.03628505E+01  2.57451133E-01
 7.39072200E-02  3.01328350E+01  2.84108816E-01
 8.30217570E-02  2.98920000E+01  3.14289030E-01
 9.32603350E-02  2.95653925E+01  3.48516001E-01
 1.04761580E-01  2.91918875E+01  3.87423630E-01
 1.17681200E-01  2.86987425E+01  4.31788097E-01
 1.32194110E-01  2.81265450E+01  4.82560749E-01
 1.48496830E-01  2.75023725E+01  5.40823787E-01
 1.66810050E-01  2.68513635E+01  6.07810133E-01
