#   nzt =   1
#    zt = 0.1700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35551300E+01
#    Te =  0.25000000E-01
#   rho =  0.21600000E+01
#  zbar =  0.21033132E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.85247173E+01  0.13808719E-01
 0.11233240E-02  0.90027896E+01  0.14636967E-01
 0.12618569E-02  0.95077041E+01  0.15517897E-01
 0.14174742E-02  0.10034681E+02  0.16455215E-01
 0.15922828E-02  0.10590779E+02  0.17452825E-01
 0.17886495E-02  0.11169310E+02  0.18515031E-01
 0.20092330E-02  0.11779150E+02  0.19646431E-01
 0.22570197E-02  0.12411836E+02  0.20852080E-01
 0.25353645E-02  0.13077918E+02  0.22137394E-01
 0.28480359E-02  0.13766904E+02  0.23508335E-01
 0.31992671E-02  0.14491194E+02  0.24971306E-01
 0.35938137E-02  0.15237367E+02  0.26533408E-01
 0.40370173E-02  0.16020357E+02  0.28202276E-01
 0.45348785E-02  0.16821373E+02  0.29986535E-01
 0.50941380E-02  0.17659733E+02  0.31895503E-01
 0.57223677E-02  0.18511388E+02  0.33939699E-01
 0.64280731E-02  0.19400027E+02  0.36130517E-01
 0.72208090E-02  0.20292118E+02  0.38481106E-01
 0.81113083E-02  0.21218656E+02  0.41005836E-01
 0.91116276E-02  0.22140974E+02  0.43721003E-01
 0.10235310E-01  0.23094677E+02  0.46644367E-01
 0.11497570E-01  0.24020160E+02  0.49797279E-01
 0.12915497E-01  0.24967785E+02  0.53203627E-01
 0.14508288E-01  0.25895992E+02  0.56889002E-01
 0.16297508E-01  0.26846476E+02  0.60882782E-01
 0.18307383E-01  0.27986262E+02  0.65198391E-01
 0.20565123E-01  0.29233100E+02  0.69840179E-01
 0.23101297E-01  0.30138947E+02  0.74864407E-01
 0.25950242E-01  0.30937036E+02  0.80352453E-01
 0.29150531E-01  0.31605461E+02  0.86373785E-01
 0.32745492E-01  0.32253542E+02  0.92995172E-01
 0.36783798E-01  0.32474588E+02  0.10033351E+00
 0.41320124E-01  0.32533688E+02  0.10854394E+00
