#   nzt =   1
#    zt = 0.1900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36725300E+01
#    Te =  0.25000000E-01
#   rho =  0.21600000E+01
#  zbar =  0.15939809E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.70636701E+01  0.18380761E-01
 0.11233240E-02  0.74548556E+01  0.19483616E-01
 0.12618569E-02  0.78678176E+01  0.20657382E-01
 0.14174742E-02  0.82978551E+01  0.21907145E-01
 0.15922828E-02  0.87514557E+01  0.23238258E-01
 0.17886495E-02  0.92224427E+01  0.24656611E-01
 0.20092330E-02  0.97187504E+01  0.26168502E-01
 0.22570197E-02  0.10232889E+02  0.27780833E-01
 0.25353645E-02  0.10774118E+02  0.29500992E-01
 0.28480359E-02  0.11333055E+02  0.31337128E-01
 0.31992671E-02  0.11920791E+02  0.33297969E-01
 0.35938137E-02  0.12525297E+02  0.35393206E-01
 0.40370173E-02  0.13160179E+02  0.37633218E-01
 0.45348785E-02  0.13808216E+02  0.40029780E-01
 0.50941380E-02  0.14487621E+02  0.42595539E-01
 0.57223677E-02  0.15175542E+02  0.45344874E-01
 0.64280731E-02  0.15895447E+02  0.48293236E-01
 0.72208090E-02  0.16615488E+02  0.51458529E-01
 0.81113083E-02  0.17367140E+02  0.54860173E-01
 0.91116276E-02  0.18120341E+02  0.58519336E-01
 0.10235310E-01  0.18907958E+02  0.62458739E-01
 0.11497570E-01  0.19703823E+02  0.66702576E-01
 0.12915497E-01  0.20541199E+02  0.71275792E-01
 0.14508288E-01  0.21340201E+02  0.76212299E-01
 0.16297508E-01  0.22169679E+02  0.81552705E-01
 0.18307383E-01  0.23214347E+02  0.87304774E-01
 0.20565123E-01  0.24401134E+02  0.93456793E-01
 0.23101297E-01  0.25226682E+02  0.10008538E+00
 0.25950242E-01  0.25954692E+02  0.10730637E+00
 0.29150531E-01  0.26407679E+02  0.11523640E+00
 0.32745492E-01  0.26789160E+02  0.12400532E+00
