#   nzt = 2
#    zt = 1.9000E+01 1.7000E+01
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.59369000E+00
#    Te =  2.50000000E-02
#   rho =  2.16000000E+00
#  zbar =  2.17297405E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  7.62183155E+00  1.49899660E-02
 1.12332400E-03  8.04913655E+00  1.59696961E-02
 1.26185690E-03  8.50048045E+00  1.70118222E-02
 1.41747420E-03  8.97160550E+00  1.81206563E-02
 1.59228280E-03  9.46885790E+00  1.93008275E-02
 1.78864950E-03  9.98634090E+00  2.05573895E-02
 2.00923300E-03  1.05320053E+01  2.18957803E-02
 2.25701970E-03  1.10984530E+01  2.33219195E-02
 2.53536450E-03  1.16951250E+01  2.48421892E-02
 2.84803590E-03  1.23128245E+01  2.64635522E-02
 3.19926710E-03  1.29627415E+01  2.81935265E-02
 3.59381370E-03  1.36331450E+01  3.00403614E-02
 4.03701730E-03  1.43376045E+01  3.20129826E-02
 4.53487850E-03  1.50597050E+01  3.41213263E-02
 5.09413800E-03  1.58171365E+01  3.63761940E-02
 5.72236770E-03  1.65887305E+01  3.87896041E-02
 6.42807310E-03  1.73965785E+01  4.13746493E-02
 7.22080900E-03  1.82111735E+01  4.41461497E-02
 8.11130830E-03  1.90617430E+01  4.71203471E-02
 9.11162760E-03  1.99159410E+01  5.03151753E-02
 1.02353100E-02  2.08068175E+01  5.37502094E-02
 1.14975700E-02  2.16895970E+01  5.74478287E-02
 1.29154970E-02  2.26076480E+01  6.14326039E-02
 1.45082880E-02  2.35152165E+01  6.57315918E-02
 1.62975080E-02  2.44590430E+01  7.03742623E-02
 1.83073830E-02  2.55968450E+01  7.53726608E-02
 2.05651230E-02  2.68604415E+01  8.07309273E-02
 2.31012970E-02  2.78219765E+01  8.65049626E-02
 2.59502420E-02  2.87018985E+01  9.27795979E-02
 2.91505310E-02  2.94281340E+01  9.96332666E-02
 3.27454920E-02  3.01119570E+01  1.07150089E-01
 3.67837980E-02  3.04491025E+01  1.15452097E-01
 4.13201240E-02  3.06409800E+01  1.24697178E-01
 4.64158880E-02  3.06860850E+01  1.35042505E-01
 5.21400830E-02  3.06853130E+01  1.46655478E-01
 5.85702080E-02  3.04768855E+01  1.59746220E-01
 6.57933220E-02  3.01795270E+01  1.74574319E-01
 7.39072200E-02  2.97520270E+01  1.91433416E-01
 8.30217570E-02  2.92839865E+01  2.10659185E-01
 9.32603350E-02  2.87311020E+01  2.32636990E-01
 1.04761580E-01  2.81465075E+01  2.57820141E-01
 1.17681200E-01  2.74181140E+01  2.86781691E-01
 1.32194110E-01  2.66183480E+01  3.20237118E-01
 1.48496830E-01  2.57966795E+01  3.58982178E-01
 1.66810050E-01  2.49778335E+01  4.03913007E-01
 1.87381740E-01  2.40512180E+01  4.56188917E-01
 2.10490410E-01  2.30501310E+01  5.17321850E-01
 2.36448940E-01  2.19921215E+01  5.89141221E-01
 2.65608780E-01  2.09047835E+01  6.73860428E-01
 2.98364720E-01  1.98029865E+01  7.74154862E-01
 3.35160270E-01  1.86888145E+01  8.93315689E-01
 3.76493580E-01  1.76100470E+01  1.03526339E+00
 4.22924290E-01  1.65660365E+01  1.20462870E+00
 4.75081020E-01  1.55629600E+01  1.40701079E+00
 5.33669920E-01  1.45931495E+01  1.64923843E+00
 5.99484250E-01  1.36637515E+01  1.93964007E+00
 6.73415070E-01  1.27685045E+01  2.28839412E+00
 7.56463330E-01  1.19304370E+01  2.70765064E+00
 8.49753440E-01  1.11396515E+01  3.21187441E+00
 9.54548460E-01  1.04070300E+01  3.81831596E+00
 1.07226720E+00  9.72419185E+00  4.54745002E+00
 1.20450350E+00  9.08063220E+00  5.42430182E+00
 1.35304780E+00  8.46117435E+00  6.48028734E+00
 1.51991110E+00  7.88613245E+00  7.75316044E+00
 1.70735260E+00  7.34806835E+00  9.28750180E+00
 1.91791030E+00  6.84045070E+00  1.11381724E+01
 2.15443470E+00  6.34678190E+00  1.33751744E+01
 2.42012830E+00  5.88791585E+00  1.60836904E+01
 2.71858820E+00  5.45469245E+00  1.93656942E+01
 3.05385550E+00  5.04926805E+00  2.33469680E+01
 3.43046930E+00  4.65750760E+00  2.81871299E+01
 3.85352860E+00  4.29463990E+00  3.40825661E+01
 4.32876130E+00  3.95170980E+00  4.12724164E+01
 4.86260160E+00  3.63588420E+00  5.00501611E+01
 5.46227720E+00  3.33986710E+00  6.07759343E+01
 6.13590730E+00  3.06610680E+00  7.38964706E+01
 6.89261210E+00  2.80616090E+00  8.99765010E+01
 7.74263680E+00  2.56801270E+00  1.09713689E+02
 8.69749000E+00  2.34634510E+00  1.33960939E+02
 9.77009960E+00  2.14449980E+00  1.63766664E+02
 1.09749880E+01  1.95980760E+00  2.00401843E+02
