#   nzt =   1
#    zt = 0.3600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39134400E+02
#    Te =  0.25000000E-01
#   rho =  0.37400000E-02
#  zbar =  0.52796508E-09
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.86743563E+01  0.32075399E-01
 0.11233240E-02  0.94270719E+01  0.33971551E-01
 0.12618569E-02  0.10234321E+02  0.35932367E-01
 0.14174742E-02  0.11089968E+02  0.37963118E-01
 0.15922828E-02  0.11996741E+02  0.40070058E-01
 0.17886495E-02  0.12947107E+02  0.42260708E-01
 0.20092330E-02  0.13972515E+02  0.44540890E-01
 0.22570197E-02  0.15045316E+02  0.46916854E-01
 0.25353645E-02  0.16176116E+02  0.49397491E-01
 0.28480359E-02  0.17368669E+02  0.51990931E-01
 0.31992671E-02  0.18610279E+02  0.54707012E-01
 0.35938137E-02  0.19909380E+02  0.57556303E-01
 0.40370173E-02  0.21182261E+02  0.60556986E-01
 0.45348785E-02  0.22577920E+02  0.63722279E-01
 0.50941380E-02  0.23965866E+02  0.67064266E-01
 0.57223677E-02  0.25318943E+02  0.70609588E-01
 0.64280731E-02  0.26657357E+02  0.74386120E-01
 0.72208090E-02  0.27991618E+02  0.78421143E-01
 0.81113083E-02  0.29344312E+02  0.82740279E-01
 0.91116276E-02  0.30527055E+02  0.87386301E-01
 0.10235310E-01  0.31648834E+02  0.92412333E-01
 0.11497570E-01  0.32663278E+02  0.97871263E-01
 0.12915497E-01  0.33670444E+02  0.10381519E+00
 0.14508288E-01  0.34415773E+02  0.11032053E+00
 0.16297508E-01  0.35097559E+02  0.11747906E+00
 0.18307383E-01  0.35639892E+02  0.12538201E+00
 0.20565123E-01  0.36148128E+02  0.13412854E+00
 0.23101297E-01  0.36436005E+02  0.14384645E+00
 0.25950242E-01  0.36643971E+02  0.15468947E+00
 0.29150531E-01  0.36701660E+02  0.16682760E+00
 0.32745492E-01  0.36756482E+02  0.18043976E+00
 0.36783798E-01  0.36593347E+02  0.19575421E+00
 0.41320124E-01  0.36369123E+02  0.21305191E+00
 0.46415888E-01  0.36100735E+02  0.23261773E+00
 0.52140083E-01  0.35870876E+02  0.25474393E+00
 0.58570208E-01  0.35480384E+02  0.27981554E+00
 0.65793322E-01  0.35046774E+02  0.30831053E+00
 0.73907220E-01  0.34540381E+02  0.34075626E+00
 0.83021757E-01  0.34051707E+02  0.37772945E+00
 0.93260335E-01  0.33478265E+02  0.41991719E+00
 0.10476158E+00  0.32890889E+02  0.46813096E+00
 0.11768120E+00  0.32166853E+02  0.52338491E+00
