#   nzt =   1
#    zt = 0.5700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39189400E+01
#    Te =  0.25000000E-01
#   rho =  0.61738000E+01
#  zbar =  0.31796182E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.91824979E+01  0.50265626E-01
 0.11233240E-02  0.97143987E+01  0.53277888E-01
 0.12618569E-02  0.10276914E+02  0.56476224E-01
 0.14174742E-02  0.10865801E+02  0.59873333E-01
 0.15922828E-02  0.11488305E+02  0.63482555E-01
 0.17886495E-02  0.12137997E+02  0.67318564E-01
 0.20092330E-02  0.12824226E+02  0.71396993E-01
 0.22570197E-02  0.13538387E+02  0.75735019E-01
 0.25353645E-02  0.14291923E+02  0.80350992E-01
 0.28480359E-02  0.15074107E+02  0.85265054E-01
 0.31992671E-02  0.15898458E+02  0.90498755E-01
 0.35938137E-02  0.16751549E+02  0.96075841E-01
 0.40370173E-02  0.17649431E+02  0.10202174E+00
 0.45348785E-02  0.18573668E+02  0.10836492E+00
 0.50941380E-02  0.19544528E+02  0.11513601E+00
 0.57223677E-02  0.20538605E+02  0.12236925E+00
 0.64280731E-02  0.21580274E+02  0.13010160E+00
 0.72208090E-02  0.22636590E+02  0.13837539E+00
 0.81113083E-02  0.23739050E+02  0.14723670E+00
 0.91116276E-02  0.24848997E+02  0.15673756E+00
 0.10235310E-01  0.26002656E+02  0.16693459E+00
 0.11497570E-01  0.27142519E+02  0.17789480E+00
 0.12915497E-01  0.28318084E+02  0.18969258E+00
 0.14508288E-01  0.29480370E+02  0.20240938E+00
 0.16297508E-01  0.30676289E+02  0.21613778E+00
 0.18307383E-01  0.32028802E+02  0.23093331E+00
 0.20565123E-01  0.33482015E+02  0.24683300E+00
 0.23101297E-01  0.34691973E+02  0.26399364E+00
 0.25950242E-01  0.35844623E+02  0.28263138E+00
 0.29150531E-01  0.37030414E+02  0.30289836E+00
 0.32745492E-01  0.38273691E+02  0.32491535E+00
 0.36783798E-01  0.38994139E+02  0.34901676E+00
 0.41320124E-01  0.39520857E+02  0.37566761E+00
 0.46415888E-01  0.39777847E+02  0.40531657E+00
 0.52140083E-01  0.39973100E+02  0.43843499E+00
 0.58570208E-01  0.39988518E+02  0.47554360E+00
 0.65793322E-01  0.39960126E+02  0.51723667E+00
 0.73907220E-01  0.39808854E+02  0.56418237E+00
 0.83021757E-01  0.39657011E+02  0.61712193E+00
 0.93260335E-01  0.39467759E+02  0.67684921E+00
 0.10476158E+00  0.39293427E+02  0.74424161E+00
 0.11768120E+00  0.38980563E+02  0.82041667E+00
 0.13219411E+00  0.38609176E+02  0.90675366E+00
 0.14849683E+00  0.38228871E+02  0.10046936E+01
 0.16681005E+00  0.37856098E+02  0.11157754E+01
 0.18738174E+00  0.37311359E+02  0.12420695E+01
 0.21049041E+00  0.36619064E+02  0.13863246E+01
 0.23644894E+00  0.35791272E+02  0.15517850E+01
 0.26560878E+00  0.34844221E+02  0.17423246E+01
 0.29836472E+00  0.33751966E+02  0.19627326E+01
 0.33516027E+00  0.32512607E+02  0.22190831E+01
 0.37649358E+00  0.31200379E+02  0.25186232E+01
 0.42292429E+00  0.29827583E+02  0.28699272E+01
 0.47508102E+00  0.28388752E+02  0.32836443E+01
 0.53366992E+00  0.26890485E+02  0.37731809E+01
 0.59948425E+00  0.25396988E+02  0.43546418E+01
 0.67341507E+00  0.23920992E+02  0.50472260E+01
 0.75646333E+00  0.22486309E+02  0.58740510E+01
 0.84975344E+00  0.21079124E+02  0.68636854E+01
 0.95454846E+00  0.19777197E+02  0.80491948E+01
 0.10722672E+01  0.18574735E+02  0.94676283E+01
 0.12045035E+01  0.17417844E+02  0.11165083E+02
 0.13530478E+01  0.16255755E+02  0.13203954E+02
 0.15199111E+01  0.15189706E+02  0.15656814E+02
 0.17073526E+01  0.14199852E+02  0.18604547E+02
 0.19179103E+01  0.13259338E+02  0.22147641E+02
 0.21544347E+01  0.12310250E+02  0.26423337E+02
 0.24201283E+01  0.11428111E+02  0.31597037E+02
 0.27185882E+01  0.10581057E+02  0.37866663E+02
 0.30538555E+01  0.98046252E+01  0.45470186E+02
 0.34304693E+01  0.90755415E+01  0.54693242E+02
 0.38535286E+01  0.84073085E+01  0.65880958E+02
 0.43287613E+01  0.77798839E+01  0.79456005E+02
 0.48626016E+01  0.72103213E+01  0.95922123E+02
 0.54622772E+01  0.66840513E+01  0.11587775E+03
 0.61359073E+01  0.62032317E+01  0.14004305E+03
 0.68926121E+01  0.57513336E+01  0.16930881E+03
 0.77426368E+01  0.53379407E+01  0.20474276E+03
 0.86974900E+01  0.49414233E+01  0.24769049E+03
 0.97700996E+01  0.45793855E+01  0.29977338E+03
 0.10974988E+02  0.42351860E+01  0.36297473E+03
 0.12328467E+02  0.39193737E+01  0.43970637E+03
