#   nzt =   1
#    zt = 0.3000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32638100E+01
#    Te =  0.25000000E-01
#   rho =  0.53400000E+00
#  zbar =  0.99794982E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.56669282E+01  0.40665760E-02
 0.11233240E-02  0.59688481E+01  0.43108212E-02
 0.12618569E-02  0.62868996E+01  0.45712851E-02
 0.14174742E-02  0.66157325E+01  0.48492014E-02
 0.15922828E-02  0.69617052E+01  0.51458715E-02
 0.17886495E-02  0.73180064E+01  0.54627387E-02
 0.20092330E-02  0.76923203E+01  0.58013532E-02
 0.22570197E-02  0.80762688E+01  0.61634361E-02
 0.25353645E-02  0.84789356E+01  0.65508394E-02
 0.28480359E-02  0.88894848E+01  0.69656434E-02
 0.31992671E-02  0.93191168E+01  0.74100935E-02
 0.35938137E-02  0.97543246E+01  0.78867182E-02
 0.40370173E-02  0.10208609E+02  0.83982486E-02
 0.45348785E-02  0.10662681E+02  0.89478564E-02
 0.50941380E-02  0.11134759E+02  0.95389856E-02
 0.57223677E-02  0.11597733E+02  0.10175706E-01
 0.64280731E-02  0.12076256E+02  0.10862462E-01
 0.72208090E-02  0.12531825E+02  0.11604636E-01
 0.81113083E-02  0.12998355E+02  0.12408238E-01
 0.91116276E-02  0.13448995E+02  0.13279659E-01
 0.10235310E-01  0.13911235E+02  0.14226033E-01
 0.11497570E-01  0.14408203E+02  0.15253144E-01
 0.12915497E-01  0.14933562E+02  0.16366075E-01
 0.14508288E-01  0.15306280E+02  0.17579078E-01
 0.16297508E-01  0.15645498E+02  0.18911309E-01
 0.18307383E-01  0.16089102E+02  0.20371126E-01
 0.20565123E-01  0.16587193E+02  0.21961435E-01
 0.23101297E-01  0.16683336E+02  0.23715763E-01
 0.25950242E-01  0.16640721E+02  0.25683334E-01
 0.29150531E-01  0.16255983E+02  0.27923432E-01
 0.32745492E-01  0.15757902E+02  0.30510673E-01
 0.36783798E-01  0.15153587E+02  0.33521901E-01
 0.41320124E-01  0.14528633E+02  0.37045285E-01
 0.46415888E-01  0.13879268E+02  0.41181549E-01
 0.52140083E-01  0.13243726E+02  0.46047889E-01
 0.58570208E-01  0.12590301E+02  0.51787887E-01
 0.65793322E-01  0.11952327E+02  0.58575759E-01
 0.73907220E-01  0.11329223E+02  0.66614678E-01
 0.83021757E-01  0.10737602E+02  0.76142288E-01
 0.93260335E-01  0.10170606E+02  0.87438459E-01
 0.10476158E+00  0.96355636E+01  0.10083421E+00
