#   nzt =   1
#    zt = 0.9000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25219300E+01
#    Te =  0.25000000E-01
#   rho =  0.26400000E+01
#  zbar =  0.16999273E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.31534525E+01  0.20007114E-01
 0.11233240E-02  0.33345357E+01  0.21206358E-01
 0.12618569E-02  0.35260237E+01  0.22480292E-01
 0.14174742E-02  0.37270366E+01  0.23833890E-01
 0.15922828E-02  0.39394866E+01  0.25272402E-01
 0.17886495E-02  0.41618131E+01  0.26801593E-01
 0.20092330E-02  0.43966028E+01  0.28427605E-01
 0.22570197E-02  0.46415682E+01  0.30157186E-01
 0.25353645E-02  0.48999987E+01  0.31997547E-01
 0.28480359E-02  0.51689360E+01  0.33956588E-01
 0.31992671E-02  0.54523164E+01  0.36042772E-01
 0.35938137E-02  0.57465867E+01  0.38265351E-01
 0.40370173E-02  0.60562594E+01  0.40634250E-01
 0.45348785E-02  0.63769188E+01  0.43160379E-01
 0.50941380E-02  0.67138444E+01  0.45855461E-01
 0.57223677E-02  0.70612962E+01  0.48732496E-01
 0.64280731E-02  0.74256593E+01  0.51805477E-01
 0.72208090E-02  0.77986225E+01  0.55090242E-01
 0.81113083E-02  0.81885648E+01  0.58603958E-01
 0.91116276E-02  0.85856150E+01  0.62365813E-01
 0.10235310E-01  0.89995390E+01  0.66396656E-01
 0.11497570E-01  0.94192276E+01  0.70719672E-01
 0.12915497E-01  0.98555521E+01  0.75360008E-01
 0.14508288E-01  0.10292422E+02  0.80346695E-01
 0.16297508E-01  0.10744140E+02  0.85711820E-01
 0.18307383E-01  0.11201362E+02  0.91489042E-01
 0.20565123E-01  0.11675440E+02  0.97714708E-01
 0.23101297E-01  0.12163775E+02  0.10442592E+00
 0.25950242E-01  0.12673727E+02  0.11166397E+00
 0.29150531E-01  0.13286395E+02  0.11944383E+00
 0.32745492E-01  0.13968094E+02  0.12776166E+00
 0.36783798E-01  0.14515056E+02  0.13669968E+00
 0.41320124E-01  0.15011685E+02  0.14638792E+00
 0.46415888E-01  0.15466311E+02  0.15693292E+00
 0.52140083E-01  0.15915445E+02  0.16843254E+00
 0.58570208E-01  0.16186404E+02  0.18105965E+00
 0.65793322E-01  0.16367859E+02  0.19504825E+00
 0.73907220E-01  0.16407529E+02  0.21065895E+00
 0.83021757E-01  0.16382061E+02  0.22818938E+00
 0.93260335E-01  0.16264786E+02  0.24797057E+00
 0.10476158E+00  0.16100853E+02  0.27038272E+00
 0.11768120E+00  0.15828546E+02  0.29590539E+00
 0.13219411E+00  0.15496790E+02  0.32513609E+00
 0.14849683E+00  0.15138622E+02  0.35871663E+00
 0.16681005E+00  0.14773910E+02  0.39734450E+00
 0.18738174E+00  0.14347302E+02  0.44191560E+00
 0.21049041E+00  0.13878318E+02  0.49357799E+00
 0.23644894E+00  0.13373100E+02  0.55369413E+00
 0.26560878E+00  0.12848394E+02  0.62387826E+00
 0.29836472E+00  0.12291751E+02  0.70611232E+00
 0.33516027E+00  0.11706026E+02  0.80291126E+00
 0.37649358E+00  0.11132261E+02  0.91718410E+00
 0.42292429E+00  0.10571406E+02  0.10522428E+01
 0.47508102E+00  0.99933289E+01  0.12123494E+01
 0.53366992E+00  0.93888415E+01  0.14032311E+01
 0.59948425E+00  0.87943712E+01  0.16318242E+01
 0.67341507E+00  0.82052061E+01  0.19065468E+01
 0.75646333E+00  0.76421716E+01  0.22376054E+01
 0.84975344E+00  0.70965252E+01  0.26375414E+01
 0.95454846E+00  0.65854367E+01  0.31215275E+01
 0.10722672E+01  0.61033081E+01  0.37077801E+01
 0.12045035E+01  0.56507106E+01  0.44186871E+01
 0.13530478E+01  0.52202204E+01  0.52822541E+01
 0.15199111E+01  0.48201069E+01  0.63325976E+01
 0.17073526E+01  0.44449014E+01  0.76112926E+01
 0.19179103E+01  0.40967958E+01  0.91692727E+01
 0.21544347E+01  0.37693073E+01  0.11069939E+02
 0.24201283E+01  0.34680091E+01  0.13390532E+02
 0.27185882E+01  0.31885229E+01  0.16224827E+02
 0.30538555E+01  0.29306239E+01  0.19688103E+02
 0.34304693E+01  0.26893535E+01  0.23924423E+02
 0.38535286E+01  0.24672324E+01  0.29110756E+02
 0.43287613E+01  0.22602573E+01  0.35466228E+02
 0.48626016E+01  0.20712879E+01  0.43258256E+02
 0.54622772E+01  0.18980964E+01  0.52809366E+02
 0.61359073E+01  0.17381376E+01  0.64520001E+02
 0.68926121E+01  0.15871380E+01  0.78907750E+02
 0.77426368E+01  0.14488602E+01  0.96610080E+02
 0.86974900E+01  0.13205355E+01  0.11841226E+03
 0.97700996E+01  0.12035164E+01  0.14528402E+03
 0.10974988E+02  0.10960720E+01  0.17841729E+03
 0.12328467E+02  0.99795003E+00  0.21928841E+03
 0.13848864E+02  0.90717815E+00  0.26975777E+03
 0.15556761E+02  0.82464113E+00  0.33212597E+03
 0.17475284E+02  0.74922995E+00  0.40921793E+03
 0.19630407E+02  0.68049301E+00  0.50454006E+03
 0.22051307E+02  0.61672148E+00  0.62257495E+03
 0.24770764E+02  0.55898356E+00  0.76888206E+03
 0.27825594E+02  0.50687819E+00  0.95016304E+03
 0.31257158E+02  0.45961197E+00  0.11747280E+04
 0.35111917E+02  0.41651742E+00  0.14530134E+04
 0.39442061E+02  0.37741516E+00  0.17979584E+04
 0.44306215E+02  0.34141569E+00  0.22259797E+04
 0.49770236E+02  0.30886965E+00  0.27575100E+04
 0.55908102E+02  0.27959508E+00  0.34172849E+04
 0.62802914E+02  0.25307848E+00  0.42359563E+04
 0.70548023E+02  0.22866788E+00  0.52529391E+04
 0.79248290E+02  0.20662022E+00  0.65173992E+04
 0.89021509E+02  0.18686865E+00  0.80885811E+04
 0.10000000E+03  0.16900698E+00  0.10040134E+05
