#   nzt = 2
#    zt = 3.0000E+00 9.0000E+00
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.35206000E+00
#    Te =  2.50000000E-02
#   rho =  2.64000000E+00
#  zbar =  1.42521820E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  2.42482955E+00  1.66911841E-02
 1.12332400E-03  2.56388975E+00  1.77620619E-02
 1.26185690E-03  2.71093135E+00  1.88997599E-02
 1.41747420E-03  2.86524650E+00  2.01086916E-02
 1.59228280E-03  3.02833100E+00  2.13935783E-02
 1.78864950E-03  3.19892875E+00  2.27595764E-02
 2.00923300E-03  3.37907545E+00  2.42122184E-02
 2.25701970E-03  3.56691925E+00  2.57575474E-02
 2.53536450E-03  3.76506740E+00  2.74020674E-02
 2.84803590E-03  3.97113555E+00  2.91528628E-02
 3.19926710E-03  4.18824435E+00  3.10175717E-02
 3.59381370E-03  4.41354990E+00  3.30044970E-02
 4.03701730E-03  4.65062230E+00  3.51226010E-02
 4.53487850E-03  4.89592985E+00  3.73816768E-02
 5.09413800E-03  5.15365995E+00  3.97923248E-02
 5.72236770E-03  5.41926030E+00  4.23662077E-02
 6.42807310E-03  5.69778885E+00  4.51159925E-02
 7.22080900E-03  5.98265100E+00  4.80558743E-02
 8.11130830E-03  6.28051445E+00  5.12013780E-02
 9.11162760E-03  6.58354430E+00  5.45697133E-02
 1.02353100E-02  6.89955990E+00  5.81797171E-02
 1.14975700E-02  7.21963850E+00  6.20522332E-02
 1.29154970E-02  7.55262225E+00  6.62100185E-02
 1.45082880E-02  7.88546475E+00  7.06790870E-02
 1.62975080E-02  8.22994990E+00  7.54882902E-02
 1.83073830E-02  8.57902820E+00  8.06676497E-02
 2.05651230E-02  8.94192060E+00  8.62493041E-02
 2.31012970E-02  9.31714715E+00  9.22658252E-02
 2.59502420E-02  9.71070865E+00  9.87510254E-02
 2.91505310E-02  1.01932842E+01  1.05715469E-01
 3.27454920E-02  1.07362551E+01  1.13156357E-01
 3.67837980E-02  1.11631341E+01  1.21144497E-01
 4.13201240E-02  1.15465700E+01  1.29797147E-01
 4.64158880E-02  1.18862629E+01  1.39216729E-01
 5.21400830E-02  1.22153787E+01  1.49504648E-01
 5.85702080E-02  1.23996197E+01  1.60820812E-01
 6.57933220E-02  1.25097485E+01  1.73382516E-01
 7.39072200E-02  1.24948666E+01  1.87440648E-01
 8.30217570E-02  1.24181703E+01  2.03291035E-01
 9.32603350E-02  1.22746361E+01  2.21255979E-01
 1.04761580E-01  1.20962545E+01  2.41704415E-01
 1.17681200E-01  1.18413213E+01  2.65094253E-01
 1.32194110E-01  1.15438883E+01  2.91991246E-01
 1.48496830E-01  1.12260028E+01  3.23023111E-01
 1.66810050E-01  1.09024103E+01  3.58893569E-01
 1.87381740E-01  1.05422450E+01  4.00476568E-01
 2.10490410E-01  1.01584709E+01  4.48870186E-01
 2.36448940E-01  9.74920435E+00  5.05402686E-01
 2.65608780E-01  9.32723760E+00  5.71679074E-01
 2.98364720E-01  8.89043920E+00  6.49646029E-01
 3.35160270E-01  8.44107315E+00  7.41714674E-01
 3.76493580E-01  8.00362380E+00  8.50717283E-01
 4.22924290E-01  7.57852800E+00  9.79946678E-01
 4.75081020E-01  7.14783910E+00  1.13356902E+00
 5.33669920E-01  6.70551425E+00  1.31704005E+00
 5.99484250E-01  6.27360690E+00  1.53703612E+00
 6.73415070E-01  5.84881785E+00  1.80165658E+00
 7.56463330E-01  5.44296330E+00  2.12079543E+00
 8.49753440E-01  5.04964515E+00  2.50663621E+00
 9.54548460E-01  4.68154160E+00  2.97398278E+00
 1.07226720E+00  4.33463405E+00  3.54063625E+00
 1.20450350E+00  4.00877900E+00  4.22853766E+00
 1.35304780E+00  3.69848800E+00  5.06512895E+00
 1.51991110E+00  3.40998885E+00  6.08407700E+00
 1.70735260E+00  3.13932175E+00  7.32647833E+00
 1.91791030E+00  2.88833610E+00  8.84291868E+00
 2.15443470E+00  2.65266785E+00  1.06961041E+01
 2.42012830E+00  2.43591485E+00  1.29629190E+01
 2.71858820E+00  2.23505445E+00  1.57370341E+01
 3.05385550E+00  2.05006010E+00  1.91339232E+01
 3.43046930E+00  1.87773660E+00  2.32970874E+01
 3.85352860E+00  1.71928479E+00  2.84037939E+01
 4.32876130E+00  1.57196658E+00  3.46735519E+01
 4.86260160E+00  1.43771350E+00  4.23752777E+01
 5.46227720E+00  1.31518548E+00  5.18337612E+01
 6.13590730E+00  1.20225218E+00  6.34529225E+01
 6.89261210E+00  1.09609113E+00  7.77507266E+01
